kappa,model,total_test_episodes,selected_episodes,episode_trade_coverage,selected_mean_entry_value,selected_median_entry_value,selected_positive_rate,selected_long_fraction,selected_short_fraction,selected_symbols,caev
0.0,REG-M0,2619,91,0.034746086292478044,-1.9002328281214442,-1.30082117316771,0.26373626373626374,0.7582417582417582,0.24175824175824176,14,-0.0660256538217073
0.0,REG-M1,2619,488,0.1863306605574647,-0.975237241087287,-0.458719403342016,0.36885245901639346,0.6659836065573771,0.33401639344262296,15,-0.18171659933203363
0.0,ACTION3-M0,2619,158,0.060328369606720125,-1.3518664435393444,-0.7850599856707579,0.2848101265822785,0.7658227848101266,0.23417721518987342,14,-0.08155589846476381
0.0,ACTION3-M1,2619,958,0.3657884688812524,-0.9219427641534661,-0.41085405019966115,0.3705636743215031,0.48747390396659707,0.5125260960334029,15,-0.33723603209584596
0.0,ACTION3-M1-MARGIN,2619,1409,0.53799159984727,-1.2424237110147878,-0.5318188718977543,0.34279630943931866,0.5784244144783535,0.42157558552164653,15,-0.6684135199770279
0.005,REG-M0,2619,58,0.022145857197403588,-1.7770388852100418,-0.9183990052066032,0.29310344827586204,0.603448275862069,0.39655172413793105,13,-0.03935404938609485
0.005,REG-M1,2619,477,0.18213058419243985,-0.7724709789721946,-0.40363009781333087,0.38784067085953877,0.7358490566037735,0.2641509433962264,15,-0.14069059067191175
0.005,ACTION3-M0,2619,183,0.06987399770904926,-1.22404207421545,-0.8055598185381223,0.2677595628415301,0.8469945355191257,0.15300546448087432,14,-0.08552871308951025
0.005,ACTION3-M1,2619,1073,0.4096983581519664,-1.1661121385565083,-0.5247268784902409,0.3634669151910531,0.5153774464119292,0.4846225535880708,15,-0.4777542285876798
0.01,REG-M0,2619,74,0.028255059182894234,-2.1525413618629208,-1.3354084369550892,0.21621621621621623,0.7567567567567568,0.24324324324324326,14,-0.06082018357306458
0.01,REG-M1,2619,438,0.1672394043528064,-0.989086936110449,-0.4590497783187339,0.3789954337899543,0.7191780821917808,0.2808219178082192,15,-0.16541431004825377
0.01,ACTION3-M0,2619,198,0.07560137457044673,-1.2547147356302224,-0.8294004565985892,0.25252525252525254,0.8131313131313131,0.18686868686868688,14,-0.09485815870743951
0.01,ACTION3-M1,2619,1045,0.39900725467735776,-1.0906515277757478,-0.4595478979290965,0.3674641148325359,0.5311004784688995,0.4688995215311005,15,-0.43517787190746715
0.02,REG-M0,2619,76,0.029018709431080564,-1.687014624963759,-0.936268507285058,0.27631578947368424,0.8421052631578947,0.15789473684210525,14,-0.04895498720780667
0.02,REG-M1,2619,353,0.13478426880488736,-0.8691005737233671,-0.4227009266187354,0.39660056657223797,0.7053824362606232,0.29461756373937675,15,-0.11714108534721214
0.02,ACTION3-M0,2619,214,0.08171057655593739,-1.2583496259841858,-0.804229783916059,0.2850467289719626,0.7897196261682243,0.2102803738317757,14,-0.10282047344811597
0.02,ACTION3-M1,2619,1061,0.4051164566628484,-1.1467523268123367,-0.4510364637323594,0.3600377002827521,0.5042412818096136,0.4957587181903864,15,-0.46456823930809066
0.05,REG-M0,2619,31,0.011836578846888126,-1.4022773670376507,-1.3011931662905152,0.25806451612903225,0.8387096774193549,0.16129032258064516,11,-0.016598166620147833
0.05,REG-M1,2619,390,0.14891179839633448,-0.9827112079354268,-0.4711193233255937,0.3717948717948718,0.7666666666666667,0.23333333333333334,15,-0.1463372932778986
0.05,ACTION3-M0,2619,245,0.0935471554028255,-1.543160165630049,-0.9475638573199177,0.24081632653061225,0.8163265306122449,0.1836734693877551,14,-0.14435824382564416
0.05,ACTION3-M1,2619,988,0.37724322260404736,-0.984848536769402,-0.42977489554628046,0.3815789473684211,0.5242914979757085,0.4757085020242915,15,-0.37152743578776987
