symbol,kappa,n_decisions,n_candidate,candidate_rate,y_finite_rate
AU,0.0,44044,35409,0.8039460539460539,0.8039460539460539
AU,0.005,44044,35409,0.8039460539460539,0.8039460539460539
AU,0.01,44044,35409,0.8039460539460539,0.8039460539460539
AU,0.02,44044,35409,0.8039460539460539,0.8039460539460539
AU,0.05,44044,35409,0.8039460539460539,0.8039460539460539
RB,0.0,27412,24452,0.8920180942652852,0.8920180942652852
RB,0.005,27412,24452,0.8920180942652852,0.8920180942652852
RB,0.01,27412,24452,0.8920180942652852,0.8920180942652852
RB,0.02,27412,24452,0.8920180942652852,0.8920180942652852
RB,0.05,27412,24452,0.8920180942652852,0.8920180942652852
