kappa,coverage,split,threshold,fc_selected_episodes,fc_selected_symbols,fc_row_coverage,fc_episode_coverage,fc_mean_actual_y,fc_median_actual_y,fc_positive_y_rate,fc_p25_actual_y,fc_p75_actual_y,fc_long_fraction,fc_short_fraction,fc_ci_lower,fc_ci_upper,rp_rows,rp_mean_actual_y,rp_positive_y_rate
0.0,0.2,validation,-0.9830593299412566,2427,15,0.028064616843395507,0.8572942423172024,-1.663081776004607,-0.821517976971192,0.2657601977750309,-2.9461205436828193,0.11410166341382934,0.6658426040379068,0.3341573959620931,-1.7990091028461728,-1.5286273210867283,17299,-2.045967874994927,0.190993699057749
0.0,0.2,test,-0.9830593299412566,2245,15,0.025049932493500408,0.8571974035891562,-1.7654369036140463,-1.0077133455375757,0.24988864142538975,-2.8468592766296617,0.0,0.622271714922049,0.377728285077951,-1.9062206861410715,-1.6330689789987802,16552,-2.084874803803537,0.1792532624456259
0.0,0.1,validation,-0.5185632394637882,1788,15,0.020675539726407566,0.631578947368421,-1.3660132743224092,-0.6678550688822924,0.3131991051454139,-2.6084486617016793,0.2859817864835591,0.7175615212527964,0.28243847874720357,-1.5229343530837407,-1.2135024842471318,8648,-1.9640252041122575,0.2188945420906568
0.0,0.1,test,-0.5185632394637882,1537,15,0.017149998326285134,0.5868652157311951,-1.3275033747718423,-0.6547198293139167,0.30644111906310995,-2.2318442164895,0.2784599295122369,0.6441119063109955,0.35588809368900454,-1.4885385219945162,-1.157150667742636,7569,-1.930203606341673,0.2058396089311666
0.0,0.05,validation,-0.2326233761429682,1215,15,0.014049653673146081,0.4291769692688096,-1.1350086092471998,-0.5384853823439508,0.36460905349794237,-2.50053626323698,0.5606131457134454,0.7555555555555555,0.24444444444444444,-1.3398338683547049,-0.9300468662470515,4324,-1.724047120751403,0.2650323774283071
0.0,0.05,test,-0.2326233761429682,971,15,0.01083451423215541,0.37075219549446353,-1.0714192206779238,-0.5142578694818096,0.3532440782698249,-2.0829090446727934,0.47295055263517594,0.646755921730175,0.3532440782698249,-1.3049630736902582,-0.8817226896288152,3556,-1.7771753669401527,0.2407199100112486
0.0,0.03,validation,-0.07052320834416877,868,15,0.010037118838099423,0.30660543977393145,-1.0928029689916565,-0.5164416804047965,0.35944700460829493,-2.506624668004014,0.631661664103307,0.7914746543778802,0.20852534562211983,-1.3621063970448308,-0.8122663454162066,2596,-1.6011732473308347,0.27773497688751925
0.0,0.03,test,-0.07052320834416877,604,15,0.006739491860166702,0.23062237495227186,-1.0621425397827033,-0.5150097212328341,0.3543046357615894,-2.209124399798756,0.5897117764616728,0.6705298013245033,0.3294701986754967,-1.3019494121779882,-0.7993353999624279,1767,-1.6483621871426828,0.2733446519524618
0.0,0.02,validation,0.054569685199507646,635,15,0.00734282311312573,0.22430236665489225,-0.9343623852854389,-0.4842435784456622,0.3732283464566929,-2.3045931083134326,0.7555657772257497,0.8125984251968504,0.18740157480314962,-1.2539443683287286,-0.6192503700003581,1730,-1.4429199831276027,0.2947976878612717
0.0,0.02,test,0.054569685199507646,410,15,0.004574820633556867,0.1565483008781978,-0.8627745149811753,-0.4149156303345922,0.3853658536585366,-2.1165275272243025,0.6872082546327909,0.6609756097560976,0.33902439024390246,-1.2006023150760783,-0.47255453277587234,1067,-1.3572691663357521,0.29896907216494845
0.0,0.01,validation,0.3245010097540967,356,15,0.0041166063437366295,0.12575061815612856,-0.43786337382442697,-0.18401394724231435,0.44662921348314605,-1.924597290384527,1.0039796200124056,0.8679775280898876,0.13202247191011235,-0.8880587418005758,-0.008342211765683248,867,-0.9043043956746815,0.3206459054209919
0.0,0.01,test,0.3245010097540967,198,14,0.0022093036230347797,0.07560137457044673,-0.4100597769529001,-0.14110962548218248,0.4494949494949495,-1.7325812264201774,0.8776021201333495,0.7373737373737373,0.26262626262626265,-0.9921519924752771,0.11472266383508438,378,-0.9702401309227413,0.3544973544973545
0.0,0.005,validation,0.5769788713563594,220,15,0.0025439702124215127,0.07771105616389969,-0.43455374049761164,-0.1323837959522493,0.4590909090909091,-1.720940092431247,1.2268537697649977,0.9318181818181818,0.06818181818181818,-1.0729015059493219,0.16135313626728312,433,-0.6725476881492746,0.371824480369515
0.0,0.005,test,0.5769788713563594,97,14,0.0010823356133049173,0.037037037037037035,-0.424289479230776,-0.12912073515246197,0.44329896907216493,-1.7333196558510537,0.8589657220702652,0.865979381443299,0.13402061855670103,-1.4413469888040216,0.5008130992901619,159,-0.9507353785345273,0.3522012578616352
0.005,0.2,validation,-0.9879558264790537,2413,15,0.027902727829877773,0.8523489932885906,-1.6465916696281435,-0.8156017665041531,0.27268959801077497,-2.8723381962060106,0.11324675781072155,0.6900124326564443,0.30998756734355576,-1.7861167015547084,-1.5142235474194448,17296,-2.0438321333706027,0.19495837187789083
0.005,0.2,test,-0.9879558264790537,2240,15,0.024994141997969226,0.8552882779686903,-1.7372488668636399,-0.9767851463230416,0.25491071428571427,-2.8142168894581014,4.1676979563115035e-05,0.6267857142857143,0.3732142857142857,-1.8729391179077879,-1.5959441984238174,16480,-2.053021438605977,0.18294902912621358
0.005,0.1,validation,-0.5336517689190033,1791,15,0.020710230229304225,0.6326386435888378,-1.3891116092125009,-0.6724251510030417,0.3126744835287549,-2.6394097513142842,0.2528225452161664,0.7431602456728085,0.2568397543271915,-1.5607704993542353,-1.2255164883830538,8649,-1.9361488917260807,0.2260376922187536
0.005,0.1,test,-0.5336517689190033,1535,15,0.017127682128072662,0.5861015654830087,-1.3913067469417448,-0.6470347571539522,0.31400651465798046,-2.283357117596284,0.2854973917620781,0.6651465798045603,0.33485342019543973,-1.551754363637979,-1.2194969640156696,7508,-1.907952311097529,0.21150772509323387
0.005,0.05,validation,-0.2352684002678895,1196,15,0.013829947154800588,0.42246555987283646,-1.1290419846793185,-0.49006035404701864,0.36538461538461536,-2.5230895062107077,0.5600344120426674,0.8001672240802675,0.19983277591973245,-1.3662495297278332,-0.9199889909644131,4325,-1.7723212667008807,0.2582658959537572
0.005,0.05,test,-0.2352684002678895,949,15,0.010589036051818213,0.3623520427644139,-1.004982595783229,-0.42993921990247175,0.3698630136986301,-2.0063695739907565,0.5086414236464827,0.7154899894625922,0.2845100105374078,-1.2263816644332324,-0.8070374173762674,3369,-1.7497911461527005,0.24992579400415554
0.005,0.03,validation,-0.07308843782712114,834,15,0.009643959805270644,0.2945955492758742,-1.159776461350393,-0.5363690038514782,0.35851318944844124,-2.411776581152773,0.5228966131919173,0.8441247002398081,0.15587529976019185,-1.4169385431092785,-0.8970257591822235,2595,-1.739783063356674,0.27591522157996146
0.005,0.03,test,-0.07308843782712114,613,15,0.006839914752122828,0.23405880106911034,-0.8457751559060888,-0.40521802555791736,0.38499184339314846,-1.9247206680960225,0.6338924594019699,0.7373572593800979,0.2626427406199021,-1.141101148414336,-0.5669737530687651,1663,-1.5263861130012584,0.28923631990378834
0.005,0.02,validation,0.06123621270529846,628,15,0.007261878606366863,0.22182974214058637,-1.0413530182395296,-0.3959879059613483,0.3869426751592357,-2.381898369371693,0.7083573820353887,0.8630573248407644,0.13694267515923567,-1.3497360060749095,-0.7129151904342791,1730,-1.626697248299093,0.2953757225433526
0.005,0.02,test,0.06123621270529846,390,15,0.004351658651432142,0.14891179839633448,-0.7694370367292919,-0.28284251571978436,0.4153846153846154,-2.0533043791641314,0.6832009881986422,0.7538461538461538,0.24615384615384617,-1.1543317351866458,-0.395104207115063,920,-1.4551554262818325,0.3173913043478261
0.005,0.01,validation,0.29837868036953,365,15,0.004220677852426601,0.12892970681737903,-0.8100838269171867,-0.2773048699350814,0.4301369863013699,-2.2545808187666556,0.8486186671254995,0.9287671232876712,0.07123287671232877,-1.3164450738849618,-0.40235438242335786,865,-1.1149539002981859,0.3225433526011561
0.005,0.01,test,0.29837868036953,192,14,0.002142355028397362,0.07331042382588775,-0.44708653976298823,-0.18150442658694604,0.4583333333333333,-1.7454138612623253,0.8646881167467386,0.859375,0.140625,-1.0542604983444197,0.11690512332455302,389,-1.4023929965702082,0.33676092544987146
0.005,0.005,validation,0.5693654971563611,221,15,0.002555533713387065,0.07806428823737195,-0.3954191750822773,-0.0849979793897175,0.4751131221719457,-1.928224114034859,1.261140183613153,1.0,0.0,-0.9626390300679847,0.18738866104035873,433,-0.8539721251491952,0.3856812933025404
0.005,0.005,test,0.5693654971563611,99,14,0.0011046518115173899,0.037800687285223365,-0.5969246950107012,-0.1390942720458763,0.4444444444444444,-1.7575063363822472,1.0820947916479433,0.9292929292929293,0.0707070707070707,-1.541222803388406,0.17562622954217402,164,-1.5154649039406307,0.34146341463414637
