variant,decile,n,predicted_mean,actual_mean,Y_trade_rate,Y_long_rate
V0_OLD96_Yopp,0,1807,-0.9638347834321971,-0.7292728691055989,0.3175287356321839,
V0_OLD96_Yopp,1,1807,-0.7860678656291451,-0.7346883243544576,0.3008658008658009,
V0_OLD96_Yopp,2,1807,-0.7163737689413178,-0.6237027720728864,0.33285612025769507,
V0_OLD96_Yopp,3,1806,-0.6606539679571265,-0.6823111174081569,0.31016825164594003,
V0_OLD96_Yopp,4,1807,-0.6070417212629985,-0.6642142680644406,0.3111913357400722,
V0_OLD96_Yopp,5,1807,-0.5409351503737302,-0.5752664012381152,0.32087447108603667,
V0_OLD96_Yopp,6,1806,-0.4618358239631086,-0.5434019830973892,0.31616595135908443,
V0_OLD96_Yopp,7,1807,-0.3650048200931143,-0.561251471000238,0.3186416184971098,
V0_OLD96_Yopp,8,1807,-0.22674490698465682,-0.6192771197703282,0.3064066852367688,
V0_OLD96_Yopp,9,1807,-0.028178066415732953,-0.6592282578841565,0.3073624017155111,
V0_OLD96_Ydir,0,1807,-0.9779044148922698,-0.4952373590493454,,0.47391304347826085
V0_OLD96_Ydir,1,1807,0.3753335593863391,-0.8148985441623134,,0.42592592592592593
V0_OLD96_Ydir,2,1807,1.032841532114817,-0.03483548136080154,,0.4492099322799097
V0_OLD96_Ydir,3,1806,1.555022894076105,-0.0751452525625678,,0.49882903981264637
V0_OLD96_Ydir,4,1807,2.0531621998381304,-1.0815340734943464,,0.4156479217603912
V0_OLD96_Ydir,5,1807,2.583872838867496,-0.4625065136529032,,0.4752941176470588
V0_OLD96_Ydir,6,1806,3.2020010031923656,0.13578495689745235,,0.5300429184549357
V0_OLD96_Ydir,7,1807,4.2788281631500995,0.13531277077417894,,0.49452954048140046
V0_OLD96_Ydir,8,1807,5.477897032160291,-0.9126219120876269,,0.4771084337349398
V0_OLD96_Ydir,9,1807,7.344533501539268,0.3670327131474534,,0.5253863134657837
V2_SR_REPR_Yopp,0,1807,-0.8910280995284533,-0.7527180862155901,0.31843971631205675,
V2_SR_REPR_Yopp,1,1807,-0.7512412591763062,-0.7236198217288008,0.30137981118373275,
V2_SR_REPR_Yopp,2,1807,-0.6883415999664952,-0.7754411452802032,0.275092936802974,
V2_SR_REPR_Yopp,3,1806,-0.6339171839032691,-0.598049696599698,0.3102951763858891,
V2_SR_REPR_Yopp,4,1807,-0.5763373773793885,-0.5116925277043693,0.33868715083798884,
V2_SR_REPR_Yopp,5,1807,-0.5077159358349336,-0.5670166334883406,0.3311827956989247,
V2_SR_REPR_Yopp,6,1806,-0.4123855375652982,-0.5952567521996864,0.3285816108339273,
V2_SR_REPR_Yopp,7,1807,-0.24902035879318316,-0.5972895536207131,0.31876790830945556,
V2_SR_REPR_Yopp,8,1807,-0.04384376843144291,-0.6443148245913899,0.30623686054660126,
V2_SR_REPR_Yopp,9,1807,0.2658630377436919,-0.6271976086147308,0.3112391930835735,
V2_SR_REPR_Ydir,0,1807,-0.9224540441213559,-0.3313125992761721,,0.4842105263157895
V2_SR_REPR_Ydir,1,1807,0.3291129376520132,-0.8882425459991643,,0.4216589861751152
V2_SR_REPR_Ydir,2,1807,1.0114248402293753,0.0355205528710943,,0.4835164835164835
V2_SR_REPR_Ydir,3,1806,1.5457942165219427,-0.6694180534333596,,0.4538834951456311
V2_SR_REPR_Ydir,4,1807,1.983611670141502,-0.6277507044514998,,0.46766169154228854
V2_SR_REPR_Ydir,5,1807,2.446839646147259,-0.6501289761702841,,0.48868778280542985
V2_SR_REPR_Ydir,6,1806,3.0474697055054567,-0.059533322743660855,,0.43577981651376146
V2_SR_REPR_Ydir,7,1807,4.380195676480674,-0.343276217631745,,0.47368421052631576
V2_SR_REPR_Ydir,8,1807,6.764787913655369,-0.014370978879357614,,0.5342789598108747
V2_SR_REPR_Ydir,9,1807,9.503620580164334,0.309427187750207,,0.5287610619469026
V4_FIELD_CORE_Yopp,0,1807,-0.8543232510446269,-0.9222957719309665,0.29859571322985956,
V4_FIELD_CORE_Yopp,1,1807,-0.7304659702359859,-0.7614714449393725,0.3081850533807829,
V4_FIELD_CORE_Yopp,2,1807,-0.6613670210105486,-0.6398444224792669,0.30324909747292417,
V4_FIELD_CORE_Yopp,3,1806,-0.6036204532264877,-0.5966225854201581,0.3399293286219081,
V4_FIELD_CORE_Yopp,4,1807,-0.5474555172700087,-0.5981616511180832,0.30663780663780665,
V4_FIELD_CORE_Yopp,5,1807,-0.4914633904166891,-0.5877190126099114,0.31623330990864373,
V4_FIELD_CORE_Yopp,6,1806,-0.43436875125240637,-0.5990495803932185,0.30612244897959184,
V4_FIELD_CORE_Yopp,7,1807,-0.36628046986757745,-0.6173996310220917,0.30913012221423436,
V4_FIELD_CORE_Yopp,8,1807,-0.27969956529329837,-0.5808581305179741,0.30561478322672353,
V4_FIELD_CORE_Yopp,9,1807,-0.10044464313607733,-0.4891757288083927,0.3466666666666667,
V4_FIELD_CORE_Ydir,0,1807,-1.725755225973679,-1.331047019627745,,0.4161073825503356
V4_FIELD_CORE_Ydir,1,1807,-0.3029758999062261,0.1431331361425886,,0.5011547344110855
V4_FIELD_CORE_Ydir,2,1807,0.30866652087884083,-0.1330595728936399,,0.48156182212581344
V4_FIELD_CORE_Ydir,3,1806,0.8054682897860966,-0.01805761444038393,,0.5152941176470588
V4_FIELD_CORE_Ydir,4,1807,1.2786560501401742,-0.1443627644551959,,0.556872037914692
V4_FIELD_CORE_Ydir,5,1807,1.7339232621095189,-0.24800695956228122,,0.44419642857142855
V4_FIELD_CORE_Ydir,6,1806,2.1581534731737437,-0.8185535832113261,,0.3951965065502183
V4_FIELD_CORE_Ydir,7,1807,2.600119928835083,-0.741335489723473,,0.44666666666666666
V4_FIELD_CORE_Ydir,8,1807,3.171824823330315,-0.18894676708930616,,0.46078431372549017
V4_FIELD_CORE_Ydir,9,1807,4.521312720054049,0.24109139758222506,,0.5678160919540229
V5_FIELD_FULL_Yopp,0,1807,-1.0162906543532946,-1.1250128754159352,0.27686567164179104,
V5_FIELD_FULL_Yopp,1,1807,-0.8489042019792264,-0.7917494015669124,0.2825928623452294,
V5_FIELD_FULL_Yopp,2,1807,-0.7515760950707892,-0.6762467273920367,0.32474964234620884,
V5_FIELD_FULL_Yopp,3,1806,-0.6765434263274814,-0.6605406774146242,0.3330914368650218,
V5_FIELD_FULL_Yopp,4,1807,-0.6074647680380575,-0.621237131888101,0.30128205128205127,
V5_FIELD_FULL_Yopp,5,1807,-0.5397562602719183,-0.5804632639556259,0.32413305024769995,
V5_FIELD_FULL_Yopp,6,1806,-0.4736799729259333,-0.538900036497299,0.32748538011695905,
V5_FIELD_FULL_Yopp,7,1807,-0.39793796431446893,-0.5059551580498262,0.31254429482636426,
V5_FIELD_FULL_Yopp,8,1807,-0.3065811411292653,-0.4697243801163734,0.3215767634854772,
V5_FIELD_FULL_Yopp,9,1807,-0.11809698223813353,-0.4227703924701492,0.33542976939203356,
V5_FIELD_FULL_Ydir,0,1807,-2.049957818352432,-1.0219577836829716,,0.40503432494279173
V5_FIELD_FULL_Ydir,1,1807,-0.6068424988734346,-0.0798448112878671,,0.5098039215686274
V5_FIELD_FULL_Ydir,2,1807,0.1281698146630782,-0.24501051386744618,,0.5078299776286354
V5_FIELD_FULL_Ydir,3,1806,0.6948706084834286,0.10179526886382577,,0.535796766743649
V5_FIELD_FULL_Ydir,4,1807,1.2154484649398842,-0.1722933578785034,,0.49278846153846156
V5_FIELD_FULL_Ydir,5,1807,1.7252028328056437,-0.4107285956142697,,0.43283582089552236
V5_FIELD_FULL_Ydir,6,1806,2.2192465735782108,-0.49888565792800293,,0.43792325056433407
V5_FIELD_FULL_Ydir,7,1807,2.7761143036492992,-0.8697908488680255,,0.42691415313225056
V5_FIELD_FULL_Ydir,8,1807,3.5014182500964695,-0.1135842439093891,,0.4679144385026738
V5_FIELD_FULL_Ydir,9,1807,5.000516160408717,0.07139853921762444,,0.5523012552301255
