variant,decile,n,predicted_mean,actual_mean,trade_rate
RIDGE__Yopp_PCT,0,10247,-0.0017237182671036933,-0.001642319346441888,0.2946160153047281
RIDGE__Yopp_PCT,1,10246,-0.001406619547202024,-0.0014194824931657666,0.30738768264372524
RIDGE__Yopp_PCT,2,10246,-0.001269801998451746,-0.0012741903148346396,0.29900881057268724
RIDGE__Yopp_PCT,3,10246,-0.0011694582678435802,-0.0011721704371936118,0.303601108033241
RIDGE__Yopp_PCT,4,10246,-0.001080598381722145,-0.0010404266457083265,0.3109439124487004
RIDGE__Yopp_PCT,5,10246,-0.0009990096717369234,-0.0010603203883575727,0.3015208594949072
RIDGE__Yopp_PCT,6,10246,-0.00091994604920369,-0.00106573471705248,0.29292499645540904
RIDGE__Yopp_PCT,7,10246,-0.0008319133488607854,-0.0009751408356122578,0.298684586788676
RIDGE__Yopp_PCT,8,10246,-0.0007292263658868925,-0.0009444402973679917,0.29377236936292056
RIDGE__Yopp_PCT,9,10247,-0.0005480414114388733,-0.0009318307702205165,0.29158931886334427
HGB__Yopp_PCT,0,10247,-0.0017472467184593988,-0.0015302039522979184,0.2979177789642285
HGB__Yopp_PCT,1,10247,-0.0012932453397309323,-0.0013717706654626629,0.2995221843003413
HGB__Yopp_PCT,2,10245,-0.0011303301244925267,-0.0013605975743417194,0.3033865099356283
HGB__Yopp_PCT,3,10247,-0.0010428379775712826,-0.0012189987148728113,0.3048316664318918
HGB__Yopp_PCT,4,10246,-0.0009800062063604717,-0.0011017580325400848,0.2938136931247309
HGB__Yopp_PCT,5,10249,-0.0009269609757520936,-0.0010987032786477246,0.31400498200941046
HGB__Yopp_PCT,6,10242,-0.0008811970506151712,-0.001080532004588058,0.29221691486372575
HGB__Yopp_PCT,7,10246,-0.0008348202983104791,-0.0009481682544584095,0.302843535509175
HGB__Yopp_PCT,8,10251,-0.0007831254993634321,-0.0009152109832712312,0.29235695391897537
HGB__Yopp_PCT,9,10242,-0.0007006254848436917,-0.0009000995252485287,0.29357533851915874
RIDGE__Yopp_ATR200,0,10247,-0.6701995209758306,-0.6687423786057388,0.2940766550522648
RIDGE__Yopp_ATR200,1,10246,-0.6159034428442655,-0.5894326387465026,0.3111998897919824
RIDGE__Yopp_ATR200,2,10246,-0.5936809804950737,-0.5909586238543492,0.3001252261026854
RIDGE__Yopp_ATR200,3,10246,-0.5783311450117808,-0.5629553360930287,0.3007403268612935
RIDGE__Yopp_ATR200,4,10246,-0.5656818226434815,-0.595297023017401,0.2865463844296065
RIDGE__Yopp_ATR200,5,10246,-0.5535773511524454,-0.5985195740426899,0.2939279203477773
RIDGE__Yopp_ATR200,6,10246,-0.5410248384599043,-0.5520599485290869,0.3071577484364142
RIDGE__Yopp_ATR200,7,10246,-0.5270208256725152,-0.528973978571197,0.30362116991643456
RIDGE__Yopp_ATR200,8,10246,-0.5103271594731248,-0.5567038585593207,0.2891903230317438
RIDGE__Yopp_ATR200,9,10247,-0.4762401532819166,-0.5459353055189584,0.3077782432621142
HGB__Yopp_ATR200,0,10248,-0.6837779880273762,-0.681497967023673,0.30069265245144644
HGB__Yopp_ATR200,1,10245,-0.6057549713063018,-0.6119339234702377,0.2988309096093527
HGB__Yopp_ATR200,2,10248,-0.5831511847011915,-0.5986342990068555,0.29209670578255337
HGB__Yopp_ATR200,3,10247,-0.568762897259719,-0.5493872251852401,0.30855949895615864
HGB__Yopp_ATR200,4,10243,-0.5573656167136525,-0.5601738003835629,0.29861789752896833
HGB__Yopp_ATR200,5,10246,-0.5471239973538216,-0.5612110716079709,0.30486257928118393
HGB__Yopp_ATR200,6,10246,-0.5374582761380896,-0.5631811985483745,0.29324249165739713
HGB__Yopp_ATR200,7,10246,-0.5268689018495447,-0.5811791674845835,0.3042986425339366
HGB__Yopp_ATR200,8,10246,-0.5126597354225136,-0.5460809098504718,0.30008393956351426
HGB__Yopp_ATR200,9,10247,-0.4797966383619239,-0.5362855558072556,0.2936442989634479
