direction,decile,rows,distinct_episodes,raw_episode_weight,mean_prediction,actual_mean_y,weighted_actual_mean_y,positive_y_rate
long,0,170,18,4.495071848563869,-2.15728681550884,-2.053651617562867,-1.9567423303936422,0.08823529411764706
long,1,170,26,7.036312500520102,-1.6581354081917739,-2.6108893735338756,-1.6874954582489936,0.11176470588235295
long,2,169,28,8.191149035756395,-1.4079849829351716,-2.1630372045447763,-0.5571807806872902,0.14201183431952663
long,3,170,30,4.790981280836907,-1.2088956284540044,-2.0750744470746625,-1.4898562796103882,0.15294117647058825
long,4,168,33,6.136500217258811,-1.0058431188799601,-1.3946298548185576,-1.0487547468453455,0.17857142857142858
long,5,169,36,8.481083788677136,-0.8213266461318941,-1.4234380575885006,-1.047854694026135,0.23668639053254437
long,6,172,34,11.650308856660022,-0.6488150062441218,-1.4017206657003132,-0.627291956942343,0.12790697674418605
long,7,170,29,6.691133357591978,-0.46150137427864574,-1.1260845336331284,-0.6351219234526615,0.15294117647058825
long,8,166,20,6.125973534512398,-0.30651288744436495,-2.8860215670355776,-1.5087408750569622,0.12048192771084337
long,9,170,16,8.401485579622383,-0.01704268501253153,-2.4061309467099625,-0.9819765733290701,0.13529411764705881
short,0,172,20,4.2821810881229645,-2.0193295121763155,-1.9316167983586794,-1.5006304173802612,0.12209302325581395
short,1,168,22,5.2782287818648275,-1.6773871841128798,-2.9879651110885925,-2.467426787776756,0.06547619047619048
short,2,175,27,8.708236729539191,-1.4866998081046408,-1.8960127579497275,-1.0311799160524682,0.14857142857142858
short,3,163,31,5.458839691649954,-1.3764857161007955,-3.72202800278045,-2.4680516702913535,0.10429447852760736
short,4,169,33,6.88978780779841,-1.263935729516438,-2.2130756517725194,-1.1975586854876759,0.13609467455621302
short,5,169,37,8.711579927115402,-1.1333889158530808,-3.3094187141512785,-1.498955861847301,0.1834319526627219
short,6,170,32,7.122956036660315,-1.0046602598052057,-2.2923210531027833,-0.21947379702708383,0.14705882352941177
short,7,170,35,8.441530864703484,-0.8803421351587258,-2.957083124776562,-1.3722777128993597,0.14705882352941177
short,8,168,29,7.7474477715791945,-0.7560807530591309,-2.7853844028681842,-2.125609978443996,0.14285714285714285
short,9,170,24,9.359211300966258,-0.5269800859497541,-5.622178819408637,-2.3765975490510836,0.1411764705882353
