direction,feature,gain,gain_pct
long,m15_RESISTANCE_distance_atr,22910.895111083984,9.012197499014869
long,m15_BUYSIDE_LIQUIDITY_distance_atr,20970.10498046875,8.248771021068944
long,m5_dev,16068.603149414062,6.320723149998319
long,h1_SELLSIDE_LIQUIDITY_distance_atr,13290.798049926758,5.228049640343995
long,m5_SELLSIDE_LIQUIDITY_distance_atr,12895.980026245117,5.072744577475968
long,m5_RESISTANCE_distance_atr,12551.702056884766,4.937319879340353
long,m15_SUPPORT_distance_atr,12096.886932373047,4.75841444121735
long,h1_SUPPORT_distance_atr,12023.708877563477,4.7296292244311875
long,h1_dev,11998.463150024414,4.7196986005299735
long,h4_slope_atr,11836.811981201172,4.656111723966741
long,m15_slope_atr,11774.501998901367,4.6316015569076505
long,h1_RESISTANCE_distance_atr,11743.069961547852,4.6192374948728485
long,h1_BUYSIDE_LIQUIDITY_distance_atr,10365.102035522461,4.077201968262593
long,h4_dev,9059.519927978516,3.5636400254699785
long,m5_SUPPORT_distance_atr,8647.755096435547,3.401668790080815
long,m5_slope_atr,7559.842910766602,2.973729181816003
long,m5_RESISTANCE_phase,7415.7490234375,2.9170486128240736
long,m15_dev,6866.415069580078,2.7009633808384095
long,h1_slope_atr,6742.723968505859,2.652308423171034
long,m15_RESISTANCE_max_penetration_atr,5147.12890625,2.0246673921339724
long,m15_SELLSIDE_LIQUIDITY_distance_atr,4452.962951660156,1.7516112479054864
long,m5_BUYSIDE_LIQUIDITY_distance_atr,3927.6900329589844,1.5449906308904506
long,m5_RESISTANCE_episode_age_5m,3207.2150268554688,1.2615855951366284
long,m5_SUPPORT_phase,2290.581024169922,0.9010197321940598
long,m15_trend_state,1629.9110107421875,0.6411395043016525
long,h1_SELLSIDE_LIQUIDITY_approach_velocity,1422.3489990234375,0.5594932031059716
long,m15_RESISTANCE_episode_age_5m,898.4440002441406,0.3534106691487562
long,m15_SUPPORT_phase,837.2689819335938,0.329346949929258
long,h1_SELLSIDE_LIQUIDITY_path_efficiency,629.6129760742188,0.24766367533053224
long,m5_SELLSIDE_LIQUIDITY_max_penetration_atr,603.4609985351562,0.23737657020307654
long,m15_RESISTANCE_phase,506.6630096435547,0.19930024934486076
long,h1_SUPPORT_phase,401.43299865722656,0.1579071201268979
