level,name,tf,family,property,n_rows,missing,missing_fraction
column,m5_trend_state,m5,DTP,trend_state,15967,0,0.0
column,m5_slope_atr,m5,DTP,slope_atr,15967,0,0.0
column,m5_dev,m5,DTP,dev,15967,0,0.0
column,m5_SUPPORT_distance_atr,m5,SUPPORT,distance,15967,1643,0.10289973069455753
column,m5_SUPPORT_phase,m5,SUPPORT,phase,15967,0,0.0
column,m5_SUPPORT_episode_age_5m,m5,SUPPORT,age,15967,0,0.0
column,m5_SUPPORT_approach_velocity,m5,SUPPORT,velocity,15967,0,0.0
column,m5_SUPPORT_path_efficiency,m5,SUPPORT,efficiency,15967,0,0.0
column,m5_SUPPORT_max_penetration_atr,m5,SUPPORT,penetration,15967,0,0.0
column,m5_RESISTANCE_distance_atr,m5,RESISTANCE,distance,15967,1720,0.10772217699004197
column,m5_RESISTANCE_phase,m5,RESISTANCE,phase,15967,0,0.0
column,m5_RESISTANCE_episode_age_5m,m5,RESISTANCE,age,15967,0,0.0
column,m5_RESISTANCE_approach_velocity,m5,RESISTANCE,velocity,15967,0,0.0
column,m5_RESISTANCE_path_efficiency,m5,RESISTANCE,efficiency,15967,0,0.0
column,m5_RESISTANCE_max_penetration_atr,m5,RESISTANCE,penetration,15967,0,0.0
column,m5_BUYSIDE_LIQUIDITY_distance_atr,m5,BUYSIDE_LIQUIDITY,distance,15967,7592,0.4754806789002317
column,m5_BUYSIDE_LIQUIDITY_phase,m5,BUYSIDE_LIQUIDITY,phase,15967,0,0.0
column,m5_BUYSIDE_LIQUIDITY_episode_age_5m,m5,BUYSIDE_LIQUIDITY,age,15967,0,0.0
column,m5_BUYSIDE_LIQUIDITY_approach_velocity,m5,BUYSIDE_LIQUIDITY,velocity,15967,0,0.0
column,m5_BUYSIDE_LIQUIDITY_path_efficiency,m5,BUYSIDE_LIQUIDITY,efficiency,15967,0,0.0
column,m5_BUYSIDE_LIQUIDITY_max_penetration_atr,m5,BUYSIDE_LIQUIDITY,penetration,15967,0,0.0
