symbol,model,direction,fold,rows,w_rmse,r2,spearman,baseline_wRMSE,rel_wrmse_improvement
AG,M0,long,0,7639,3.223183858435283,-0.22584044534708037,0.0753679384324573,3.225428625928166,0.0006959594377126214
AL,M0,long,1,6946,3.1509273355141785,-0.13443400601932964,0.05574910130902554,3.146940996471311,-0.0012667345995165762
AU,M0,long,2,7291,3.132738071840074,-0.21161659387097198,0.14869256989910742,3.1946422149558362,0.01937748860450023
CF,M0,long,3,4939,2.4880495681557844,-0.09061924477878347,0.18030729708354307,2.5671077079395928,0.03079658073531394
CU,M0,long,4,6857,2.690583363729722,-0.14506620675715665,-0.016915751235160512,2.730653200337768,0.014674084795201905
POOLED,M0,long,-1,33672,2.9991596090019974,-0.1643974404947277,0.07923937672213281,3.0349074642734255,0.011778894642504806
AG,M1,long,0,7639,3.1058253176061488,-0.19038585268621033,0.0421935054430676,3.225428625928166,0.0370813687708249
AL,M1,long,1,6946,3.0586173866072337,-0.09784553577106969,0.10168316621636617,3.146940996471311,0.028066496945165265
AU,M1,long,2,7291,2.9787111160779856,-0.12958554298010783,0.14940515358329073,3.1946422149558362,0.06759163760716652
CF,M1,long,3,4939,2.4535808723275214,-0.06449286613402849,0.07711920310319305,2.5671077079395928,0.04422363551827361
CU,M1,long,4,6857,2.6051629631070194,-0.06557278005888323,0.06717599504372891,2.730653200337768,0.04595612405677366
POOLED,M1,long,-1,33672,2.889920030597996,-0.11061596591529588,0.0768846184017985,3.0349074642734255,0.0477732633967277
AG,M2,long,0,7639,3.111643434981031,-0.1903476799010031,0.030432215591232555,3.225428625928166,0.03527754110956078
AL,M2,long,1,6946,3.062254824901278,-0.10096822531218419,0.09701292459909859,3.146940996471311,0.026910632155160246
AU,M2,long,2,7291,2.9851661026968457,-0.14290256635221454,0.1416838840790304,3.1946422149558362,0.06557107123868844
CF,M2,long,3,4939,2.473218375255503,-0.061377481410922696,0.07357776912625742,2.5671077079395928,0.0365739748253287
CU,M2,long,4,6857,2.576993536014834,-0.058150604648953275,0.08660890482725594,2.730653200337768,0.05627212723458506
POOLED,M2,long,-1,33672,2.8926068282605764,-0.11384201601635513,0.07125593697646156,3.0349074642734255,0.046887965345894574
AG,M0,short,0,7639,3.158208431703264,-0.17092800953305276,0.0785701195006906,3.2222516105256367,0.0198752880169794
AL,M0,short,1,6946,2.8870729329723988,-0.1053841744397106,0.09111360327996919,2.968590180629591,0.027459919590485153
AU,M0,short,2,7291,2.8709658447904807,-0.08792426567053346,0.032523417284335436,2.929629560525451,0.020024277651147386
CF,M0,short,3,4939,2.654966193563153,-0.0507278454695026,0.01862038098369144,2.6817327762602075,0.009981077508543417
CU,M0,short,4,6857,3.134871709576192,-0.09046469395064882,0.04694204568117907,3.2561514326539007,0.03724633991572703
POOLED,M0,short,-1,33672,2.9534524810709177,-0.10002166345203145,0.057938047451909704,3.0227875226092236,0.022937451282866516
AG,M1,short,0,7639,3.018050573434976,-0.11957411410818275,0.1363054502157898,3.2222516105256367,0.06337215766255755
AL,M1,short,1,6946,2.76568718801515,-0.06551291079211263,0.11692074856562117,2.968590180629591,0.06834995074039109
AU,M1,short,2,7291,2.7540867588644256,-0.04225917020695258,0.1326111033774629,2.929629560525451,0.059919794647873746
CF,M1,short,3,4939,2.5307304012119705,0.011170262989018132,0.13611903510171625,2.6817327762602075,0.0563077635419053
CU,M1,short,4,6857,3.0696650881291516,-0.0769115296372529,0.058235544389440085,3.2561514326539007,0.05727201218425977
POOLED,M1,short,-1,33672,2.8380727789331943,-0.058952719099051976,0.12199290545151521,3.0227875226092236,0.06110741899469875
AG,M2,short,0,7639,3.010532830413581,-0.1258758624770473,0.11799879797203076,3.2222516105256367,0.0657052290455737
AL,M2,short,1,6946,2.7626043007686976,-0.06103943245578347,0.1384391854909779,2.968590180629591,0.06938845287738815
AU,M2,short,2,7291,2.742443733783445,-0.03736342211775012,0.13720575034412658,2.929629560525451,0.06389402580592242
CF,M2,short,3,4939,2.545895890280838,0.0009608125879827512,0.13373794083906,2.6817327762602075,0.050652655321161304
CU,M2,short,4,6857,3.091055911382107,-0.07789881719250724,0.07173851049793548,3.2561514326539007,0.05070265455597497
POOLED,M2,short,-1,33672,2.838095561290117,-0.05991555953176464,0.12196635280029217,3.0227875226092236,0.06109988212459049
