model,direction,decile,rows,distinct_episodes,raw_episode_weight,mean_prediction,actual_mean_y,weighted_actual_mean_y,positive_y_rate,spread,rho_D,monotonicity_violations
M0,long,0,8963,391,151.6566036402011,-1.9048713301596265,-2.9260033355419584,-2.3415442474023185,0.11078879839339507,1.6730293068770203,0.9878787878787878,1
M0,long,1,8963,525,142.25822870900208,-1.7576326641238753,-2.7062391862468496,-2.294039394007249,0.10342519245788241,1.6730293068770203,0.9878787878787878,1
M0,long,2,9063,632,166.5209808669223,-1.6617166206241047,-2.4069983635978955,-1.823207180085608,0.12048990400529626,1.6730293068770203,0.9878787878787878,1
M0,long,3,8860,646,158.43497182969728,-1.5854481630684134,-2.5811939917557813,-1.9573373488123649,0.11591422121896162,1.6730293068770203,0.9878787878787878,1
M0,long,4,8972,685,176.77607193270688,-1.4807665944409962,-2.587858081161038,-1.7309620726912185,0.11892554614355773,1.6730293068770203,0.9878787878787878,1
M0,long,5,8952,751,225.4842587575327,-1.3320923585450237,-2.76724850736252,-1.730698620420904,0.11840929401251117,1.6730293068770203,0.9878787878787878,1
M0,long,6,8962,802,270.16718413276305,-1.1715803867652856,-2.5826226731522346,-1.435174648320921,0.11872349921892435,1.6730293068770203,0.9878787878787878,1
M0,long,7,8962,849,349.718186336808,-1.0113430192252704,-2.3255970349913744,-1.0558249144280696,0.14461057799598304,1.6730293068770203,0.9878787878787878,1
M0,long,8,8981,830,418.32265613429576,-0.8775021722722075,-2.21488107765481,-0.8931461947785815,0.14853579779534573,1.6730293068770203,0.9878787878787878,1
M0,long,9,8943,810,559.6608576600707,-0.5628151270717363,-2.1633521120620576,-0.668514940525298,0.16616347981661636,1.6730293068770203,0.9878787878787878,1
M1,long,0,8964,695,133.8206721555785,-2.649335984193304,-2.6290244171378037,-2.644442778438437,0.11256135653726015,2.506152755870127,0.9878787878787878,1
M1,long,1,8961,854,132.46651695128185,-2.3198139691832926,-2.65813049782153,-2.5408627079982784,0.11003236245954692,2.506152755870127,0.9878787878787878,1
M1,long,2,8962,986,134.86973074519432,-2.1929520347073246,-2.7230967632594223,-2.5701104530138346,0.1019861638027226,2.506152755870127,0.9878787878787878,1
M1,long,3,8962,1078,144.61477964898233,-2.071909687373664,-2.615332763423611,-2.3487154540301067,0.1124748939968757,2.506152755870127,0.9878787878787878,1
M1,long,4,8963,1180,165.43400012945364,-1.9423992459881396,-2.62449287980833,-2.1210995296825472,0.10777641414704899,2.506152755870127,0.9878787878787878,1
M1,long,5,8961,1244,179.09717016857618,-1.7875039947100735,-2.694436871472054,-2.0907978177666497,0.11226425622140386,2.506152755870127,0.9878787878787878,1
M1,long,6,8962,1344,213.05639103145108,-1.5884936732166706,-2.712766207298866,-1.9814586658974795,0.12251729524659674,2.506152755870127,0.9878787878787878,1
M1,long,7,8962,1509,305.4891267147786,-1.3161807383508413,-2.3342986984284524,-1.388597974826929,0.13389868332961394,2.506152755870127,0.9878787878787878,1
M1,long,8,8962,1704,468.7994769657411,-0.9448691811756703,-2.206482474633801,-0.9495696391131899,0.15599196607900023,2.506152755870127,0.9878787878787878,1
M1,long,9,8962,1672,741.3521354889623,-0.32605876577972,-2.0619368587346756,-0.13829002256830986,0.19649631778620844,2.506152755870127,0.9878787878787878,1
M2,long,0,8963,744,146.39614457027545,-2.6952618185487105,-2.6948239012155684,-2.5121965384017693,0.10922682137677117,2.357292691065525,0.9878787878787878,1
M2,long,1,8962,877,131.89036767292637,-2.324137242206691,-2.648682379895668,-2.525140443675487,0.11292122294130774,2.357292691065525,0.9878787878787878,1
M2,long,2,8963,976,136.02390909536157,-2.195883041256779,-2.586498395260528,-2.45021886577695,0.11045408903268995,2.357292691065525,0.9878787878787878,1
M2,long,3,8962,1053,141.85226506732886,-2.080654675124856,-2.6132115886900733,-2.3393467902822236,0.10812318678866324,2.357292691065525,0.9878787878787878,1
M2,long,4,8961,1166,161.14608653057178,-1.9530053271452807,-2.6616778611786107,-2.216861004876884,0.10132797678830488,2.357292691065525,0.9878787878787878,1
M2,long,5,8964,1267,181.8600709374266,-1.7943430965007596,-2.7674522980626333,-2.1384405744023747,0.11211512717536815,2.357292691065525,0.9878787878787878,1
M2,long,6,8961,1352,208.79693848194663,-1.5942627554224071,-2.6625594002969137,-2.0359968946836986,0.12520924004017409,2.357292691065525,0.9878787878787878,1
M2,long,7,8961,1540,303.26364866241477,-1.3165323638021782,-2.3664543906773217,-1.4407489273056477,0.1335788416471376,2.357292691065525,0.9878787878787878,1
M2,long,8,8962,1728,481.56680332927294,-0.9217703178829836,-2.1491837544696266,-0.8504308719226548,0.15710778844008033,2.357292691065525,0.9878787878787878,1
M2,long,9,8962,1691,726.203765652475,-0.30328101368057164,-2.109388008255126,-0.1549038473362443,0.19593840660566839,2.357292691065525,0.9878787878787878,1
M0,short,0,8964,480,167.38322717590347,-2.5755698361394344,-2.6003832283992376,-2.0640601302081425,0.11668897813476127,1.4883954582836898,0.9636363636363635,1
M0,short,1,8961,613,167.97522637439113,-2.1452532870226255,-2.6978893548129643,-2.0542939402454827,0.11137149871666109,1.4883954582836898,0.9636363636363635,1
M0,short,2,8962,686,160.03044644039772,-1.9883528828030597,-2.732872810950339,-2.194404421010692,0.11180540058022763,1.4883954582836898,0.9636363636363635,1
M0,short,3,8964,751,170.07281886526314,-1.8612445627275354,-2.6668003928703974,-1.9749071669704137,0.11746987951807229,1.4883954582836898,0.9636363636363635,1
M0,short,4,8961,802,183.10883824617127,-1.7161603139021129,-2.6263396502398004,-1.8728378684124858,0.10780046869768999,1.4883954582836898,0.9636363636363635,1
M0,short,5,8982,859,222.88826223900818,-1.5607324438114074,-2.680219963953015,-1.8118537287374004,0.11790247160988644,1.4883954582836898,0.9636363636363635,1
M0,short,6,8942,881,277.29962902579246,-1.3939105497608235,-2.5168022807889643,-1.3465298133686083,0.13923059718183853,1.4883954582836898,0.9636363636363635,1
M0,short,7,8961,911,342.96096095977805,-1.2019033251204845,-2.5282712388876605,-1.0685930342289294,0.1314585425733735,1.4883954582836898,0.9636363636363635,1
M0,short,8,8978,822,378.9268517586919,-1.003666935841203,-2.2513593078239595,-1.052038120964345,0.13956337714413009,1.4883954582836898,0.9636363636363635,1
M0,short,9,8946,827,548.3537389146026,-0.6697572897140845,-2.0624329683248126,-0.5756646719244527,0.15235859602056784,1.4883954582836898,0.9636363636363635,1
M1,short,0,8963,571,140.43281004367873,-3.1078842061554033,-2.9951993868524585,-2.960431537587974,0.10152850608055339,2.9198872111018104,0.9878787878787878,1
M1,short,1,8962,797,139.03307923833412,-2.4171970696888523,-2.8240683911291624,-2.639579242873994,0.10622628877482705,2.9198872111018104,0.9878787878787878,1
M1,short,2,8962,937,140.8024189708305,-2.2728520923879745,-2.810821140814766,-2.698612244621993,0.11135907163579559,2.9198872111018104,0.9878787878787878,1
M1,short,3,8962,1057,151.03095356671838,-2.150714496548356,-2.871972042267491,-2.589830436558197,0.1067841999553671,2.9198872111018104,0.9878787878787878,1
M1,short,4,8964,1152,166.59056791676068,-2.0280429584246544,-2.6182093172397125,-2.3269506612747044,0.10876840696117805,2.9198872111018104,0.9878787878787878,1
M1,short,5,8967,1204,182.1053604210873,-1.890989258538183,-2.5139374460147774,-2.086769240117422,0.11564625850340136,2.9198872111018104,0.9878787878787878,1
M1,short,6,8955,1313,221.64111610450513,-1.7290632396907557,-2.4938315158135915,-1.8017405447365364,0.11725293132328309,2.9198872111018104,0.9878787878787878,1
M1,short,7,8962,1469,285.52336119519947,-1.487105583561839,-2.35462353404453,-1.563189979967093,0.12910064717696942,2.9198872111018104,0.9878787878787878,1
M1,short,8,8963,1676,441.2311524037788,-1.0912033628208164,-2.0870370818932735,-0.8634212056487791,0.15709025995760348,2.9198872111018104,0.9878787878787878,1
