direction,feature,gain,gain_pct
long,h1_dev,454593.86209106445,11.372603478678077
long,m15_RESISTANCE_distance_atr,315419.91247558594,7.890879954612331
long,m5_RESISTANCE_distance_atr,256634.42712402344,6.420239739344674
long,m5_SUPPORT_distance_atr,221137.0619506836,5.5321999035288485
long,h1_SUPPORT_distance_atr,216407.31005859375,5.413875400479377
long,h1_RESISTANCE_distance_atr,212875.85800170898,5.325528840404469
long,m15_SUPPORT_distance_atr,188427.34143066406,4.713898750800034
long,h4_RESISTANCE_distance_atr,177458.3262939453,4.439486203460072
long,h4_SUPPORT_distance_atr,142707.63641357422,3.570125990803256
long,h4_slope_atr,123184.08706665039,3.0817041185904475
long,m5_SELLSIDE_LIQUIDITY_distance_atr,105556.77517700195,2.6407205391073587
long,m15_dev,100246.806640625,2.5078807194699024
long,m5_BUYSIDE_LIQUIDITY_distance_atr,98497.50885009766,2.4641184257022624
long,m15_BUYSIDE_LIQUIDITY_distance_atr,75113.34530639648,1.8791153232850988
long,m5_dev,72217.91400146484,1.8066801346988026
long,h1_SELLSIDE_LIQUIDITY_distance_atr,71751.44812011719,1.7950105281614483
long,h1_slope_atr,70163.32916259766,1.7552804554812695
long,h1_RESISTANCE_phase,69411.88671875,1.7364815722063864
long,m15_SELLSIDE_LIQUIDITY_distance_atr,66310.34094238281,1.6588900048162245
long,h4_dev,63230.171813964844,1.5818332183835342
long,h1_BUYSIDE_LIQUIDITY_distance_atr,58700.49557495117,1.4685140206360447
long,m15_RESISTANCE_phase,55301.622619628906,1.3834842003532104
long,h4_RESISTANCE_phase,55132.07696533203,1.3792426659669297
long,m15_slope_atr,53101.56936645508,1.3284453285892321
long,m5_RESISTANCE_phase,47996.81558227539,1.2007393794223964
long,h1_SUPPORT_max_penetration_atr,47082.16995239258,1.177857631691981
long,h4_BUYSIDE_LIQUIDITY_distance_atr,45926.54119873047,1.1489471938706155
long,m5_slope_atr,44716.252044677734,1.1186693133460668
long,m5_RESISTANCE_max_penetration_atr,34856.1510925293,0.8719985424898219
long,m5_BUYSIDE_LIQUIDITY_phase,33720.137298583984,0.8435788133596896
long,h4_SELLSIDE_LIQUIDITY_distance_atr,27492.747650146484,0.687787811578154
long,m15_SELLSIDE_LIQUIDITY_phase,24292.014770507812,0.6077148741349154
long,h1_SUPPORT_phase,24110.939086914062,0.6031848922744701
long,m15_RESISTANCE_max_penetration_atr,23930.177001953125,0.5986627557309107
long,m15_SELLSIDE_LIQUIDITY_max_penetration_atr,22862.613311767578,0.5719554471877027
long,m15_SUPPORT_phase,21891.943298339844,0.547672133901028
long,h4_BUYSIDE_LIQUIDITY_max_penetration_atr,17416.53302001953,0.4357105111337996
long,h1_SELLSIDE_LIQUIDITY_phase,16568.609954833984,0.41449796603601996
long,m5_SUPPORT_max_penetration_atr,16086.753936767578,0.40244334347231664
long,h4_SUPPORT_max_penetration_atr,14037.903015136719,0.35118711002593483
long,h4_BUYSIDE_LIQUIDITY_episode_age_5m,13846.324951171875,0.3463943894496756
long,h4_BUYSIDE_LIQUIDITY_phase,13494.385925292969,0.33758990851897785
long,m5_SELLSIDE_LIQUIDITY_phase,13256.636840820312,0.3316421245944676
long,m5_RESISTANCE_episode_age_5m,11603.370361328125,0.2902822522253851
long,h1_RESISTANCE_episode_age_5m,10912.351867675781,0.2729949987446787
long,h1_BUYSIDE_LIQUIDITY_phase,10777.4580078125,0.2696203504973908
long,m5_SELLSIDE_LIQUIDITY_max_penetration_atr,10602.486999511719,0.2652430896859136
long,m5_SUPPORT_phase,9866.522979736328,0.24683143112770178
long,h1_SUPPORT_episode_age_5m,9361.175903320312,0.23418913126744254
long,m15_SUPPORT_max_penetration_atr,8686.17398071289,0.21730256536035208
long,h4_trend_state,8293.725128173828,0.20748464752692805
long,h4_SUPPORT_episode_age_5m,7359.853088378906,0.18412191148038548
long,h4_BUYSIDE_LIQUIDITY_approach_velocity,7116.570983886719,0.1780357076431376
long,h1_SELLSIDE_LIQUIDITY_episode_age_5m,6209.259948730469,0.15533744993416312
long,m5_SUPPORT_episode_age_5m,5425.804138183594,0.1357376862342496
long,m15_SUPPORT_episode_age_5m,5244.02001953125,0.1311899814090139
long,h4_RESISTANCE_episode_age_5m,4751.9700927734375,0.11888033718507093
long,h4_SUPPORT_phase,4659.333068847656,0.11656283088239744
long,h1_RESISTANCE_max_penetration_atr,4274.054016113281,0.10692428038540235
long,m5_SUPPORT_path_efficiency,4178.821044921875,0.10454183110534744
long,m5_SELLSIDE_LIQUIDITY_episode_age_5m,3249.6199951171875,0.08129594951162888
long,m15_SUPPORT_approach_velocity,3219.3699951171875,0.08053918334314705
long,m5_RESISTANCE_path_efficiency,3121.639892578125,0.07809426316979755
long,m15_BUYSIDE_LIQUIDITY_phase,2967.9679565429688,0.07424984259999556
long,h1_BUYSIDE_LIQUIDITY_episode_age_5m,2711.1550903320312,0.0678251388386968
long,m15_SUPPORT_path_efficiency,2241.3409423828125,0.05607176850342125
long,m5_RESISTANCE_approach_velocity,2224.1201171875,0.05564095402735011
long,h4_SELLSIDE_LIQUIDITY_phase,2018.5719604492188,0.050498742754182126
long,m15_RESISTANCE_episode_age_5m,1945.0240478515625,0.04865878996025271
long,h4_RESISTANCE_approach_velocity,1849.4100036621094,0.046266807352837676
long,m5_BUYSIDE_LIQUIDITY_max_penetration_atr,1766.7750244140625,0.04419952283620562
long,h4_RESISTANCE_max_penetration_atr,1733.0879516601562,0.04335677120065711
long,m5_SELLSIDE_LIQUIDITY_path_efficiency,1414.6800231933594,0.035391139860490035
long,m5_SUPPORT_approach_velocity,1301.3670043945312,0.0325563808827876
long,h1_trend_state,1240.4100341796875,0.031031416492977738
long,m15_RESISTANCE_path_efficiency,1090.31005859375,0.027276355884270763
long,m15_trend_state,1042.5400390625,0.026081290276040475
long,h1_SELLSIDE_LIQUIDITY_path_efficiency,959.4810180664062,0.02400339748010442
long,h4_SUPPORT_path_efficiency,955.3839721679688,0.023900901423024926
long,m5_BUYSIDE_LIQUIDITY_episode_age_5m,868.0089721679688,0.021715035506624934
long,h4_BUYSIDE_LIQUIDITY_path_efficiency,756.8829956054688,0.018934989903252878
long,h4_SELLSIDE_LIQUIDITY_max_penetration_atr,745.0750122070312,0.018639588833701388
long,m15_SELLSIDE_LIQUIDITY_episode_age_5m,689.823974609375,0.017257370122051013
long,h1_SELLSIDE_LIQUIDITY_approach_velocity,669.9530029296875,0.016760256763305625
long,h4_SELLSIDE_LIQUIDITY_path_efficiency,0.0,0.0
long,h4_SELLSIDE_LIQUIDITY_approach_velocity,0.0,0.0
long,h4_SELLSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
long,m5_BUYSIDE_LIQUIDITY_approach_velocity,0.0,0.0
long,m5_BUYSIDE_LIQUIDITY_path_efficiency,0.0,0.0
long,m5_SELLSIDE_LIQUIDITY_approach_velocity,0.0,0.0
long,m15_RESISTANCE_approach_velocity,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_episode_age_5m,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_approach_velocity,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_path_efficiency,0.0,0.0
long,m15_BUYSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
long,h1_SELLSIDE_LIQUIDITY_max_penetration_atr,0.0,0.0
long,h4_RESISTANCE_path_efficiency,0.0,0.0
long,m15_SELLSIDE_LIQUIDITY_approach_velocity,0.0,0.0
long,m15_SELLSIDE_LIQUIDITY_path_efficiency,0.0,0.0
