direction,group_kind,group,n_features,permutation,mean_delta_rmse_episode,std_delta_rmse_episode,baseline_rmse_episode
long,tf,m5,27,full,0.08471485691864285,0.005201140570869896,2.940716357544923
long,tf,m15,27,full,0.09086766550389092,0.008648884004187967,2.940716357544923
long,tf,h1,27,full,0.11011494337453262,0.010634019853436366,2.940716357544923
long,tf,h4,27,full,0.09030086965519919,0.006851273563584132,2.940716357544923
long,semantic,DTP,12,full,0.04336731242185472,0.0023666338597149728,2.940716357544923
long,semantic,SUPPORT,24,full,0.0947583974255796,0.0031874539610722953,2.940716357544923
long,semantic,RESISTANCE,24,full,0.16332545002140292,0.004929666590250849,2.940716357544923
long,semantic,BUYSIDE_LIQUIDITY,24,full,0.03357210536796344,0.002451733934034368,2.940716357544923
long,semantic,SELLSIDE_LIQUIDITY,24,full,0.0289565221188929,0.005195108852362962,2.940716357544923
long,property,distance,16,full,0.19737315630223246,0.007278364166805905,2.940716357544923
long,property,phase,16,full,0.03609125776772197,0.005373988590281222,2.940716357544923
long,property,age,16,full,0.003678324867221061,0.0005497063314804563,2.940716357544923
long,property,velocity,16,full,0.00036924845124204354,0.00012836030314634686,2.940716357544923
long,property,efficiency,16,full,0.0001975041607843231,0.00017172225158833688,2.940716357544923
long,property,penetration,16,full,0.002749620497808092,0.001503428553060097,2.940716357544923
short,tf,m5,27,full,0.08371179399304056,0.003857917081402322,3.071561113456972
short,tf,m15,27,full,0.08533233276443433,0.0028997772156087085,3.071561113456972
short,tf,h1,27,full,0.12701675240151947,0.012294587707696522,3.071561113456972
short,tf,h4,27,full,0.1329591732735068,0.009917987755517001,3.071561113456972
short,semantic,DTP,12,full,0.033109456206774454,0.0024808364609268385,3.071561113456972
short,semantic,SUPPORT,24,full,0.16694857739287974,0.00884502358703079,3.071561113456972
short,semantic,RESISTANCE,24,full,0.13886674693157408,0.011414703876753689,3.071561113456972
short,semantic,BUYSIDE_LIQUIDITY,24,full,0.03483810758707149,0.005876845042653412,3.071561113456972
short,semantic,SELLSIDE_LIQUIDITY,24,full,0.022440022331641708,0.00727945139996987,3.071561113456972
short,property,distance,16,full,0.17968831486869935,0.004772946907621395,3.071561113456972
short,property,phase,16,full,0.03640158917853746,0.0039241866281660015,3.071561113456972
short,property,age,16,full,0.003947927183923117,0.0009524932097731029,3.071561113456972
short,property,velocity,16,full,0.0011466394246602897,0.00039863551162407237,3.071561113456972
short,property,efficiency,16,full,0.0012083289309787304,0.0002563616506488916,3.071561113456972
short,property,penetration,16,full,0.003662613893940225,0.0008742269049202799,3.071561113456972
