rows,mae,rmse,r2,spearman,w_mae,w_rmse,w_r2,w_spearman,model,direction,block,rel_wrmse_improvement
86479,2.1702087876897305,3.572261194747153,-0.18001785212083,,1.9502642941210688,3.097718152816767,-0.0006147671541296,,M0,long,baseline_validation,
89621,2.2312404323331134,3.536067078510532,-0.2277156136800697,,1.90352306576524,2.9574930892475075,-0.012747451261676,,M0,long,baseline_test,
86479,2.163030299897389,3.5017185741395807,-0.1338736045618782,0.0583427248106275,1.9298218835353276,3.0558792510453867,0.0262320287988362,,M0,long,model_validation,0.0135063616854025
89621,2.194954462908015,3.4073503435174053,-0.1399619859762455,0.0633349349159977,1.897580123797725,2.894619079195543,0.0298552840409218,,M0,long,model_test,0.0212592246725965
89091,2.2267377136655493,3.5300839513943503,-0.2271220560039366,,1.9040325888176657,2.957666420371714,-0.0128020530822876,,M0,long,baseline_test_dtp_ready,
89091,2.1909295673044333,3.4018073442420724,-0.1395598080184634,0.0618743470308733,1.898083532564397,2.8946423102967995,0.0299011195801744,,M0,long,model_test_dtp_ready,0.0213087282733506
86479,2.1702087876897305,3.572261194747153,-0.18001785212083,,1.9502642941210688,3.097718152816767,-0.0006147671541296,,M1,long,baseline_validation,
89621,2.2312404323331134,3.536067078510532,-0.2277156136800697,,1.90352306576524,2.9574930892475075,-0.012747451261676,,M1,long,baseline_test,
86479,2.2002269562571644,3.403013652351592,-0.0708522381221845,0.0695487345311206,1.89391421497372,2.9416015163152043,0.0977003521048026,,M1,long,model_validation,0.0503973017556828
89621,2.2200686718480567,3.3222791033197923,-0.0837497701857337,0.0646634017540992,1.8394902885432136,2.7877301732642303,0.1001810120834585,,M1,long,model_test,0.0574009510285858
89091,2.2267377136655493,3.5300839513943503,-0.2271220560039366,,1.9040325888176657,2.957666420371714,-0.0128020530822876,,M1,long,baseline_test_dtp_ready,
89091,2.2158961908539054,3.3159926574230445,-0.0827914429702254,0.065122207369945,1.839585044537684,2.7874507653568186,0.1004183205540464,,M1,long,model_test_dtp_ready,0.0575506601564293
86479,2.1702087876897305,3.572261194747153,-0.18001785212083,,1.9502642941210688,3.097718152816767,-0.0006147671541296,,M2,long,baseline_validation,
89621,2.2312404323331134,3.536067078510532,-0.2277156136800697,,1.90352306576524,2.9574930892475075,-0.012747451261676,,M2,long,baseline_test,
86479,2.2015500386798945,3.399939047587059,-0.0689180936401023,0.072373746864259,1.8968680924525985,2.940716357544923,0.0982432932727092,,M2,long,model_validation,0.0506830471742827
89621,2.226699210462907,3.327802143567024,-0.0873560709888576,0.0634555205394194,1.8476394596576793,2.7936936271961903,0.0963271466114642,,M2,long,model_test,0.0553845629079707
89091,2.2267377136655493,3.5300839513943503,-0.2271220560039366,,1.9040325888176657,2.957666420371714,-0.0128020530822876,,M2,long,baseline_test_dtp_ready,
89091,2.2226300897953672,3.321570589451284,-0.0864372995849909,0.0638846245534396,1.8478646124926057,2.7934586908467365,0.0965363189871175,,M2,long,model_test_dtp_ready,0.0555193541752893
86479,2.120324836913484,3.519489098776701,-0.1356786403295284,,2.029782918026468,3.2034396549586375,-0.0027018971959942,,M0,short,baseline_validation,
89621,2.214487678792403,3.529327877813172,-0.167426041385909,,1.9724752502394205,3.018991876997283,-0.0030524342907694,,M0,short,baseline_test,
86479,2.154145764866721,3.42345418503829,-0.0745465878631252,0.0335306532274389,2.05055566507288,3.158382258775349,0.025306376419054,,M0,short,model_validation,0.0140653176074484
89621,2.239442412741078,3.413988701974132,-0.0923693917258612,0.0411296933642644,1.9980716510004304,2.966725847914387,0.031377443843702,,M0,short,model_test,0.0173124112989929
89091,2.202210087075263,3.4952341021106172,-0.167491977229375,,1.964854677804622,3.0003040176523315,-0.0029296847023352,,M0,short,baseline_test_dtp_ready,
89091,2.226605119726443,3.37748053345358,-0.0901520504813617,0.0431675542056046,1.9913937727037845,2.9476980547855094,0.0319318132213484,,M0,short,model_test_dtp_ready,0.0175335441199672
86479,2.120324836913484,3.519489098776701,-0.1356786403295284,,2.029782918026468,3.2034396549586375,-0.0027018971959942,,M1,short,baseline_validation,
89621,2.214487678792403,3.529327877813172,-0.167426041385909,,1.9724752502394205,3.018991876997283,-0.0030524342907694,,M1,short,baseline_test,
86479,2.1976395966162765,3.3915971604885593,-0.0546412042611628,0.0607210849624387,1.983062283298267,3.074291160295475,0.076517362562034,,M1,short,model_validation,0.040315569691863
