event_id,symbol,trigger_time,timeframe,object_type,structure_class,bias,object_price_center,source_index,confirmed_index,age_bars,zone_low,zone_high,canonical_bar_low,canonical_bar_high,canonical_endpoints_swapped,relation,distance_pct
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,current_swing_high,swing,0,24489.0,1096,1146,167,24489.0,24489.0,,,,above,27.52694891423215
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,current_swing_low,swing,0,15076.0009765625,1155,1205,108,15076.0009765625,15076.0009765625,,,,below,21.491428544693537
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,active_bear_internal_ob,internal,-1,21970.0,1128,1131,182,21579.0,22361.0,21579.0,22361.0,False,above,12.373066708326824
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,active_bear_internal_ob,internal,-1,21862.0,1285,1291,22,21673.0,22051.0,21673.0,22051.0,False,above,12.862573556215176
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,active_bear_internal_ob,internal,-1,24214.0,1095,1099,214,23968.0,24460.0,23968.0,24460.0,False,above,24.813831172212673
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,active_bear_internal_ob,internal,-1,18936.0,1296,1302,11,18687.0,19185.0,18687.0,19185.0,False,below,0.0937353538509608
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,active_bull_internal_ob,internal,1,17633.0,1194,1196,117,17306.0,17960.0,17306.0,17960.0,False,below,6.472946935374681
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,EQL,equal,0,20059.0,1062,1070,243,20059.0,20059.0,,,,above,4.457636827579024
AG:5m:1:-1:35739:35748:1,AG,2026-05-25 09:05:00,4h,EQL,equal,0,17306.0,1188,1197,116,17306.0,17306.0,,,,below,9.878664791959588
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,current_internal_high,internal,0,19081.0,36440,36445,19,19081.0,19081.0,,,,below,0.5887256434302386
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,current_internal_low,internal,0,18984.0,36450,36455,9,18984.0,18984.0,,,,below,1.0940919037199124
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,current_swing_high,swing,0,19287.0,36369,36419,45,19287.0,19287.0,,,,above,0.48452641450453265
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,current_swing_low,swing,0,18885.0,36414,36464,0,18885.0,18885.0,,,,below,1.609878086902157
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,active_bear_internal_ob,internal,-1,19269.0,35739,35748,716,19218.0,19320.0,19218.0,19320.0,False,above,0.12503907471084713
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,active_bear_internal_ob,internal,-1,20055.5,35723,35730,734,20015.0,20096.0,20015.0,20096.0,False,above,4.277378347400229
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,active_bull_internal_ob,internal,1,18998.0,36450,36461,3,18984.0,19012.0,18984.0,19012.0,False,below,0.9482129832239241
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,EQH,equal,0,19230.0,31703,31711,4753,19230.0,19230.0,,,,above,0.1875586120662707
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,5m,EQH,equal,0,19068.0,33136,33144,3320,19068.0,19068.0,,,,below,0.6564551422319475
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,current_internal_high,internal,0,19081.0,12146,12151,3,19081.0,19081.0,,,,below,0.5887256434302386
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,current_internal_low,internal,0,18885.0,12138,12143,11,18885.0,18885.0,,,,below,1.609878086902157
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,current_swing_high,swing,0,19185.0,11956,12006,148,19185.0,19185.0,,,,below,0.046889653016567674
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,current_swing_low,swing,0,17856.0,12017,12067,87,17856.0,17856.0,,,,below,6.970928415129728
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,active_bear_internal_ob,internal,-1,20028.5,11907,11910,244,19961.0,20096.0,19961.0,20096.0,False,above,3.996040429300823
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,active_bear_internal_ob,internal,-1,20865.5,11897,11901,253,20835.0,20896.0,20835.0,20896.0,False,above,8.549546733354173
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,active_bear_internal_ob,internal,-1,21435.5,11874,11879,275,21371.0,21500.0,21371.0,21500.0,False,above,11.342086068563093
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,active_bull_internal_ob,internal,1,19003.0,12150,12153,1,18984.0,19022.0,18984.0,19022.0,False,below,0.8961133687610711
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,EQL,equal,0,19412.0,11431,11438,716,19412.0,19412.0,,,,above,1.135771595290195
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,15m,EQH,equal,0,18985.0,10935,10944,1210,18985.0,18985.0,,,,below,1.0888819422736273
AG:5m:1:-1:35739:35748:2,AG,2026-05-26 01:15:00,1h,current_internal_high,internal,0,19287.0,3609,3614,3,19287.0,19287.0,,,,above,0.48452641450453265
