event_id,symbol,trigger_time,timeframe,object_type,structure_class,bias,object_price_center,source_index,confirmed_index,age_bars,zone_low,zone_high,canonical_bar_low,canonical_bar_high,canonical_endpoints_swapped,relation,distance_pct
CU:15m:1:-1:2290:2295:2,CU,2025-04-28 13:45:00,4h,EQL,equal,0,80190.0,187,203,93,80190.0,80190.0,,,,above,3.3642691415313224
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,current_internal_high,internal,0,77750.0,6943,6948,15,77750.0,77750.0,,,,above,0.19329896907216496
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,current_internal_low,internal,0,77410.0,6953,6958,5,77410.0,77410.0,,,,below,0.24484536082474226
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,current_swing_high,swing,0,77980.0,6810,6860,103,77980.0,77980.0,,,,above,0.4896907216494845
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,current_swing_low,swing,0,77010.0,6892,6942,21,77010.0,77010.0,,,,below,0.7603092783505154
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,active_bear_internal_ob,internal,-1,77725.0,6943,6952,11,77700.0,77750.0,77700.0,77750.0,False,above,0.12886597938144329
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,active_bear_internal_ob,internal,-1,77920.0,6809,6813,150,77860.0,77980.0,77860.0,77980.0,False,above,0.33505154639175255
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,active_bull_internal_ob,internal,1,77055.0,6891,6906,57,77010.0,77100.0,77010.0,77100.0,False,below,0.6443298969072164
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,active_bull_internal_ob,internal,1,76975.0,6544,6554,409,76880.0,77070.0,76880.0,77070.0,False,below,0.6829896907216495
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,EQH,equal,0,77620.0,6572,6582,381,77620.0,77620.0,,,,above,0.025773195876288662
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,5m,EQH,equal,0,77580.0,6678,6686,277,77580.0,77580.0,,,,below,0.025773195876288662
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,current_internal_high,internal,0,77760.0,2308,2313,7,77760.0,77760.0,,,,above,0.2061855670103093
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,current_internal_low,internal,0,77500.0,2305,2310,10,77500.0,77500.0,,,,below,0.12886597938144329
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,current_swing_high,swing,0,78490.0,2200,2250,70,78490.0,78490.0,,,,above,1.1469072164948453
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,current_swing_low,swing,0,74900.0,2055,2105,215,74900.0,74900.0,,,,below,3.479381443298969
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,active_bear_internal_ob,internal,-1,77675.0,2308,2317,3,77590.0,77760.0,77590.0,77760.0,False,overlap,0.0
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,active_bear_internal_ob,internal,-1,77905.0,2269,2272,48,77830.0,77980.0,77830.0,77980.0,False,above,0.2963917525773196
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,active_bear_internal_ob,internal,-1,77970.0,2215,2224,96,77850.0,78090.0,77850.0,78090.0,False,above,0.3221649484536082
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,active_bull_internal_ob,internal,1,77080.0,2297,2302,18,77010.0,77150.0,77010.0,77150.0,False,below,0.5798969072164949
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,active_bull_internal_ob,internal,1,76750.0,2173,2178,142,76580.0,76920.0,76580.0,76920.0,False,below,0.8762886597938144
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,EQH,equal,0,77730.0,728,743,1577,77730.0,77730.0,,,,above,0.16752577319587628
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,15m,EQH,equal,0,77550.0,2281,2294,26,77550.0,77550.0,,,,below,0.06443298969072164
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,current_internal_high,internal,0,77980.0,660,665,9,77980.0,77980.0,,,,above,0.4896907216494845
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,current_internal_low,internal,0,77010.0,668,673,1,77010.0,77010.0,,,,below,0.7603092783505154
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,current_swing_high,swing,0,83320.0,473,523,151,83320.0,83320.0,,,,above,7.371134020618557
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,current_swing_low,swing,0,71320.0,550,600,74,71320.0,71320.0,,,,below,8.092783505154639
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,active_bear_internal_ob,internal,-1,77905.0,660,667,7,77830.0,77980.0,77830.0,77980.0,False,above,0.2963917525773196
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,active_bear_internal_ob,internal,-1,80065.0,519,527,147,79910.0,80220.0,79910.0,80220.0,False,above,2.97680412371134
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,active_bull_internal_ob,internal,1,76750.0,632,637,37,76580.0,76920.0,76580.0,76920.0,False,below,0.8762886597938144
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,active_bull_internal_ob,internal,1,75715.0,610,623,51,75550.0,75880.0,75550.0,75880.0,False,below,2.216494845360825
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,EQH,equal,0,77730.0,212,219,455,77730.0,77730.0,,,,above,0.16752577319587628
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,1h,EQH,equal,0,77330.0,298,310,364,77330.0,77330.0,,,,below,0.34793814432989695
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,4h,current_internal_high,internal,0,78490.0,284,289,9,78490.0,78490.0,,,,above,1.1469072164948453
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,4h,current_internal_low,internal,0,74900.0,265,270,28,74900.0,74900.0,,,,below,3.479381443298969
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,4h,current_swing_high,swing,0,83320.0,210,260,38,83320.0,83320.0,,,,above,7.371134020618557
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,4h,current_swing_low,swing,0,71320.0,244,294,4,71320.0,71320.0,,,,below,8.092783505154639
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,4h,active_bear_internal_ob,internal,-1,79945.0,230,234,64,79670.0,80220.0,79670.0,80220.0,False,above,2.667525773195876
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,4h,active_bear_swing_ob,swing,-1,82690.0,209,236,62,82560.0,82820.0,82560.0,82820.0,False,above,6.391752577319587
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,4h,active_bull_internal_ob,internal,1,75180.0,265,277,21,74900.0,75460.0,74900.0,75460.0,False,below,2.7577319587628866
CU:15m:1:-1:2308:2317:1,CU,2025-04-29 00:20:00,4h,EQL,equal,0,80190.0,187,203,95,80190.0,80190.0,,,,above,3.3376288659793816
CU:15m:1:-1:2308:2317:2,CU,2025-04-29 11:10:00,5m,current_internal_high,internal,0,77740.0,6986,6991,3,77740.0,77740.0,,,,above,0.21915689055047055
CU:15m:1:-1:2308:2317:2,CU,2025-04-29 11:10:00,5m,current_internal_low,internal,0,77560.0,6978,6983,11,77560.0,77560.0,,,,below,0.012891581797086502
