event_id,symbol,trigger_time,timeframe,object_type,structure_class,bias,object_price_center,source_index,confirmed_index,age_bars,zone_low,zone_high,canonical_bar_low,canonical_bar_high,canonical_endpoints_swapped,relation,distance_pct
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,5m,EQH,equal,0,2907.0,5552,5560,102,2907.0,2907.0,,,,above,0.034411562284927734
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,5m,EQL,equal,0,2901.0,2735,2742,2920,2901.0,2901.0,,,,below,0.1720578114246387
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,current_internal_high,internal,0,2905.0,1867,1872,14,2905.0,2905.0,,,,below,0.034411562284927734
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,current_internal_low,internal,0,2890.0,1871,1876,10,2890.0,2890.0,,,,below,0.5505849965588437
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,current_swing_high,swing,0,3075.0,1670,1720,166,3075.0,3075.0,,,,above,5.815554026152787
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,current_swing_low,swing,0,3024.0,1643,1693,193,3024.0,3024.0,,,,above,4.0605643496214725
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,active_bear_internal_ob,internal,-1,2924.0,1831,1839,47,2920.0,2928.0,2920.0,2928.0,False,above,0.4817618719889883
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,active_bear_internal_ob,internal,-1,2925.5,1787,1793,93,2922.0,2929.0,2922.0,2929.0,False,above,0.5505849965588437
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,active_bear_internal_ob,internal,-1,2987.0,1734,1744,142,2982.0,2992.0,2982.0,2992.0,False,above,2.615278733654508
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,active_bull_internal_ob,internal,1,2897.0,1867,1875,11,2889.0,2905.0,2889.0,2905.0,False,below,0.034411562284927734
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,EQL,equal,0,3012.0,1539,1545,341,3012.0,3012.0,,,,above,3.64762560220234
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,15m,EQL,equal,0,2905.0,1793,1801,85,2905.0,2905.0,,,,below,0.034411562284927734
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,1h,current_internal_high,internal,0,2928.0,559,564,10,2928.0,2928.0,,,,above,0.7570543702684102
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,1h,current_internal_low,internal,0,2865.0,568,573,1,2865.0,2865.0,,,,below,1.410874053682037
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,1h,current_swing_high,swing,0,3168.0,427,477,97,3168.0,3168.0,,,,above,9.015829318651067
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,1h,current_swing_low,swing,0,2790.0,397,447,127,2790.0,2790.0,,,,below,3.9917412250516175
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,1h,active_bear_internal_ob,internal,-1,2922.5,559,566,8,2917.0,2928.0,2917.0,2928.0,False,above,0.3785271851342051
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,1h,active_bear_internal_ob,internal,-1,2982.0,528,532,42,2972.0,2992.0,2972.0,2992.0,False,above,2.271163110805231
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,1h,active_bull_internal_ob,internal,1,2823.0,410,412,162,2819.0,2827.0,2819.0,2827.0,False,below,2.718513420509291
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,1h,active_bull_swing_ob,swing,1,2807.5,397,416,158,2790.0,2825.0,2790.0,2825.0,False,below,2.7873365450791465
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,4h,current_internal_high,internal,0,3075.0,217,222,23,3075.0,3075.0,,,,above,5.815554026152787
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,4h,current_internal_low,internal,0,3024.0,214,219,26,3024.0,3024.0,,,,above,4.0605643496214725
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,4h,current_swing_high,swing,0,3168.0,182,232,13,3168.0,3168.0,,,,above,9.015829318651067
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,4h,current_swing_low,swing,0,2790.0,170,220,25,2790.0,2790.0,,,,below,3.9917412250516175
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,4h,active_bear_internal_ob,internal,-1,3063.0,217,222,23,3051.0,3075.0,3051.0,3075.0,False,above,4.9896765313145215
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,4h,active_bull_internal_ob,internal,1,2807.5,170,178,67,2790.0,2825.0,2790.0,2825.0,False,below,2.7873365450791465
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,4h,active_bull_swing_ob,swing,1,2807.5,170,178,67,2790.0,2825.0,2790.0,2825.0,False,below,2.7873365450791465
M:5m:1:1:5633:5635:1,M,2025-05-13 09:40:00,4h,active_bull_internal_ob,internal,1,2798.5,51,53,192,2784.0,2813.0,2784.0,2813.0,False,below,3.2002752924982794
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,current_internal_high,internal,0,2914.0,5826,5831,5,2914.0,2914.0,,,,below,0.2737850787132101
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,current_internal_low,internal,0,2908.0,5828,5833,3,2908.0,2908.0,,,,below,0.4791238877481177
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,current_swing_high,swing,0,2918.0,5734,5784,52,2918.0,2918.0,,,,below,0.13689253935660506
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,current_swing_low,swing,0,2875.0,5719,5769,67,2875.0,2875.0,,,,below,1.6084873374401096
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,active_bear_internal_ob,internal,-1,2922.0,5655,5667,169,2919.0,2925.0,2919.0,2925.0,False,overlap,0.0
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,active_bear_internal_ob,internal,-1,2923.0,5499,5504,332,2920.0,2926.0,2920.0,2926.0,False,overlap,0.0
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,active_bear_internal_ob,internal,-1,2925.5,5336,5340,496,2922.0,2929.0,2922.0,2929.0,False,overlap,0.0
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,active_bear_swing_ob,swing,-1,2924.5,5493,5567,269,2921.0,2928.0,2921.0,2928.0,False,overlap,0.0
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,active_bear_internal_ob,internal,-1,2926.5,5363,5380,456,2924.0,2929.0,2924.0,2929.0,False,above,0.06844626967830253
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,active_bear_swing_ob,swing,-1,2928.0,5329,5380,456,2925.0,2931.0,2925.0,2931.0,False,above,0.10266940451745381
M:5m:1:-1:5655:5667:1,M,2025-05-15 14:55:00,5m,active_bear_internal_ob,internal,-1,2931.5,5298,5304,532,2929.0,2934.0,2929.0,2934.0,False,above,0.23956194387405885
