model,population,metric,mean,ci_lo,ci_hi,n_days
C0_RAW,ALL,oracle_delta,-0.0184622879875681,-0.03689698129679758,0.0009375772242846327,120
C0_RAW,ALL,selection_error_delta,0.05203262061944321,0.03249377112239568,0.07057139720432357,120
C0_RAW,SWITCHED,oracle_delta,-0.045228325020367575,-0.09125064234912077,0.006295499244699072,114
C0_RAW,SWITCHED,selection_error_delta,0.13006261131749494,0.07927879578351306,0.17661629560739717,114
C1_GLOBAL,ALL,oracle_delta,-0.006192501704162234,-0.01531386048420372,0.0025633033418091616,120
C1_GLOBAL,ALL,selection_error_delta,0.011433167009210236,0.002678469713633549,0.020476149311831907,120
C1_GLOBAL,SWITCHED,oracle_delta,-0.03640613401055899,-0.09855027989382409,0.025109180012279634,111
C1_GLOBAL,SWITCHED,selection_error_delta,0.07166952509732566,0.009548523107081866,0.13437177844484904,111
C2_RR_EDGE,ALL,oracle_delta,-0.0011694482828641735,-0.012074855995729838,0.007902228802211817,120
C2_RR_EDGE,ALL,selection_error_delta,0.011247484841146845,0.0024058855269452986,0.022370100562418865,120
C2_RR_EDGE,SWITCHED,oracle_delta,-0.008906466986318728,-0.04722645189474125,0.03081628514265736,113
C2_RR_EDGE,SWITCHED,selection_error_delta,0.04698724007341462,0.007774768768560604,0.08523820850354862,113
