wf,rr_target,fill_model,status,n
WF1,0.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,87
WF1,0.25,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,0.25,STRICT_TRADE_THROUGH,FILLED,31
WF1,0.25,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,2251
WF1,0.25,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,0.25,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,37
WF1,0.25,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,0.25,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,0.25,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,93
WF1,0.25,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,0.25,TOUCH_FILL,FILLED,31
WF1,0.25,TOUCH_FILL,FILLED_AT_OPEN,2251
WF1,0.25,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,0.25,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,31
WF1,0.25,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,0.25,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,0.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,2
WF1,0.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,72
WF1,0.5,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,0.5,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,6
WF1,0.5,STRICT_TRADE_THROUGH,FILLED,236
WF1,0.5,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,1914
WF1,0.5,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,0.5,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,176
WF1,0.5,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,0.5,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,0.5,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,2
WF1,0.5,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,89
WF1,0.5,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,0.5,TOUCH_FILL,EXPIRED_UNFILLED,4
WF1,0.5,TOUCH_FILL,FILLED,245
WF1,0.5,TOUCH_FILL,FILLED_AT_OPEN,1914
WF1,0.5,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,0.5,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,152
WF1,0.5,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,0.5,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,0.75,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,11
WF1,0.75,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,87
WF1,0.75,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,0.75,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,44
WF1,0.75,STRICT_TRADE_THROUGH,FILLED,563
WF1,0.75,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,1454
WF1,0.75,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,0.75,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,247
WF1,0.75,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,0.75,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,0.75,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,10
WF1,0.75,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,94
WF1,0.75,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,0.75,TOUCH_FILL,EXPIRED_UNFILLED,41
WF1,0.75,TOUCH_FILL,FILLED,569
WF1,0.75,TOUCH_FILL,FILLED_AT_OPEN,1454
WF1,0.75,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,0.75,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,238
WF1,0.75,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,0.75,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,17
WF1,1.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,38
WF1,1.0,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.0,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,193
WF1,1.0,STRICT_TRADE_THROUGH,FILLED,607
WF1,1.0,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,1198
WF1,1.0,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.0,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,353
WF1,1.0,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.0,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.0,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,15
WF1,1.0,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,66
WF1,1.0,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.0,TOUCH_FILL,EXPIRED_UNFILLED,129
WF1,1.0,TOUCH_FILL,FILLED,681
WF1,1.0,TOUCH_FILL,FILLED_AT_OPEN,1198
WF1,1.0,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.0,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,317
WF1,1.0,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.0,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,26
WF1,1.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,46
WF1,1.25,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.25,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,330
WF1,1.25,STRICT_TRADE_THROUGH,FILLED,656
WF1,1.25,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,950
WF1,1.25,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.25,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,398
WF1,1.25,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.25,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.25,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,26
WF1,1.25,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,53
WF1,1.25,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.25,TOUCH_FILL,EXPIRED_UNFILLED,317
WF1,1.25,TOUCH_FILL,FILLED,672
WF1,1.25,TOUCH_FILL,FILLED_AT_OPEN,950
WF1,1.25,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.25,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,388
WF1,1.25,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.25,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,38
