block,wf,component,explained_variance_ratio,cumulative_variance,k80,k90,k95,k_primary
reaction,WF1,1,0.30981826640832844,0.30981826640832844,5,7,8,6
reaction,WF1,2,0.18643273361527982,0.4962510000236082,5,7,8,6
reaction,WF1,3,0.13444748520166466,0.6306984852252728,5,7,8,6
reaction,WF1,4,0.10558021817360357,0.7362787033988764,5,7,8,6
reaction,WF1,5,0.08103503326012881,0.8173137366590052,5,7,8,6
reaction,WF1,6,0.06663976776510035,0.8839535044241056,5,7,8,6
reaction,WF1,7,0.050679408767302286,0.9346329131914078,5,7,8,6
reaction,WF1,8,0.022793912426798766,0.9574268256182066,5,7,8,6
reaction,WF2,1,0.30646671934924324,0.30646671934924324,5,7,8,6
reaction,WF2,2,0.18412097582206743,0.4905876951713107,5,7,8,6
reaction,WF2,3,0.13191619469936694,0.6225038898706776,5,7,8,6
reaction,WF2,4,0.10756238647907378,0.7300662763497514,5,7,8,6
reaction,WF2,5,0.08091340536852255,0.810979681718274,5,7,8,6
reaction,WF2,6,0.06717741286296812,0.878157094581242,5,7,8,6
reaction,WF2,7,0.05267840430429852,0.9308354988855405,5,7,8,6
reaction,WF2,8,0.023204046631811578,0.954039545517352,5,7,8,6
reaction,WF3,1,0.3074187444199252,0.3074187444199252,5,7,8,6
reaction,WF3,2,0.18287694851108116,0.4902956929310064,5,7,8,6
reaction,WF3,3,0.13363997670939945,0.6239356696404058,5,7,8,6
reaction,WF3,4,0.10580418315019793,0.7297398527906037,5,7,8,6
reaction,WF3,5,0.08080341834783848,0.8105432711384422,5,7,8,6
reaction,WF3,6,0.06762980315915122,0.8781730742975934,5,7,8,6
reaction,WF3,7,0.05261170004632871,0.9307847743439221,5,7,8,6
reaction,WF3,8,0.02306641113355868,0.9538511854774808,5,7,8,6
