variant,group_dim,group_value,metric,n,share,median
first_available,overall,ALL,share_positive__delta_RR,1743614,0.5868506446954429,0.78856628121334
first_available,overall,ALL,share_positive__delta_target_first,1743614,0.06265606951997403,0.0
first_available,overall,ALL,share_positive__delta_E_R_lower,1743614,0.11099532350623476,0.0
first_available,overall,ALL,matched_n,1743614,,1743614.0
first_available,wf,WF1,share_positive__delta_RR,598325,0.5875218317803869,0.7857142857142856
first_available,wf,WF1,share_positive__delta_target_first,598325,0.0635139765177788,0.0
first_available,wf,WF1,share_positive__delta_E_R_lower,598325,0.1125959971587348,0.0
first_available,wf,WF1,matched_n,598325,,598325.0
first_available,wf,WF2,share_positive__delta_RR,577549,0.5858654417200965,0.75
first_available,wf,WF2,share_positive__delta_target_first,577549,0.06435990712476344,0.0
first_available,wf,WF2,share_positive__delta_E_R_lower,577549,0.11255322059253847,0.0
first_available,wf,WF2,matched_n,577549,,577549.0
first_available,wf,WF3,share_positive__delta_RR,567740,0.5871455243597421,0.8254092261904766
first_available,wf,WF3,share_positive__delta_target_first,567740,0.06001867051819495,0.0
first_available,wf,WF3,share_positive__delta_E_R_lower,567740,0.10772360587592912,0.0
first_available,wf,WF3,matched_n,567740,,567740.0
first_available,action,INWARD,share_positive__delta_RR,900666,0.5708964255339938,0.666666666666667
first_available,action,INWARD,share_positive__delta_target_first,900666,0.05327724150795078,0.0
first_available,action,INWARD,share_positive__delta_E_R_lower,900666,0.0945533638440887,0.0
first_available,action,INWARD,matched_n,900666,,900666.0
first_available,action,OUTWARD,share_positive__delta_RR,842948,0.6038972748022416,0.8962181268388364
first_available,action,OUTWARD,share_positive__delta_target_first,842948,0.07267708091127804,0.0
first_available,action,OUTWARD,share_positive__delta_E_R_lower,842948,0.12856309048719494,0.0
first_available,action,OUTWARD,matched_n,842948,,842948.0
first_available,structure_scale,0.2,share_positive__delta_RR,522000,0.564683908045977,0.7692307692307692
first_available,structure_scale,0.2,share_positive__delta_target_first,522000,0.07263218390804597,0.0
first_available,structure_scale,0.2,share_positive__delta_E_R_lower,522000,0.1075823754789272,0.0
first_available,structure_scale,0.2,matched_n,522000,,522000.0
first_available,structure_scale,0.4,share_positive__delta_RR,506841,0.5693462052201775,0.75
first_available,structure_scale,0.4,share_positive__delta_target_first,506841,0.06854023253840948,0.0
first_available,structure_scale,0.4,share_positive__delta_E_R_lower,506841,0.10773792964657555,0.0
first_available,structure_scale,0.4,matched_n,506841,,506841.0
first_available,structure_scale,0.8,share_positive__delta_RR,416883,0.6038384870575197,0.833333333333333
first_available,structure_scale,0.8,share_positive__delta_target_first,416883,0.05583341129285675,0.0
first_available,structure_scale,0.8,share_positive__delta_E_R_lower,416883,0.11176517152294528,0.0
first_available,structure_scale,0.8,matched_n,416883,,416883.0
first_available,structure_scale,1.2,share_positive__delta_RR,297890,0.6317029776091846,0.7807692307692309
first_available,structure_scale,1.2,share_positive__delta_target_first,297890,0.04471113498271174,0.0
first_available,structure_scale,1.2,share_positive__delta_E_R_lower,297890,0.12144080029541106,0.0
first_available,structure_scale,1.2,matched_n,297890,,297890.0
first_available,waiting_distance,1,share_positive__delta_RR,346012,0.5325653445545241,0.22393434951204771
first_available,waiting_distance,1,share_positive__delta_target_first,346012,0.032998855531022046,0.0
first_available,waiting_distance,1,share_positive__delta_E_R_lower,346012,0.1107447140561599,0.0
first_available,waiting_distance,1,matched_n,346012,,346012.0
first_available,waiting_distance,2,share_positive__delta_RR,77445,0.5290076828717154,0.26666666666666666
first_available,waiting_distance,2,share_positive__delta_target_first,77445,0.04418619665569114,0.0
first_available,waiting_distance,2,share_positive__delta_E_R_lower,77445,0.1011040092969204,0.0
first_available,waiting_distance,2,matched_n,77445,,77445.0
first_available,waiting_distance,3,share_positive__delta_RR,397246,0.5782764332428773,0.6969696969696969
first_available,waiting_distance,3,share_positive__delta_target_first,397246,0.05953238043932475,0.0
first_available,waiting_distance,3,share_positive__delta_E_R_lower,397246,0.11358452948550772,0.0
first_available,waiting_distance,3,matched_n,397246,,397246.0
first_available,waiting_distance,5,share_positive__delta_RR,109660,0.5690589093561919,0.6000000000000001
first_available,waiting_distance,5,share_positive__delta_target_first,109660,0.06219223053073135,0.0
first_available,waiting_distance,5,share_positive__delta_E_R_lower,109660,0.10258982308954952,0.0
first_available,waiting_distance,5,matched_n,109660,,109660.0
first_available,waiting_distance,6,share_positive__delta_RR,341700,0.6108457711442786,1.1666666666666665
first_available,waiting_distance,6,share_positive__delta_target_first,341700,0.0769212759730758,0.0
first_available,waiting_distance,6,share_positive__delta_E_R_lower,341700,0.11601990049751244,0.0
first_available,waiting_distance,6,matched_n,341700,,341700.0
first_available,waiting_distance,8,share_positive__delta_RR,53786,0.5971442382776188,0.875
first_available,waiting_distance,8,share_positive__delta_target_first,53786,0.06520284088796341,0.0
first_available,waiting_distance,8,share_positive__delta_E_R_lower,53786,0.10114156100100398,0.0
first_available,waiting_distance,8,matched_n,53786,,53786.0
first_available,waiting_distance,10,share_positive__delta_RR,77045,0.6054124213122202,1.0356902356902355
first_available,waiting_distance,10,share_positive__delta_target_first,77045,0.08164059964955546,0.0
first_available,waiting_distance,10,share_positive__delta_E_R_lower,77045,0.10476993964566163,0.0
first_available,waiting_distance,10,matched_n,77045,,77045.0
first_available,waiting_distance,11,share_positive__delta_RR,340720,0.6409632542850434,1.6228402756021114
first_available,waiting_distance,11,share_positive__delta_target_first,340720,0.08176215073961024,0.0
first_available,waiting_distance,11,share_positive__delta_E_R_lower,340720,0.1111088283634656,0.0
first_available,waiting_distance,11,matched_n,340720,,340720.0
