wf,action,h,scale_low,scale_high,matched_n,median_delta_target_distance,median_delta_risk_distance,median_delta_RR,mean_delta_target_first,mean_delta_E_R_lower
WF1,INWARD,2,0.2,0.4,19205,0.0,0.0,0.0,0.0,0.0
WF1,OUTWARD,2,0.2,0.4,18981,0.0,0.0,0.0,0.0,0.0
WF1,INWARD,3,0.2,0.4,21325,0.0,0.0,0.0,0.0021101992966002345,0.00766260807981303
WF1,OUTWARD,3,0.2,0.4,20917,0.0,0.0,0.0,0.005593536357986327,0.0246192276913535
WF1,INWARD,5,0.2,0.4,21500,0.0,0.0,0.0,0.00586046511627907,0.0127151813099078
WF1,OUTWARD,5,0.2,0.4,21595,0.0,0.0,0.0,0.002824727946283862,0.009365449250351775
WF1,INWARD,8,0.2,0.4,21428,0.0,0.0,0.0,0.0035000933358222885,0.020978480776447508
WF1,OUTWARD,8,0.2,0.4,21378,0.0,0.0,0.0,0.004818037234540181,0.0012094881464552148
WF1,INWARD,13,0.2,0.4,21417,0.0,0.0,0.0,0.003221739739459308,-0.01720125948244687
WF1,OUTWARD,13,0.2,0.4,21202,0.0,0.0,0.0,0.0021696066408829354,-0.011954405275762338
WF2,INWARD,2,0.2,0.4,18429,0.0,0.0,0.0,0.0,0.0
WF2,OUTWARD,2,0.2,0.4,18166,0.0,0.0,0.0,0.0,0.0
WF2,INWARD,3,0.2,0.4,20572,0.0,0.0,0.0,0.005201244409877503,0.017838400462373994
WF2,OUTWARD,3,0.2,0.4,20021,0.0,0.0,0.0,0.0041456470705758955,0.01606375294775921
WF2,INWARD,5,0.2,0.4,20975,0.0,0.0,0.0,0.00433849821215733,0.011871704935874578
WF2,OUTWARD,5,0.2,0.4,20975,0.0,0.0,0.0,0.0018116805721096543,0.00501508594169192
WF2,INWARD,8,0.2,0.4,20992,0.0,0.0,0.0,0.0018578506097560975,-0.004478370610486589
WF2,OUTWARD,8,0.2,0.4,20855,0.0,0.0,0.0,0.004363461999520498,-0.00996305042420817
WF2,INWARD,13,0.2,0.4,21057,0.0,0.0,0.0,0.00512893574583274,0.03800676869525934
WF2,OUTWARD,13,0.2,0.4,20576,0.0,0.0,0.0,0.004082426127527216,-0.019489110530154032
WF3,INWARD,2,0.2,0.4,18049,0.0,0.0,0.0,0.0,0.0
WF3,INWARD,3,0.2,0.4,19931,0.0,0.0,0.0,0.0036124629973408257,0.011399938232724892
WF3,OUTWARD,3,0.2,0.4,19881,0.0,0.0,0.0,0.0032694532468185706,0.00954585305607838
WF3,INWARD,5,0.2,0.4,20617,0.0,0.0,0.0,0.004656351554542368,0.03303333342086789
WF3,OUTWARD,5,0.2,0.4,20674,0.0,0.0,0.0,0.0038695946599593693,-0.021325743070428744
WF3,INWARD,8,0.2,0.4,20584,0.0,0.0,0.0,0.003643606684803731,-0.0038293539009977146
WF3,OUTWARD,8,0.2,0.4,20800,0.0,0.0,0.0,0.006586538461538461,0.010416064426896488
WF3,INWARD,13,0.2,0.4,20486,0.0,0.0,0.0,0.005027823879722737,-0.005513732331690486
WF3,OUTWARD,13,0.2,0.4,20582,0.0,0.0,0.0,0.004664269750267224,-0.037987770879891414
WF3,OUTWARD,2,0.2,0.4,17973,0.0,0.0,0.0,0.0,0.0
WF1,OUTWARD,2,0.4,0.8,12225,0.0,0.0,0.0,0.0,0.0
WF1,INWARD,3,0.4,0.8,16480,0.0,0.0,0.0,0.017900485436893203,0.015498647495349393
WF1,OUTWARD,3,0.4,0.8,15355,0.0,0.0,0.0,0.017193096711169,0.02169718311064582
WF1,INWARD,5,0.4,0.8,18967,0.0,0.0,0.0,0.019982074128749933,0.004825385642919432
WF1,OUTWARD,5,0.4,0.8,18237,0.0,0.0,0.0,0.021385096232933047,-0.017538618117736958
WF1,INWARD,8,0.4,0.8,19988,0.0,0.0,0.0,0.023414048429057435,0.02918624022795056
WF1,OUTWARD,8,0.4,0.8,19547,0.0,0.0,0.0,0.027625722617281426,0.046670074138645594
WF1,INWARD,13,0.4,0.8,20537,0.0,0.0,0.0,0.02088912694161757,0.027368606082588537
WF1,OUTWARD,13,0.4,0.8,20236,0.0,0.0,0.0,0.016159320023720104,-0.0027174622250894613
WF1,INWARD,2,0.4,0.8,12996,0.0,0.0,0.0,0.0,0.0
WF2,INWARD,2,0.4,0.8,12244,0.0,0.0,0.0,0.0,0.0
WF2,OUTWARD,2,0.4,0.8,11360,0.0,0.0,0.0,0.0,0.0
WF2,INWARD,3,0.4,0.8,15757,0.0,0.0,0.0,0.016881386050644157,0.02699219610284333
WF2,OUTWARD,3,0.4,0.8,14347,0.0,0.0,0.0,0.014776608350177738,0.030073191782654694
WF2,INWARD,5,0.4,0.8,18372,0.0,0.0,0.0,0.028521663400827346,0.04472601043391969
WF2,OUTWARD,5,0.4,0.8,17316,0.0,0.0,0.0,0.02107877107877108,0.016098443172120343
WF2,INWARD,8,0.4,0.8,19527,0.0,0.0,0.0,0.021867158293644696,-0.02245005364349338
WF2,OUTWARD,8,0.4,0.8,18889,0.0,0.0,0.0,0.018952829689237123,5.369364708405774e-05
WF2,INWARD,13,0.4,0.8,20208,0.0,0.0,0.0,0.011381631037212984,-0.017731212565866482
WF2,OUTWARD,13,0.4,0.8,19586,0.0,0.0,0.0,0.020882262840804657,-0.02487839858221634
WF3,INWARD,2,0.4,0.8,11633,0.0,0.0,0.0,0.0,0.0
WF3,INWARD,3,0.4,0.8,15144,0.0,0.0,0.0,0.016310089804543054,0.037027457804194426
WF3,INWARD,5,0.4,0.8,18172,0.0,0.0,0.0,0.02476337222099934,0.050370842247703024
WF3,INWARD,8,0.4,0.8,19110,0.0,0.0,0.0,0.02197802197802198,-0.009504486823096321
WF3,INWARD,13,0.4,0.8,19658,0.0,0.0,0.0,0.022993183436768747,-0.003986577158398517
WF3,OUTWARD,5,0.4,0.8,17083,0.0,0.0,0.0,0.024702921032605515,0.03780704023289257
WF3,OUTWARD,8,0.4,0.8,18740,0.0,0.0,0.0,0.021077908217716115,-0.035966916634658695
WF3,OUTWARD,2,0.4,0.8,11214,0.0,0.0,0.0,0.0,0.0
WF3,OUTWARD,3,0.4,0.8,14186,0.0,0.0,0.0,0.016777104187226843,0.02291991614849666
WF3,OUTWARD,13,0.4,0.8,19503,0.0,0.0,0.0,0.023432292467825463,0.02537361673057477
WF1,OUTWARD,2,0.8,1.2,6606,0.0,0.0,0.0,0.0,0.0
WF1,OUTWARD,3,0.8,1.2,9546,0.0,0.0,0.0,0.016237167399958098,0.0028541085299612474
WF1,INWARD,5,0.8,1.2,14356,0.0,0.0,0.0,0.03949568124825857,0.021549820032894604
WF1,OUTWARD,5,0.8,1.2,13255,0.0,0.0,0.0,0.034552998868351566,0.057274613579460704
WF1,INWARD,8,0.8,1.2,16874,0.0,0.0,0.0,0.04249140689818656,0.037912227835277756
WF1,OUTWARD,8,0.8,1.2,16294,0.0,0.0,0.0,0.03596415858598257,0.02428728318383902
WF1,INWARD,13,0.8,1.2,18854,0.0,0.0,0.0,0.03543014744881723,0.04329276616509365
WF1,OUTWARD,13,0.8,1.2,18230,0.0,0.0,0.0,0.03280307185957213,0.007666808019853821
WF1,INWARD,2,0.8,1.2,6900,0.0,0.0,0.0,0.0,0.0
WF1,INWARD,3,0.8,1.2,10543,0.0,0.0,0.0,0.023902115147491226,0.0036282881883986213
WF2,INWARD,3,0.8,1.2,10271,0.0,0.0,0.0,0.020640638691461394,-0.002869147480344152
WF2,INWARD,5,0.8,1.2,14053,0.0,0.0,0.0,0.03351597523660428,-0.010051082685802995
WF2,INWARD,8,0.8,1.2,17013,0.0,0.0,0.0,0.03973432081349556,0.03654598050518549
WF2,INWARD,13,0.8,1.2,18796,0.0,0.0,0.0,0.030910832091934456,-0.0028108286094583627
WF2,OUTWARD,13,0.8,1.2,17718,0.0,0.0,0.0,0.025397900440230273,-0.013060396815542864
WF2,OUTWARD,5,0.8,1.2,12797,0.0,0.0,0.0,0.03657107134484645,0.05365660833919006
