sweep_vs_1h,trend_1h_vs_15m,liquidity_source_tf_group,nearest_ob_source_tf,nearest_ob_freshness,liquidity_overlap,n,n_left,n_right,p_left,p_right,tau,infer
WITH_TREND,UNKNOWN,TIME,5m,FRESH,MULTI_IDENTITY,360,114,246,0.7018,0.7724,-0.1977,False
AGAINST_TREND,UNKNOWN,TIME,5m,FRESH,MULTI_IDENTITY,291,88,203,0.6591,0.8522,-0.1347,False
WITH_TREND,UNKNOWN,TIME,15m,FRESH,MULTI_IDENTITY,202,48,154,0.8125,0.7532,-0.2728,False
AGAINST_TREND,UNKNOWN,TIME,5m,FRESH,SINGLE,186,66,120,0.8333,0.85,0.0866,False
AGAINST_TREND,UNKNOWN,TIME,15m,FRESH,MULTI_IDENTITY,170,37,133,0.973,0.8346,-0.1828,False
WITH_TREND,UNKNOWN,TIME,5m,FRESH,SINGLE,146,47,99,0.6809,0.8788,0.1431,False
WITH_TREND,UNKNOWN,TIME,5m,RETESTED,MULTI_IDENTITY,98,25,73,0.8,0.7808,-0.4036,False
WITH_TREND,UNKNOWN,TIME,1h,FRESH,MULTI_IDENTITY,93,18,75,1.0,0.96,-0.0623,False
AGAINST_TREND,UNKNOWN,TIME,15m,FRESH,SINGLE,92,27,65,0.7037,0.8923,-0.1632,False
WITH_TREND,UNKNOWN,5m,5m,FRESH,MULTI_IDENTITY,90,32,58,0.5938,0.7414,-0.1675,False
AGAINST_TREND,UNKNOWN,TIME,1h,FRESH,MULTI_IDENTITY,77,22,55,0.7727,0.7273,0.5979,False
WITH_TREND,UNKNOWN,TIME,15m,FRESH,SINGLE,77,27,50,0.7407,0.78,-0.3381,False
AGAINST_TREND,UNKNOWN,TIME,5m,RETESTED,MULTI_IDENTITY,77,19,58,0.7895,0.7414,-0.5159,False
WITH_TREND,UNKNOWN,TIME,15m,RETESTED,MULTI_IDENTITY,66,18,48,0.8889,0.5625,0.5766,False
AGAINST_TREND,UNKNOWN,5m,5m,FRESH,MULTI_IDENTITY,65,20,45,0.75,0.9111,-0.1214,False
WITH_TREND,UNKNOWN,TIME,1h,RETESTED,MULTI_IDENTITY,60,28,32,0.8929,0.875,-0.4615,False
WITH_TREND,UNKNOWN,5m,15m,FRESH,MULTI_IDENTITY,54,15,39,0.9333,0.7949,-0.252,False
AGAINST_TREND,UNKNOWN,TIME,5m,RETESTED,SINGLE,46,10,36,0.7,0.8611,0.9061,False
WITH_TREND,UNKNOWN,TIME,5m,RETESTED,SINGLE,39,12,27,0.9167,0.7778,-0.3751,False
AGAINST_TREND,UNKNOWN,TIME,15m,RETESTED,MULTI_IDENTITY,37,10,27,0.8,0.9259,0.3408,False
WITH_TREND,UNKNOWN,15m,5m,FRESH,MULTI_IDENTITY,35,11,24,0.2727,0.7083,-0.5321,False
AGAINST_TREND,UNKNOWN,TIME,1h,FRESH,SINGLE,35,11,24,0.5455,0.7917,0.7689,False
WITH_TREND,UNKNOWN,TIME,15m,RETESTED,SINGLE,33,6,27,0.6667,0.8519,0.9598,False
AGAINST_TREND,UNKNOWN,5m,15m,FRESH,MULTI_IDENTITY,31,6,25,1.0,0.8,-0.14,False
AGAINST_TREND,UNKNOWN,TIME,1h,RETESTED,MULTI_IDENTITY,26,9,17,0.7778,0.7647,0.7952,False
WITH_TREND,UNKNOWN,5m,5m,RETESTED,MULTI_IDENTITY,24,7,17,0.7143,0.7647,-0.4517,False
WITH_TREND,UNKNOWN,TIME,1h,FRESH,SINGLE,24,5,19,0.8,0.9474,0.9634,False
AGAINST_TREND,UNKNOWN,5m,5m,RETESTED,MULTI_IDENTITY,21,7,14,0.8571,0.7143,-0.6308,False
