variable,level,left_share,right_share,abs_diff_pp
symbol,AG,0.0628,0.0685,0.57
symbol,AL,0.0621,0.0483,1.38
symbol,AU,0.0803,0.0715,0.87
symbol,CF,0.0304,0.0446,1.42
symbol,CU,0.079,0.0648,1.42
symbol,I,0.0317,0.0489,1.72
symbol,M,0.0602,0.0373,2.29
symbol,MA,0.0537,0.0513,0.24
symbol,NI,0.09,0.1167,2.68
symbol,P,0.0803,0.0611,1.91
symbol,RB,0.0544,0.066,1.16
symbol,RU,0.0816,0.0844,0.28
symbol,SC,0.0589,0.0789,2.0
symbol,SN,0.112,0.1045,0.75
symbol,TA,0.0628,0.0532,0.96
liquidity_type,CANONICAL_EQH,0.0479,0.0318,1.61
liquidity_type,CANONICAL_EQL,0.0485,0.0416,0.7
liquidity_type,CONFIRMED_SWING_HIGH,0.0712,0.0672,0.4
liquidity_type,CONFIRMED_SWING_LOW,0.0641,0.063,0.11
liquidity_type,PREV_CONTIG_SESSION_HIGH,0.2816,0.3136,3.2
liquidity_type,PREV_CONTIG_SESSION_LOW,0.3055,0.3081,0.26
liquidity_type,PREV_TRADING_DAY_HIGH,0.077,0.0795,0.24
liquidity_type,PREV_TRADING_DAY_LOW,0.0751,0.0672,0.78
liquidity_type,PREV_TRADING_WEEK_HIGH,0.0162,0.0165,0.03
liquidity_type,PREV_TRADING_WEEK_LOW,0.0129,0.0116,0.13
liquidity_source_tf,15m,0.0563,0.0452,1.11
liquidity_source_tf,1h,0.0104,0.011,0.06
liquidity_source_tf,5m,0.165,0.1473,1.77
liquidity_source_tf,CONTIG_SESSION,0.5871,0.6216,3.46
liquidity_source_tf,TRADING_DAY,0.1521,0.1467,0.54
liquidity_source_tf,TRADING_WEEK,0.0291,0.0281,0.1
same_price_has_htf_liquidity,False,0.4259,0.4633,3.74
same_price_has_htf_liquidity,True,0.5741,0.5367,3.74
nearest_ob_source_tf,15m,0.2738,0.2965,2.27
nearest_ob_source_tf,1h,0.1547,0.1522,0.25
nearest_ob_source_tf,5m,0.5715,0.5513,2.02
nearest_ob_freshness,FRESH,0.7728,0.7818,0.9
nearest_ob_freshness,RETESTED,0.2272,0.2182,0.9
trend_struct_5m,-1.0,0.4233,0.4425,1.92
trend_struct_5m,0.0,0.0,0.0018,0.18
trend_struct_5m,1.0,0.5767,0.5556,2.11
trend_struct_15m,-1.0,0.4382,0.4584,2.02
trend_struct_15m,0.0,0.022,0.0318,0.98
trend_struct_15m,1.0,0.5398,0.5098,3.0
trend_struct_1h,-1.0,0.4045,0.4248,2.03
trend_struct_1h,0.0,0.0615,0.0715,1.0
trend_struct_1h,1.0,0.534,0.5037,3.03
env_direction_4h,-1.0,0.165,0.2072,4.22
env_direction_4h,0.0,0.5528,0.5373,1.55
env_direction_4h,1.0,0.2822,0.2555,2.67
sweep_vs_5m,AGAINST_TREND,0.4595,0.4242,3.53
sweep_vs_5m,UNKNOWN,0.0,0.0018,0.18
sweep_vs_5m,WITH_TREND,0.5405,0.574,3.35
sweep_vs_15m,AGAINST_TREND,0.5042,0.5287,2.45
sweep_vs_15m,UNKNOWN,0.022,0.0318,0.98
sweep_vs_15m,WITH_TREND,0.4738,0.4395,3.43
sweep_vs_1h,AGAINST_TREND,0.4984,0.5446,4.62
sweep_vs_1h,UNKNOWN,0.0615,0.0715,1.0
sweep_vs_1h,WITH_TREND,0.4401,0.3839,5.63
env4h_vs_1h,AGAINST_TREND,0.0395,0.033,0.65
env4h_vs_1h,UNKNOWN,0.5676,0.5544,1.32
env4h_vs_1h,WITH_TREND,0.3929,0.4126,1.97
trend_1h_vs_15m,AGAINST_TREND,0.3256,0.3588,3.32
trend_1h_vs_15m,UNKNOWN,0.0615,0.0715,1.0
trend_1h_vs_15m,WITH_TREND,0.6129,0.5697,4.33
trend_15m_vs_5m,AGAINST_TREND,0.3269,0.3331,0.63
trend_15m_vs_5m,UNKNOWN,0.022,0.0318,0.98
trend_15m_vs_5m,WITH_TREND,0.6511,0.6351,1.6
