维度,n,matched,coverage
ALL,10237,4605,0.4498
type=CONFIRMED_SWING_HIGH,722,153,0.2119
type=CONFIRMED_SWING_LOW,684,125,0.1827
type=PREV_CONTIG_SESSION_HIGH,3009,1847,0.6138
type=PREV_CONTIG_SESSION_LOW,3025,1939,0.641
type=PREV_TRADING_DAY_HIGH,834,223,0.2674
type=PREV_TRADING_DAY_LOW,827,195,0.2358
symbol=AG,629,265,0.4213
symbol=AL,630,267,0.4238
symbol=AU,557,244,0.4381
symbol=CF,707,289,0.4088
symbol=CU,653,285,0.4364
symbol=I,670,276,0.4119
symbol=M,606,280,0.462
symbol=MA,539,247,0.4583
symbol=NI,1019,469,0.4603
symbol=P,633,349,0.5513
symbol=RB,765,357,0.4667
symbol=RU,782,389,0.4974
symbol=SC,635,241,0.3795
symbol=SN,884,394,0.4457
symbol=TA,528,253,0.4792
