组,变量,n,p10,p25,median,p75,p90
TREAT(hit),penetration_depth_R,15135,0.3333,0.6089,1.1111,2.0588,3.6085
TREAT(hit),close_beyond_R,15135,-0.6944,-0.0955,0.4348,1.1875,2.4038
TREAT(hit),nearest_ob_distance_R,15135,0.1333,0.2381,0.4545,0.9,1.5789
TREAT(hit),ob_margin_R,15135,0.0,0.1562,0.4845,1.1458,2.3563
TREAT(hit),nearest_ob_width_R,15135,0.625,0.9524,1.4865,2.4324,3.9976
CONTROL(miss),penetration_depth_R,33466,0.1429,0.2597,0.4878,0.9259,1.6
CONTROL(miss),close_beyond_R,33466,-0.9677,-0.4167,0.0,0.3798,0.9375
CONTROL(miss),nearest_ob_distance_R,33466,0.7104,1.2698,2.5,5.0,8.9286
CONTROL(miss),ob_margin_R,33466,-7.9167,-4.0541,-1.75,-0.6747,-0.2778
CONTROL(miss),nearest_ob_width_R,33466,0.6757,1.0275,1.6667,2.7914,4.5205
ALL_BEYOND,penetration_depth_R,48601,0.1705,0.3125,0.628,1.25,2.3077
ALL_BEYOND,close_beyond_R,48601,-0.9,-0.3435,0.0705,0.6098,1.4179
ALL_BEYOND,nearest_ob_distance_R,48601,0.2674,0.625,1.5625,3.6667,7.1429
ALL_BEYOND,ob_margin_R,48601,-6.1765,-2.75,-0.7692,0.0769,0.875
ALL_BEYOND,nearest_ob_width_R,48601,0.6612,1.0,1.5942,2.6667,4.3391
