liquidity_type,activation_state,n
CANONICAL_EQH,VALID_AHEAD,3881
CANONICAL_EQL,VALID_AHEAD,3666
CONFIRMED_SWING_HIGH,VALID_AHEAD,5240
CONFIRMED_SWING_LOW,VALID_AHEAD,5272
PREV_CONTIG_SESSION_HIGH,AT_LEVEL,429
PREV_CONTIG_SESSION_HIGH,VALID_AHEAD,23759
PREV_CONTIG_SESSION_LOW,AT_LEVEL,364
PREV_CONTIG_SESSION_LOW,VALID_AHEAD,23824
PREV_TRADING_DAY_HIGH,AT_LEVEL,41
PREV_TRADING_DAY_HIGH,VALID_AHEAD,6030
PREV_TRADING_DAY_LOW,AT_LEVEL,31
PREV_TRADING_DAY_LOW,VALID_AHEAD,6040
PREV_TRADING_WEEK_HIGH,AT_LEVEL,1
PREV_TRADING_WEEK_HIGH,VALID_AHEAD,1289
PREV_TRADING_WEEK_LOW,AT_LEVEL,2
PREV_TRADING_WEEK_LOW,VALID_AHEAD,1288
