replica_id,liquidity_type,side,n,d0_mean,d0_mean_true
20260910,CANONICAL_EQH,1,3861,2.009758095506727,2.009758095506727
20260910,CANONICAL_EQL,-1,3643,2.0990918789942943,2.0990918789942943
20260910,CONFIRMED_SWING_HIGH,1,5234,9.442854660022283,9.442854660022283
20260910,CONFIRMED_SWING_LOW,-1,5270,9.816458374362433,9.816458374362433
20260910,PREV_CONTIG_SESSION_HIGH,1,23670,2.7631151064402073,2.7631151064402073
20260910,PREV_CONTIG_SESSION_LOW,-1,23747,2.9445813109696837,2.9445813109696837
20260910,PREV_TRADING_DAY_HIGH,1,6019,5.973822578199456,5.973822578199456
20260910,PREV_TRADING_DAY_LOW,-1,6031,6.454293053465901,6.454293053465901
20260910,PREV_TRADING_WEEK_HIGH,1,1286,14.046633353474416,14.046633353474416
20260910,PREV_TRADING_WEEK_LOW,-1,1285,14.463179433661942,14.463179433661942
20260911,CANONICAL_EQH,1,3857,2.0101843870936293,2.0101843870936293
20260911,CANONICAL_EQL,-1,3640,2.098115879342411,2.098115879342411
20260911,CONFIRMED_SWING_HIGH,1,5234,9.440000459669825,9.440000459669825
20260911,CONFIRMED_SWING_LOW,-1,5268,9.81672540668448,9.81672540668448
20260911,PREV_CONTIG_SESSION_HIGH,1,23693,2.7630493049877103,2.7630493049877103
20260911,PREV_CONTIG_SESSION_LOW,-1,23744,2.945607912114604,2.945607912114604
20260911,PREV_TRADING_DAY_HIGH,1,6021,5.974793210010687,5.974793210010687
20260911,PREV_TRADING_DAY_LOW,-1,6029,6.456281931918264,6.456281931918264
20260911,PREV_TRADING_WEEK_HIGH,1,1288,14.038408767521817,14.038408767521817
20260911,PREV_TRADING_WEEK_LOW,-1,1287,14.434652442476857,14.434652442476857
20260912,CANONICAL_EQH,1,3858,2.0082737484781967,2.0082737484781967
20260912,CANONICAL_EQL,-1,3642,2.099346606937897,2.099346606937897
20260912,CONFIRMED_SWING_HIGH,1,5235,9.441985332185801,9.441985332185801
20260912,CONFIRMED_SWING_LOW,-1,5264,9.82136561548689,9.82136561548689
20260912,PREV_CONTIG_SESSION_HIGH,1,23675,2.763439379422668,2.763439379422668
20260912,PREV_CONTIG_SESSION_LOW,-1,23724,2.9460853971798113,2.9460853971798113
20260912,PREV_TRADING_DAY_HIGH,1,6024,5.970593742920175,5.970593742920175
20260912,PREV_TRADING_DAY_LOW,-1,6028,6.457948722535255,6.457948722535255
20260912,PREV_TRADING_WEEK_HIGH,1,1288,14.037114771662603,14.037114771662603
20260912,PREV_TRADING_WEEK_LOW,-1,1288,14.435444284877534,14.435444284877534
