window,target,kind,mean_nll_k0,mean_nll_k1,mean_nll_k1a,mean_nll_k2,delta_k1_minus_k0,delta_k1a_minus_k1,delta_k2_minus_k1a,delta_k2_minus_k1
A_TB1_to_TB2,z_d_up,node,0.7682556373883138,0.7567765340808795,0.756770329644595,0.7556045645415705,-0.011479103307434449,-6.204436284516634e-06,-0.0011657651030245804,-0.0011719695393090969
A_TB1_to_TB2,z_dmfe,node,0.40485935369705467,0.2621028276340016,0.2618692748283502,0.2608756046875465,-0.14275652606305306,-0.0002335528056514271,-0.0009936701408037236,-0.0012272229464551508
A_TB1_to_TB2,z_dmae,node,0.4019152964479682,0.26519558770015544,0.26503066839508327,0.26426797935461954,-0.13671970874781275,-0.00016491930507216666,-0.0007626890404637547,-0.0009276083455359214
A_TB1_to_TB2,z_dcr,node,0.474843396553969,-0.3237811841994969,-0.3238462601656201,-0.3729515005074302,-0.798624580753466,-6.507596612320507e-05,-0.04910524034181006,-0.04917031630793327
A_TB1_to_TB2,z_range,node,0.40722591299574645,0.18132211812260565,0.17518309364983836,0.15313018066834455,-0.2259037948731408,-0.006139024472767312,-0.022052912981493807,-0.028191937454261122
A_TB1_to_TB2,z_uresid,node,0.26261074839609094,0.08946962927616701,0.0893156609410687,0.0898256214504227,-0.17314111911992394,-0.0001539683350983194,0.0005099605093540076,0.00035599217425568786
A_TB1_to_TB2,z_lresid,node,0.25360818051390555,0.0787288556220883,0.07865578935550727,0.07830158808967688,-0.17487932489181726,-7.306626658101591e-05,-0.00035420126583037725,-0.000427267532411393
A_TB1_to_TB2,z_delta_upper_count,discrete_count,0.036794045072572105,0.03593553166744913,0.03595131318792876,0.03587512456002716,-0.0008585134051229818,1.5781520479629194e-05,-7.618862790160693e-05,-6.040710742197772e-05
A_TB1_to_TB2,z_delta_lower_count,discrete_count,0.03571987347793277,0.03496133328468242,0.03495981967011507,0.034878060903847576,-0.0007585401932503548,-1.513614567352562e-06,-8.175876626749839e-05,-8.327238083485096e-05
B_TB1TB2_to_TB3,z_d_up,node,0.8176606398918018,0.8104345496063184,0.8104278722168552,0.8100132562554,-0.0072260902854834235,-6.677389463200201e-06,-0.0004146159614551756,-0.00042129335091837573
B_TB1TB2_to_TB3,z_dmfe,node,0.42808891504483065,0.27259829096348354,0.27235294350421824,0.2711843577900091,-0.15549062408134712,-0.00024534745926530323,-0.0011685857142091762,-0.0014139331734744794
B_TB1TB2_to_TB3,z_dmae,node,0.42601836170663054,0.2782651695816678,0.2780896491486142,0.2774246010234461,-0.14775319212496282,-0.00017552043305352885,-0.0006650481251681201,-0.0008405685582216491
B_TB1TB2_to_TB3,z_dcr,node,0.48106712023751286,-0.31637748572289875,-0.3166285208784209,-0.36848423423394533,-0.7974446059604117,-0.0002510351555221596,-0.05185571335552441,-0.05210674851104656
B_TB1TB2_to_TB3,z_range,node,0.3878769112299315,0.17845347868198044,0.17239909467646794,0.15738136145307122,-0.20942343254795112,-0.006054384005512526,-0.015017733223396708,-0.021072117228909233
B_TB1TB2_to_TB3,z_uresid,node,0.22993412822362502,0.06561880917249704,0.0654949079564819,0.06468652445633918,-0.16431531905112795,-0.00012390121601514427,-0.0008083835001427215,-0.0009322847161578656
B_TB1TB2_to_TB3,z_lresid,node,0.22251379897792045,0.06353465039823565,0.06350974724269424,0.06259813231167025,-0.15897914857968481,-2.4903155541398807e-05,-0.0009116149310240093,-0.0009365180865654083
B_TB1TB2_to_TB3,z_delta_upper_count,discrete_count,0.030620608962057705,0.029996953551262,0.029992621919276347,0.029931253643432618,-0.0006236554107957068,-4.331631985650311e-06,-6.136827584373076e-05,-6.569990782938108e-05
B_TB1TB2_to_TB3,z_delta_lower_count,discrete_count,0.030562025782364242,0.02976780719456611,0.029764276413040615,0.02968093469814226,-0.0007942185877981418,-3.5307815254967077e-06,-8.334171489835177e-05,-8.687249642384853e-05
