window,target,kind,mean_nll_m0,mean_nll_mf,mean_nll_mz,delta_mf_minus_m0,delta_mz_minus_m0,delta_mf_minus_mz
A_TB1_to_TB2,z_d_up,node,0.756770329644595,0.7556045645415705,0.7568533012719041,-0.0011657651030245804,8.2971627309116e-05,-0.001248736730333696
A_TB1_to_TB2,z_dmfe,node,0.2618692748283502,0.2608756046875465,0.2593928791374858,-0.0009936701408037236,-0.0024763956908643767,0.0014827255500606538
A_TB1_to_TB2,z_dmae,node,0.26503066839508327,0.26426797935461954,0.2626641651638188,-0.0007626890404637547,-0.002366503231264498,0.0016038141908007429
A_TB1_to_TB2,z_dcr,node,-0.3238462601656201,-0.3729515005074302,-0.5682869022040494,-0.04910524034181006,-0.24444064203842927,0.19533540169661917
A_TB1_to_TB2,z_range,node,0.17518309364983836,0.15313018066834455,0.1424808140414489,-0.022052912981493807,-0.032702279608389416,0.010649366626895605
A_TB1_to_TB2,z_uresid,node,0.0893156609410687,0.0898256214504227,0.015332791987059476,0.0005099605093540076,-0.07398286895400921,0.07449282946336322
A_TB1_to_TB2,z_lresid,node,0.07865578935550727,0.07830158808967688,0.016680096595825044,-0.00035420126583037725,-0.061975692759682226,0.06162149149385184
A_TB1_to_TB2,z_delta_upper_count,discrete_count,0.03595131318792876,0.03587512456002716,0.03594454670126004,-7.618862790160693e-05,-6.766486668729068e-06,-6.942214123287784e-05
A_TB1_to_TB2,z_delta_lower_count,discrete_count,0.03495981967011507,0.034878060903847576,0.034948053212901384,-8.175876626749839e-05,-1.1766457213687059e-05,-6.999230905381134e-05
B_TB1TB2_to_TB3,z_d_up,node,0.8104278722168552,0.8100132562554,0.8101681808194364,-0.0004146159614551756,-0.0002596913974187989,-0.0001549245640363766
B_TB1TB2_to_TB3,z_dmfe,node,0.27235294350421824,0.2711843577900091,0.2683349586813747,-0.0011685857142091762,-0.004017984822843585,0.0028493991086344086
B_TB1TB2_to_TB3,z_dmae,node,0.2780896491486142,0.2774246010234461,0.27593460552883453,-0.0006650481251681201,-0.002155043619779726,0.0014899954946116058
B_TB1TB2_to_TB3,z_dcr,node,-0.3166285208784209,-0.36848423423394533,-0.5588069576051097,-0.05185571335552441,-0.24217843672668887,0.1903227233711644
B_TB1TB2_to_TB3,z_range,node,0.17239909467646794,0.15738136145307122,0.14491482232309413,-0.015017733223396708,-0.027484272353373786,0.012466539129977076
B_TB1TB2_to_TB3,z_uresid,node,0.0654949079564819,0.06468652445633918,0.018020382717173603,-0.0008083835001427215,-0.04747452523930829,0.04666614173916557
B_TB1TB2_to_TB3,z_lresid,node,0.06350974724269424,0.06259813231167025,0.015393808727210192,-0.0009116149310240093,-0.04811593851548406,0.04720432358446004
B_TB1TB2_to_TB3,z_delta_upper_count,discrete_count,0.029992621919276347,0.029931253643432618,0.029940808734448113,-6.136827584373076e-05,-5.1813184828233644e-05,-9.555091015497094e-06
B_TB1TB2_to_TB3,z_delta_lower_count,discrete_count,0.029764276413040615,0.02968093469814226,0.029778517624940597,-8.334171489835177e-05,1.424121189998861e-05,-9.75829267983404e-05
