window,comparison,symbol,n,mean_delta,n_negative,n_positive
A_TB1_to_TB2,K1-K0,AG,9126,-1.0340565022072534,7989,1137
A_TB1_to_TB2,K1-K0,AL,8437,-0.9918262418654713,7276,1161
A_TB1_to_TB2,K1-K0,AU,9476,-1.080067907130523,8343,1133
A_TB1_to_TB2,K1-K0,CF,6075,-0.6661836631989532,5136,939
A_TB1_to_TB2,K1-K0,CU,8333,-1.0005298795643198,7313,1020
A_TB1_to_TB2,K1-K0,I,6188,-0.6200351474728416,5211,977
A_TB1_to_TB2,K1-K0,M,6136,-0.8051685776457221,5263,873
A_TB1_to_TB2,K1-K0,MA,6109,-0.7905751366831605,5234,875
A_TB1_to_TB2,K1-K0,NI,8435,-1.092242785313675,7505,930
A_TB1_to_TB2,K1-K0,P,6107,-0.9480338245842073,5378,729
A_TB1_to_TB2,K1-K0,RB,6142,-0.8874930646660701,5272,870
A_TB1_to_TB2,K1-K0,RU,6151,-0.9317525026054726,5305,846
A_TB1_to_TB2,K1-K0,SC,10198,-0.8156897785557111,8507,1691
A_TB1_to_TB2,K1-K0,SN,8462,-1.100137313826291,7449,1013
A_TB1_to_TB2,K1-K0,TA,6182,-1.003101258477763,5375,807
A_TB1_to_TB2,K2-K1,AG,9126,-0.16279246594782049,7073,2053
A_TB1_to_TB2,K2-K1,AL,8437,-0.12454939269939277,6342,2095
A_TB1_to_TB2,K2-K1,AU,9476,-0.1666021296188142,7263,2213
A_TB1_to_TB2,K2-K1,CF,6075,-0.08701509424671301,4176,1899
A_TB1_to_TB2,K2-K1,CU,8333,-0.14087800035177056,6264,2069
A_TB1_to_TB2,K2-K1,I,6188,-0.11725498951093007,4410,1778
A_TB1_to_TB2,K2-K1,M,6136,-0.15143867281554801,4352,1784
A_TB1_to_TB2,K2-K1,MA,6109,-0.09646609817135575,4415,1694
A_TB1_to_TB2,K2-K1,NI,8435,-0.1738402679535434,6452,1983
A_TB1_to_TB2,K2-K1,P,6107,-0.146593343244676,4510,1597
A_TB1_to_TB2,K2-K1,RB,6142,-0.11069749803110693,4485,1657
A_TB1_to_TB2,K2-K1,RU,6151,-0.147078516410171,4505,1646
A_TB1_to_TB2,K2-K1,SC,10198,-0.1791131193205138,7744,2454
A_TB1_to_TB2,K2-K1,SN,8462,-0.2025437717107935,6602,1860
A_TB1_to_TB2,K2-K1,TA,6182,-0.13843821827023176,4443,1739
B_TB1TB2_to_TB3,K1-K0,AG,8854,-0.988201851676536,7600,1254
B_TB1TB2_to_TB3,K1-K0,AL,7896,-0.9663984982440619,6899,997
B_TB1TB2_to_TB3,K1-K0,AU,9414,-0.9352635919649442,8087,1327
B_TB1TB2_to_TB3,K1-K0,CF,5938,-0.850436970700538,5042,896
B_TB1TB2_to_TB3,K1-K0,CU,7877,-0.9756049461003535,6902,975
B_TB1TB2_to_TB3,K1-K0,I,6174,-0.8259267252520613,5170,1004
B_TB1TB2_to_TB3,K1-K0,M,6141,-0.6810940205548599,5203,938
B_TB1TB2_to_TB3,K1-K0,MA,5786,-0.7801440199140032,4945,841
B_TB1TB2_to_TB3,K1-K0,NI,8058,-1.0323063796979208,7116,942
B_TB1TB2_to_TB3,K1-K0,P,6017,-0.7115840262689879,5263,754
B_TB1TB2_to_TB3,K1-K0,RB,6114,-0.7289348976117408,5166,948
B_TB1TB2_to_TB3,K1-K0,RU,6080,-0.8707015290739144,5272,808
B_TB1TB2_to_TB3,K1-K0,SC,9688,-0.9114304455602602,8326,1362
B_TB1TB2_to_TB3,K1-K0,SN,7662,-1.0125349323749648,6693,969
B_TB1TB2_to_TB3,K1-K0,TA,5740,-0.9836962138142705,4991,749
B_TB1TB2_to_TB3,K2-K1,AG,8854,-0.2080234849085313,6966,1888
B_TB1TB2_to_TB3,K2-K1,AL,7896,-0.16882163951854576,6108,1788
B_TB1TB2_to_TB3,K2-K1,AU,9414,-0.1940327949532079,7234,2180
B_TB1TB2_to_TB3,K2-K1,CF,5938,-0.12984848617143613,4220,1718
B_TB1TB2_to_TB3,K2-K1,CU,7877,-0.16509415039160477,6005,1872
B_TB1TB2_to_TB3,K2-K1,I,6174,-0.04575243850905578,4273,1901
B_TB1TB2_to_TB3,K2-K1,M,6141,-0.07366822953247044,4296,1845
B_TB1TB2_to_TB3,K2-K1,MA,5786,-0.13738956468993563,4178,1608
B_TB1TB2_to_TB3,K2-K1,NI,8058,-0.16917034782509044,6199,1859
B_TB1TB2_to_TB3,K2-K1,P,6017,-0.16881495436771327,4519,1498
B_TB1TB2_to_TB3,K2-K1,RB,6114,-0.12614014754163022,4339,1775
B_TB1TB2_to_TB3,K2-K1,RU,6080,-0.1507502273108247,4446,1634
B_TB1TB2_to_TB3,K2-K1,SC,9688,-0.14805457343305226,7348,2340
B_TB1TB2_to_TB3,K2-K1,SN,7662,-0.19964336930253815,5958,1704
B_TB1TB2_to_TB3,K2-K1,TA,5740,-0.1426573951078099,4157,1583
