window,comparison,symbol,n_pairs,mean_delta,n_negative,n_positive
A_TB1_to_TB2,R1-R0,AG,929,-0.8999621124457505,705,224
A_TB1_to_TB2,R1-R0,AL,804,-0.809063378531607,607,197
A_TB1_to_TB2,R1-R0,AU,927,-0.8565708262128124,698,229
A_TB1_to_TB2,R1-R0,CF,796,-0.8549647802612347,609,187
A_TB1_to_TB2,R1-R0,CU,880,-0.8595623158019797,683,197
A_TB1_to_TB2,R1-R0,I,822,-0.9210842995584971,648,174
A_TB1_to_TB2,R1-R0,M,844,-0.8238559036028247,639,205
A_TB1_to_TB2,R1-R0,MA,795,-0.7716161022962651,592,203
A_TB1_to_TB2,R1-R0,NI,984,-0.8435817757931625,763,221
A_TB1_to_TB2,R1-R0,P,804,-0.7347703541541503,594,210
A_TB1_to_TB2,R1-R0,RB,853,-0.7895027778893858,664,189
A_TB1_to_TB2,R1-R0,RU,849,-0.7927929322634218,655,194
A_TB1_to_TB2,R1-R0,SC,904,-0.6095782329847081,684,220
A_TB1_to_TB2,R1-R0,SN,963,-0.8626906691727929,733,230
A_TB1_to_TB2,R1-R0,TA,830,-0.8589994758104593,602,228
A_TB1_to_TB2,R2-R1,AG,929,-0.004731437871129122,473,456
A_TB1_to_TB2,R2-R1,AL,804,-0.0057867522924823465,428,376
A_TB1_to_TB2,R2-R1,AU,927,0.003362224461848797,435,492
A_TB1_to_TB2,R2-R1,CF,796,-0.010369295834866059,418,378
A_TB1_to_TB2,R2-R1,CU,880,-0.011026851291667724,447,433
A_TB1_to_TB2,R2-R1,I,822,-0.0081195312447568,440,382
A_TB1_to_TB2,R2-R1,M,844,-0.0020311411795398823,453,391
A_TB1_to_TB2,R2-R1,MA,795,0.005288633425995043,415,380
A_TB1_to_TB2,R2-R1,NI,984,0.00028533778887019615,469,515
A_TB1_to_TB2,R2-R1,P,804,8.7001212683891e-05,406,398
A_TB1_to_TB2,R2-R1,RB,853,0.0005704178795925677,441,412
A_TB1_to_TB2,R2-R1,RU,849,-0.002517080967189905,433,416
A_TB1_to_TB2,R2-R1,SC,904,0.00023472268004182462,432,472
A_TB1_to_TB2,R2-R1,SN,963,0.0013686790579207073,485,478
A_TB1_to_TB2,R2-R1,TA,830,0.00010851211727413803,439,391
B_TB1TB2_to_TB3,R1-R0,AG,868,-0.8174478265341661,654,214
B_TB1TB2_to_TB3,R1-R0,AL,850,-0.751476773857256,627,223
B_TB1TB2_to_TB3,R1-R0,AU,960,-0.8640930391083207,734,226
B_TB1TB2_to_TB3,R1-R0,CF,797,-0.9037619096752713,627,170
B_TB1TB2_to_TB3,R1-R0,CU,830,-0.8425768112310944,646,184
B_TB1TB2_to_TB3,R1-R0,I,789,-1.0219369562878078,626,163
B_TB1TB2_to_TB3,R1-R0,M,818,-0.4448799625460624,592,226
B_TB1TB2_to_TB3,R1-R0,MA,812,-0.7211397493380651,628,184
B_TB1TB2_to_TB3,R1-R0,NI,907,-0.8476389671713362,702,205
B_TB1TB2_to_TB3,R1-R0,P,793,-0.75697804563497,604,189
B_TB1TB2_to_TB3,R1-R0,RB,833,-0.9256792528349224,649,184
B_TB1TB2_to_TB3,R1-R0,RU,874,-0.7654775758321565,691,183
B_TB1TB2_to_TB3,R1-R0,SC,894,-0.9378120977999663,680,214
B_TB1TB2_to_TB3,R1-R0,SN,873,-0.9031483382509924,693,180
B_TB1TB2_to_TB3,R1-R0,TA,828,-0.8010239033612638,651,177
B_TB1TB2_to_TB3,R2-R1,AG,868,0.00473758088677386,404,464
B_TB1TB2_to_TB3,R2-R1,AL,850,0.0038757838910676904,437,413
B_TB1TB2_to_TB3,R2-R1,AU,960,-0.003623223460987329,437,523
B_TB1TB2_to_TB3,R2-R1,CF,797,-0.0016939429487523418,403,394
B_TB1TB2_to_TB3,R2-R1,CU,830,0.0034279781244625773,396,434
B_TB1TB2_to_TB3,R2-R1,I,789,0.002591721725910153,425,364
B_TB1TB2_to_TB3,R2-R1,M,818,-0.002712266000489896,434,384
B_TB1TB2_to_TB3,R2-R1,MA,812,0.004075279429725819,409,403
B_TB1TB2_to_TB3,R2-R1,NI,907,-0.0024430688233211713,458,449
B_TB1TB2_to_TB3,R2-R1,P,793,0.004501830854324219,374,419
B_TB1TB2_to_TB3,R2-R1,RB,833,-0.005635394835571954,438,395
B_TB1TB2_to_TB3,R2-R1,RU,874,-0.0003397236670680902,454,420
B_TB1TB2_to_TB3,R2-R1,SC,894,0.004562063651938511,423,471
B_TB1TB2_to_TB3,R2-R1,SN,873,-0.0003456293457658377,425,448
B_TB1TB2_to_TB3,R2-R1,TA,828,-0.00525491074646356,400,428
