window,model,target,mean_nll
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_path_max_up_excursion_R,0.7880326137738395
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_path_max_down_excursion_R,0.8021347237634734
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_upper_newest_log_age,1.1617994481404812
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_upper_span,0.6808270701660742
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_lower_newest_log_age,1.1399348116806138
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_lower_span,0.6733668539508622
A_TB1_to_TB2,R0_ENDPOINT_ONLY,geometry,4.0005463550421725
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_start_log_ratio_residual,-17.09826858027866
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_upper_n_active_minus1,0.8155624100542584
A_TB1_to_TB2,R0_ENDPOINT_ONLY,next_lower_n_active_minus1,0.8043669637888546
A_TB1_to_TB2,R1_STATE_PHI,next_path_max_up_excursion_R,0.7746970559123597
A_TB1_to_TB2,R1_STATE_PHI,next_path_max_down_excursion_R,0.7895098289318669
A_TB1_to_TB2,R1_STATE_PHI,next_upper_newest_log_age,0.9728777422648983
A_TB1_to_TB2,R1_STATE_PHI,next_upper_span,0.6084493185800061
A_TB1_to_TB2,R1_STATE_PHI,next_lower_newest_log_age,0.9464183695333382
A_TB1_to_TB2,R1_STATE_PHI,next_lower_span,0.6020310081010073
A_TB1_to_TB2,R1_STATE_PHI,geometry,3.836281243852364
A_TB1_to_TB2,R1_STATE_PHI,next_start_log_ratio_residual,-17.095780663748243
A_TB1_to_TB2,R1_STATE_PHI,next_upper_n_active_minus1,0.765950770441173
A_TB1_to_TB2,R1_STATE_PHI,next_lower_n_active_minus1,0.7471639957652556
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_path_max_up_excursion_R,0.7743556856610158
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_path_max_down_excursion_R,0.7894317810680646
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_upper_newest_log_age,0.9724340797131321
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_upper_span,0.6087772386680266
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_lower_newest_log_age,0.9453233720017882
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_lower_span,0.6025412627865457
A_TB1_to_TB2,R2_STATE_PHI_MEM,geometry,3.8347735801187453
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_start_log_ratio_residual,-17.095813594257066
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_upper_n_active_minus1,0.7663168312824146
A_TB1_to_TB2,R2_STATE_PHI_MEM,next_lower_n_active_minus1,0.7473432032025827
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_path_max_up_excursion_R,0.7960692352354282
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_path_max_down_excursion_R,0.8186674397344871
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_upper_newest_log_age,1.1622327084343342
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_upper_span,0.6422791734163372
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_lower_newest_log_age,1.094389590857433
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_lower_span,0.6402054998319325
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,geometry,4.017807144941101
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_start_log_ratio_residual,-17.57928128754807
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_upper_n_active_minus1,0.7903455539792222
B_TB1TB2_to_TB3,R0_ENDPOINT_ONLY,next_lower_n_active_minus1,0.7658452079630468
B_TB1TB2_to_TB3,R1_STATE_PHI,next_path_max_up_excursion_R,0.784765111322214
B_TB1TB2_to_TB3,R1_STATE_PHI,next_path_max_down_excursion_R,0.7989230744307293
B_TB1TB2_to_TB3,R1_STATE_PHI,next_upper_newest_log_age,0.9607423863760162
B_TB1TB2_to_TB3,R1_STATE_PHI,next_upper_span,0.5666608712528993
B_TB1TB2_to_TB3,R1_STATE_PHI,next_lower_newest_log_age,0.8992772490860531
B_TB1TB2_to_TB3,R1_STATE_PHI,next_lower_span,0.5712453840843164
B_TB1TB2_to_TB3,R1_STATE_PHI,geometry,3.8778685071899037
B_TB1TB2_to_TB3,R1_STATE_PHI,next_start_log_ratio_residual,-17.579454511979247
B_TB1TB2_to_TB3,R1_STATE_PHI,next_upper_n_active_minus1,0.7399063779224617
B_TB1TB2_to_TB3,R1_STATE_PHI,next_lower_n_active_minus1,0.7090558080379126
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_path_max_up_excursion_R,0.786011122044269
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_path_max_down_excursion_R,0.79941883799569
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_upper_newest_log_age,0.9603362407478303
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_upper_span,0.56737137003931
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_lower_newest_log_age,0.8997324285248145
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_lower_span,0.5713901899536544
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,geometry,3.875366252785682
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_start_log_ratio_residual,-17.57945058671164
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_upper_n_active_minus1,0.7403180625053785
B_TB1TB2_to_TB3,R2_STATE_PHI_MEM,next_lower_n_active_minus1,0.7088706983158647
