event_mask,event_mask_text,n,rate
1,UP_PEN,6288,0.24880307047046255
2,DOWN_PEN,6111,0.24179954892573102
12,NEW_UPPER+NEW_LOWER,5277,0.208799905036996
8,NEW_LOWER,2605,0.10307442725438215
4,NEW_UPPER,2601,0.10291615558105488
9,UP_PEN+NEW_LOWER,1080,0.042733351798361886
6,DOWN_PEN+NEW_UPPER,1005,0.03976575792347565
14,DOWN_PEN+NEW_UPPER+NEW_LOWER,129,0.005104261464804337
13,UP_PEN+NEW_UPPER+NEW_LOWER,110,0.004352471016499822
10,DOWN_PEN+NEW_LOWER,23,0.0009100621216317809
5,UP_PEN+NEW_UPPER,20,0.0007913583666363312
0,CENSOR,13,0.0005143829383136154
3,UP_PEN+DOWN_PEN,4,0.00015827167332726626
7,UP_PEN+DOWN_PEN+NEW_UPPER,4,0.00015827167332726626
11,UP_PEN+DOWN_PEN+NEW_LOWER,2,7.913583666363313e-05
15,ALL_FOUR,1,3.9567918331816565e-05
