symbol,n_episodes,analysis_increments,owned_increments,initial_gap_increments,inter_episode_gap_increments,discontinuity_gap_increments,terminal_gap_increments,gap_increments_total,accounting_difference,n_episode_pairs_contiguous,initial_gap_bars,terminal_gap_bars
AG,1831,22247,20182,15,2050,0,0,2065,0,1763,15,0
AL,1629,18683,17810,15,842,0,16,873,0,1592,15,16
AU,1849,22247,19705,15,2527,0,0,2542,0,1770,15,0
CF,1519,13931,13439,15,477,0,0,492,0,1489,15,0
CU,1686,18683,17462,15,1206,0,0,1221,0,1640,15,0
I,1561,13931,13460,27,444,0,0,471,0,1530,27,0
M,1633,13931,13403,15,513,0,0,528,0,1606,15,0
MA,1566,13931,13311,15,605,0,0,620,0,1530,15,0
NI,1847,18683,18100,15,568,0,0,583,0,1821,15,0
P,1590,13931,13343,15,573,0,0,588,0,1554,15,0
RB,1649,13931,13456,15,460,0,0,475,0,1619,15,0
RU,1668,13931,13518,15,398,0,0,413,0,1645,15,0
SC,1772,22247,21081,15,1151,0,0,1166,0,1747,15,0
SN,1877,18683,18036,15,632,0,0,647,0,1849,15,0
TA,1596,13931,13528,15,388,0,0,403,0,1577,15,0
TOTAL,25273,252921,239834,237,12834,0,16,13087,0,24732,237,16
