symbol,n,ll_M1_SYMBOL_ONLY,ll_M3_GEOMETRY_SYMBOL,delta_geometry_given_symbol
AG,10074,0.6786113633358469,0.5577047756618624,-0.12090658767398454
AL,9241,0.6919948092379068,0.6079768523873248,-0.084017956850582
AU,10368,0.6889356515786196,0.5964087477984911,-0.09252690378012851
CF,6890,0.6930319200589884,0.5872185607683348,-0.10581335929065361
CU,9231,0.6893536463636246,0.6196256594510804,-0.06972798691254423
I,7014,0.6979489770010825,0.611567193885225,-0.08638178311585754
M,6999,0.6932119684384416,0.6034152839288889,-0.0897966845095527
MA,6919,0.6893140370691542,0.6138102794725361,-0.07550375759661809
NI,9438,0.6930737139053026,0.5763741753262466,-0.11669953857905602
P,6924,0.6929245175498012,0.5669455560317401,-0.1259789615180611
RB,7014,0.7148848455236425,0.5996531195363075,-0.115231725987335
RU,7014,0.6980223770182773,0.5548992729818751,-0.14312310403640216
SC,11069,0.6914764860045942,0.6073478101519926,-0.08412867585260164
SN,9403,0.6947429664758318,0.6047790574989579,-0.0899639089768739
TA,7014,0.6950059080850818,0.595556853351663,-0.0994490547334188
