symbol,n,UP,DOWN,ROLL_RIGHT_CENSOR,END_OF_DATA_RIGHT_CENSOR,AMBIGUOUS,UP_pct,DOWN_pct,ROLL_RIGHT_CENSOR_pct,END_OF_DATA_RIGHT_CENSOR_pct,AMBIGUOUS_pct
AG,40910,22545,18264,0,76,25,0.5510877536054755,0.446443412368614,0.0,0.0018577364947445613,0.0006110975311659741
AL,35866,19159,16684,0,9,14,0.5341827915017008,0.4651759326381531,0.0,0.00025093403223108235,0.00039034182791501703
AU,41178,21925,19156,0,43,54,0.5324445092039438,0.46519986400505126,0.0,0.0010442469279712467,0.0013113798630336587
CF,26797,13908,12863,0,26,0,0.5190133223868344,0.4800164197484793,0.0,0.0009702578646863455,0.0
CU,35457,19287,16113,0,56,1,0.5439546492935105,0.4544377696928674,0.0,0.0015793778379445526,2.8203175677581295e-05
I,27344,13911,13343,0,36,54,0.5087404915155062,0.4879681100058514,0.0,0.0013165593914569924,0.001974839087185489
M,27029,13871,13140,0,18,0,0.513189537163787,0.4861445114506641,0.0,0.0006659513855488549,0.0
MA,26812,13478,13239,0,17,78,0.5026853647620468,0.49377144562136355,0.0,0.000634044457705505,0.002909145158884082
NI,36310,18014,18131,0,115,50,0.4961167722390526,0.4993390250619664,0.0,0.0031671715780776646,0.0013770311209033324
P,26980,13503,13404,0,67,6,0.5004818383988139,0.49681245366938476,0.0,0.0024833209785025947,0.00022238695329873981
RB,27344,13141,14144,0,43,16,0.4805807489760094,0.5172615564657694,0.0,0.0015725570509069631,0.0005851375073142189
RU,27220,14300,12854,0,33,33,0.5253490080822925,0.47222630418809697,0.0,0.0012123438648052902,0.0012123438648052902
SC,42249,21096,21039,0,114,0,0.4993254278207768,0.49797628346233047,0.0,0.0026982887168927076,0.0
SN,35832,18660,17074,0,28,70,0.5207635632953784,0.47650145121678944,0.0,0.0007814244250948872,0.001953561062737218
TA,27030,14006,12981,0,23,20,0.5181650018497965,0.4802441731409545,0.0,0.0008509064002959674,0.0007399186089530152
