symbol,n_identities,both_nat,old_eq_new,old_later_than_new,old_earlier_than_new,old_nat_new_finite,old_finite_new_nat
AG,5762,465,5164,117,0,16,0
AL,5473,392,4385,658,0,38,0
AU,5911,464,5390,52,0,5,0
CF,5125,324,3861,874,0,66,0
CU,5528,452,4785,275,0,16,0
I,5170,210,3754,1157,0,49,0
M,5052,215,4034,751,0,52,0
MA,5020,168,4250,594,0,8,0
NI,5613,175,5295,140,0,3,0
P,5021,200,4514,294,0,13,0
RB,5203,158,4046,954,0,45,0
RU,5050,255,4330,431,0,34,0
SC,5624,207,5146,261,0,10,0
SN,5652,383,5190,68,0,11,0
TA,5085,271,4204,567,0,43,0
TOTAL,80289,4339,68348,7193,0,409,0
