window,comparison,symbol,n,mean_delta,n_negative,n_positive
A_TB1_to_TB2,P-B0,AG,930,-0.006747470237318555,504,426
A_TB1_to_TB2,P-B0,AL,805,-0.005406915605471156,439,366
A_TB1_to_TB2,P-B0,AU,928,-0.004934244726685265,500,428
A_TB1_to_TB2,P-B0,CF,797,-0.016249733110975054,479,318
A_TB1_to_TB2,P-B0,CU,881,0.0033056279132863357,436,445
A_TB1_to_TB2,P-B0,I,823,-0.017911535709871425,469,354
A_TB1_to_TB2,P-B0,M,845,-0.0024870688873144258,482,363
A_TB1_to_TB2,P-B0,MA,796,-0.011854435585945561,447,349
A_TB1_to_TB2,P-B0,NI,985,0.003675156460865494,533,452
A_TB1_to_TB2,P-B0,P,805,-0.008660770433507933,466,339
A_TB1_to_TB2,P-B0,RB,854,-0.011949799110606863,462,392
A_TB1_to_TB2,P-B0,RU,850,-0.002729992948011251,476,374
A_TB1_to_TB2,P-B0,SC,905,-0.004167290301823054,483,422
A_TB1_to_TB2,P-B0,SN,964,-0.005133365193385413,520,444
A_TB1_to_TB2,P-B0,TA,831,-0.01425580017534619,490,341
A_TB1_to_TB2,T-B0,AG,930,-0.003789722766675679,512,418
A_TB1_to_TB2,T-B0,AL,805,-0.0030332371295961453,436,369
A_TB1_to_TB2,T-B0,AU,928,-0.004828857321391749,509,419
A_TB1_to_TB2,T-B0,CF,797,0.0020488488319004394,420,377
A_TB1_to_TB2,T-B0,CU,881,0.0005565914275037961,456,425
A_TB1_to_TB2,T-B0,I,823,-0.006726236185052161,453,370
A_TB1_to_TB2,T-B0,M,845,-0.007764986332146497,491,354
A_TB1_to_TB2,T-B0,MA,796,-0.003050027111545149,445,351
A_TB1_to_TB2,T-B0,NI,985,0.001689630276229308,527,458
A_TB1_to_TB2,T-B0,P,805,-0.002989322788121766,450,355
A_TB1_to_TB2,T-B0,RB,854,-0.0026884894363981998,488,366
A_TB1_to_TB2,T-B0,RU,850,-0.002016359842768574,477,373
A_TB1_to_TB2,T-B0,SC,905,-0.002117348910470717,467,438
A_TB1_to_TB2,T-B0,SN,964,0.003422772538855907,522,442
A_TB1_to_TB2,T-B0,TA,831,-0.00622702622409144,499,332
A_TB1_to_TB2,PT-T,AG,930,-0.009734433593198626,535,395
A_TB1_to_TB2,PT-T,AL,805,-0.005421770528718668,459,346
A_TB1_to_TB2,PT-T,AU,928,-0.0061304104440633314,510,418
A_TB1_to_TB2,PT-T,CF,797,-0.016016319885372915,485,312
A_TB1_to_TB2,PT-T,CU,881,0.002749550002208695,470,411
A_TB1_to_TB2,PT-T,I,823,-0.01770988041229864,491,332
A_TB1_to_TB2,PT-T,M,845,-0.003050833774738288,493,352
A_TB1_to_TB2,PT-T,MA,796,-0.013303412516516643,477,319
A_TB1_to_TB2,PT-T,NI,985,0.0016702377183923619,571,414
A_TB1_to_TB2,PT-T,P,805,-0.009685403213730572,486,319
A_TB1_to_TB2,PT-T,RB,854,-0.010458280704123428,496,358
A_TB1_to_TB2,PT-T,RU,850,-0.004723540290457189,503,347
A_TB1_to_TB2,PT-T,SC,905,-0.0026497832298905464,493,412
A_TB1_to_TB2,PT-T,SN,964,-0.010712192945124661,561,403
A_TB1_to_TB2,PT-T,TA,831,-0.01218461443521413,500,331
