model,bit,n,prevalence,logloss,brier,ece,train_prevalence
M0_CURRENT_GEOMETRY,UP_PEN,12892,0.29855724480297857,0.4602544346182859,0.15001282150952436,0.010737840121673297,0.29492931516126303
M0_CURRENT_GEOMETRY,DOWN_PEN,12892,0.2829661805771021,0.4478752113227247,0.14368368556075037,0.017194433950270364,0.2926436976212647
M0_CURRENT_GEOMETRY,NEW_UPPER,12892,0.3640242010549178,0.6170840561700942,0.2093484833922802,0.08411152274429412,0.36442901887750784
M0_CURRENT_GEOMETRY,NEW_LOWER,12892,0.3676698727893267,0.620939949857173,0.2121693263617161,0.08871792957348705,0.3634978413612122
M0_CURRENT_GEOMETRY,MEAN_BIT,12892,0.32830437480608127,0.5365384129920694,0.17880357920606776,0.05019043159743121,0.32887496825531193
M1_GEOMETRY_PREV_EVENT,UP_PEN,12892,0.29855724480297857,0.4600498737855679,0.15004056258921464,0.007593205672513128,0.29492931516126303
M1_GEOMETRY_PREV_EVENT,DOWN_PEN,12892,0.2829661805771021,0.4467139351279029,0.14351865340408884,0.014272079477162797,0.2926436976212647
M1_GEOMETRY_PREV_EVENT,NEW_UPPER,12892,0.3640242010549178,0.6027470225536821,0.20490177624521771,0.05420149137473176,0.36442901887750784
M1_GEOMETRY_PREV_EVENT,NEW_LOWER,12892,0.3676698727893267,0.6080263048729859,0.20828215466441807,0.04459641846334397,0.3634978413612122
M1_GEOMETRY_PREV_EVENT,MEAN_BIT,12892,0.32830437480608127,0.5293842840850347,0.17668578672573482,0.030165798746937915,0.32887496825531193
M2_GEOMETRY_PREV_EVENT_DURATION,UP_PEN,12892,0.29855724480297857,0.46014264411798556,0.1500658267574496,0.009321520383034416,0.29492931516126303
M2_GEOMETRY_PREV_EVENT_DURATION,DOWN_PEN,12892,0.2829661805771021,0.447078009456497,0.14362914924078038,0.013140114924784186,0.2926436976212647
M2_GEOMETRY_PREV_EVENT_DURATION,NEW_UPPER,12892,0.3640242010549178,0.6038278608611058,0.20516292908673914,0.05276212392510829,0.36442901887750784
M2_GEOMETRY_PREV_EVENT_DURATION,NEW_LOWER,12892,0.3676698727893267,0.6080591139842676,0.20821644502694153,0.04128166393252924,0.3634978413612122
M2_GEOMETRY_PREV_EVENT_DURATION,MEAN_BIT,12892,0.32830437480608127,0.5297769071049641,0.17676858752797764,0.029126355791364036,0.32887496825531193
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,UP_PEN,12892,0.29855724480297857,0.46018321735424145,0.1502293816818832,0.009204976532770904,0.29492931516126303
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,DOWN_PEN,12892,0.2829661805771021,0.44685309971119924,0.14364988122376693,0.015051172594778036,0.2926436976212647
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,NEW_UPPER,12892,0.3640242010549178,0.6035286245815151,0.20542997849561187,0.03754409298531445,0.36442901887750784
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,NEW_LOWER,12892,0.3676698727893267,0.6074451815580735,0.2083944698333146,0.03065468495010646,0.3634978413612122
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,MEAN_BIT,12892,0.32830437480608127,0.5295025308012573,0.17692592780864413,0.02311373176574246,0.32887496825531193
B_PRIOR,UP_PEN,12892,0.29855724480297857,0.6096684705036683,0.20943397825211815,0.0036279296417154883,0.29492931516126303
B_PRIOR,DOWN_PEN,12892,0.2829661805771021,0.5959606951899681,0.20298997556284903,0.009677517044162642,0.2926436976212647
B_PRIOR,NEW_UPPER,12892,0.3640242010549178,0.6556988427022166,0.231510745978716,0.0004048178225899979,0.36442901887750784
B_PRIOR,NEW_LOWER,12892,0.3676698727893267,0.6577414454820881,0.2325061432786442,0.004172031428114398,0.3634978413612122
B_PRIOR,MEAN_BIT,12892,0.32830437480608127,0.6297673634694853,0.21911021076808185,0.0044705739841456316,0.32887496825531193
