window,comparison,symbol,n,mean_delta,n_negative,n_positive
A_TB1_to_TB2,M1-M0,AG,930,-0.31032853305018976,772,158
A_TB1_to_TB2,M1-M0,AL,805,-0.25417410740475593,649,156
A_TB1_to_TB2,M1-M0,AU,928,-0.26134703585813,779,149
A_TB1_to_TB2,M1-M0,CF,797,-0.31414992007225095,667,130
A_TB1_to_TB2,M1-M0,CU,881,-0.29758060962765037,748,133
A_TB1_to_TB2,M1-M0,I,823,-0.20898699395768017,704,119
A_TB1_to_TB2,M1-M0,M,845,-0.30871520981726536,732,113
A_TB1_to_TB2,M1-M0,MA,796,-0.32662082064346554,683,113
A_TB1_to_TB2,M1-M0,NI,985,-0.2577150187467431,819,166
A_TB1_to_TB2,M1-M0,P,805,-0.30185413356438723,674,131
A_TB1_to_TB2,M1-M0,RB,854,-0.2940079109205529,723,131
A_TB1_to_TB2,M1-M0,RU,850,-0.30942934156816215,717,133
A_TB1_to_TB2,M1-M0,SC,905,-0.24007037508139834,710,195
A_TB1_to_TB2,M1-M0,SN,964,-0.20868427333863573,792,172
A_TB1_to_TB2,M1-M0,TA,831,-0.30225813267394674,710,121
A_TB1_to_TB2,M2-M1,AG,930,-0.011377639916466904,479,451
A_TB1_to_TB2,M2-M1,AL,805,-0.1098480128621994,499,306
A_TB1_to_TB2,M2-M1,AU,928,0.0040576750980506875,448,480
A_TB1_to_TB2,M2-M1,CF,797,-0.038586330163755206,437,360
A_TB1_to_TB2,M2-M1,CU,881,-0.047767385993104795,479,402
A_TB1_to_TB2,M2-M1,I,823,-0.07112462872431038,470,353
A_TB1_to_TB2,M2-M1,M,845,-0.03395286826139182,445,400
A_TB1_to_TB2,M2-M1,MA,796,-0.0745955247473988,464,332
A_TB1_to_TB2,M2-M1,NI,985,-0.09987161539879329,589,396
A_TB1_to_TB2,M2-M1,P,805,-0.042545509966563755,438,367
A_TB1_to_TB2,M2-M1,RB,854,-0.08013264653429031,487,367
A_TB1_to_TB2,M2-M1,RU,850,-0.10216346851836303,513,337
A_TB1_to_TB2,M2-M1,SC,905,-0.034389030227423484,503,402
A_TB1_to_TB2,M2-M1,SN,964,-0.10288610532172511,554,410
A_TB1_to_TB2,M2-M1,TA,831,-0.04998058413935399,465,366
A_TB1_to_TB2,M3-M2,AG,930,-0.0007816540310916454,405,525
A_TB1_to_TB2,M3-M2,AL,805,-0.00265383364671528,377,428
