window,model,hazard_nll,hazard_brier,endpoint_joint_nll,marginal_bit_ece,mean_episode_nll,n_episodes,n_obs,mean_pred_duration,mean_actual_duration
A_TB1_to_TB2,M0_START_STATE,0.3326945173649956,0.09309813523054272,1.4399928663744932,0.042668967320269334,4.627861033534613,12999,124556,4.988877097715374,9.581967843680284
A_TB1_to_TB2,M1_CURRENT_5M_SNAPSHOT,0.3327117036460518,0.09309028006885249,1.1612149122799693,0.04273267731131156,4.349247757832522,12999,124556,4.989975038716676,9.581967843680284
A_TB1_to_TB2,M2_INTRA_EPISODE_PATH,0.32685943187249134,0.09195203211758984,1.157716106882962,0.04134012836443055,4.289672672488781,12999,124556,5.056042547066644,9.581967843680284
A_TB1_to_TB2,M3_SMC_STRUCTURE,0.3267278976070313,0.09191782838558538,1.1585981685075382,0.039904436079583466,4.289294377011376,12999,124556,5.0628387124663385,9.581967843680284
A_TB1_to_TB2,M4_OB_LIFECYCLE,0.32664845380418417,0.0918968513137682,1.160019397261591,0.043575938616614726,4.289954377801168,12999,124556,5.084329874668537,9.581967843680284
B_TB1TB2_to_TB3,M0_START_STATE,0.3360156308361051,0.09437251289705746,1.453392887666186,0.044610700545569884,4.622873973443056,12741,120180,4.976346455351979,9.432540616906051
B_TB1TB2_to_TB3,M1_CURRENT_5M_SNAPSHOT,0.3360329186124427,0.09437383564675104,1.1833308806381528,0.04165568826787536,4.352975034067505,12741,120180,4.978040805055579,9.432540616906051
B_TB1TB2_to_TB3,M2_INTRA_EPISODE_PATH,0.3320504750304253,0.09361768484431493,1.177383965457132,0.04029749028103336,4.309463558044567,12741,120180,5.05981255954653,9.432540616906051
B_TB1TB2_to_TB3,M3_SMC_STRUCTURE,0.3318718050617579,0.09357656894114669,1.1762543646973307,0.040200193663785175,4.3066486455482895,12741,120180,5.061349984287548,9.432540616906051
B_TB1TB2_to_TB3,M4_OB_LIFECYCLE,0.33167672120837616,0.09352354775602259,1.17669894920157,0.04336655916617445,4.305253093681803,12741,120180,5.123995820573799,9.432540616906051
