symbol,bos_internal_bull,bos_internal_bear,choch_internal_bull,choch_internal_bear,bos_swing_bull,bos_swing_bear,choch_swing_bull,choch_swing_bear,internal_bias,swing_bias,ob_created_bull,ob_created_bear,ob_entered_bull,ob_entered_bear,ob_mitigated_bull,ob_mitigated_bear,active_internal_ob_count
AG,478,264,466,467,70,31,59,59,2068,10523,944,731,736,617,672,597,1784716
AL,295,235,318,319,40,27,46,46,1299,2680,613,554,506,488,452,463,942619
AU,484,287,458,459,62,37,53,52,3343,5632,942,746,733,609,657,588,2234956
CF,210,170,223,223,31,31,35,34,1129,1298,433,393,365,352,317,334,569052
CU,342,242,367,366,59,24,48,48,2073,5102,709,608,579,524,527,500,1269367
I,197,186,217,218,32,23,33,33,61,2104,414,404,381,368,335,329,639414
M,226,209,229,229,27,37,40,39,-193,-1242,455,438,417,392,367,346,567610
MA,201,233,238,239,23,34,34,35,-1142,-3314,439,472,387,415,348,360,661779
NI,331,316,404,404,41,44,50,51,-84,-560,735,720,636,633,591,582,789219
P,264,215,269,269,34,23,31,32,804,1277,533,484,475,438,412,399,648883
RB,193,232,244,244,28,32,37,37,-1015,-35,437,476,403,430,373,375,602119
RU,205,235,262,262,37,26,38,37,71,1564,467,497,411,448,381,416,705703
SC,428,364,409,408,58,40,58,59,346,2535,837,772,677,638,633,600,1250397
SN,331,273,399,399,56,37,48,48,1329,3555,730,672,576,581,552,578,912584
TA,198,235,248,247,34,24,37,38,-923,224,446,482,370,444,340,403,660749
