block,metric,point,ci95_lower,ci95_upper,p_pos
TB2,hazard_auc,0.6307159322328165,0.6250941823190758,0.6364760845199607,1.0
TB2,EV_0A,0.0061015680383885,0.002376269221583709,0.009944777069222208,0.9995
TB2,EV_0B,0.005310723359652136,0.001966075524919148,0.00870267227593833,0.9995
TB2,Delta_EV,-0.0007908446787363637,-0.0012960354256824425,-0.0003112702220788581,0.001
TB2,ENEV_0A,0.0061015680383885,0.002376269221583709,0.009944777069222208,0.9995
TB2,ENEV_0B,0.005944395270358869,0.0022011478892451303,0.009747430568009766,0.9995
TB2,Delta_ENEV,-0.0001571727680296309,-0.000391925328957905,7.187128357639489e-05,0.088
TB3,hazard_auc,0.6107210912529906,0.6049215182100168,0.6171159322165578,1.0
TB3,EV_0A,0.0013941236469649282,-0.0047497753767200826,0.007250365846576547,0.684
TB3,EV_0B,0.001082610548625883,-0.004595155825928662,0.006345384435899204,0.6575
TB3,Delta_EV,-0.00031151309833904526,-0.0009361476140035324,0.00026993731398756516,0.147
TB3,ENEV_0A,0.0013941236469649282,-0.0047497753767200826,0.007250365846576547,0.684
TB3,ENEV_0B,0.001210299727745094,-0.005135803921631972,0.007096144053010923,0.6575
TB3,Delta_ENEV,-0.0001838239192198342,-0.0005977124788252623,0.00014442908614650308,0.166
