block,bin_idx,n,mean_p_h,observed_H1_rate
TB2,0,12456,0.050932874710704804,0.055876685934489405
TB2,1,12456,0.06856525357495484,0.07024727039177907
TB2,2,12455,0.07869382496051444,0.069771176234444
TB2,3,12456,0.08725916232283663,0.07691072575465639
TB2,4,12455,0.09543951567371968,0.09257326374949819
TB2,5,12456,0.10391811802518865,0.09786448298008991
TB2,6,12455,0.11332968333483089,0.1083902047370534
TB2,7,12456,0.12530713140381947,0.12403660886319846
TB2,8,12455,0.14310781187537905,0.14901645925331192
TB2,9,12456,0.20144165989833204,0.1989402697495183
TB3,0,11680,0.05145875114730942,0.05924657534246575
TB3,1,12545,0.06856652021617483,0.07054603427660422
TB3,2,12635,0.07869591848022946,0.0777997625643055
TB3,3,13146,0.087258882174495,0.08671839342765861
TB3,4,12853,0.09543850651758135,0.09826499649887185
TB3,5,12349,0.1038414596880883,0.1061624423030205
TB3,6,11883,0.11332868492033807,0.11503828999410923
TB3,7,11414,0.1252617997304094,0.12195549325389872
TB3,8,10673,0.1432636069638555,0.14663168743558513
TB3,9,11002,0.20261436896036947,0.19478276676967823
