block,group,bin,n,harm_rate,mean_harm,mean_pi
TB2,hazard_quintile,0,1419,0.6342494714587738,0.5361152376754788,-0.29496133395450314
TB2,hazard_quintile,1,1826,0.6188389923329682,0.5299673038188486,-0.2872549883742738
TB2,hazard_quintile,2,2362,0.6024555461473328,0.5642817822095557,-0.2939030231356408
TB2,hazard_quintile,3,2918,0.6168608636052091,0.5548930106980035,-0.2976973443073534
TB2,hazard_quintile,4,4474,0.6289673670093876,0.6169572003126554,-0.32706837565206043
TB2,conviction_quintile,0,1588,0.48488664987405544,0.46095675561240096,-0.053124420497428194
TB2,conviction_quintile,1,1640,0.5286585365853659,0.503182879108096,-0.13711474557229006
TB2,conviction_quintile,2,1925,0.5475324675324675,0.5479112291680663,-0.20759168121874036
TB2,conviction_quintile,3,2367,0.6451204055766794,0.6091511014423974,-0.33154788389714784
TB2,conviction_quintile,4,5479,0.7025004562876437,0.6181669438066865,-0.45184228064178267
TB2,age_bucket,0,1961,0.715961244263131,0.6673591457232982,-0.46644513459020015
TB2,age_bucket,1,1188,0.7239057239057239,0.689307247568608,-0.48440551578878893
TB2,age_bucket,2,943,0.6617179215270413,0.6230839568015367,-0.3994074629829174
TB2,age_bucket,3,794,0.6738035264483627,0.6800382195959,-0.46642056023379114
TB2,age_bucket,4,612,0.7107843137254902,0.6815591453758074,-0.47273464291573236
TB2,age_bucket,5,623,0.6677367576243981,0.6328479551742993,-0.3673732571059225
TB2,age_bucket,6,532,0.6522556390977443,0.6812804794992785,-0.4434960232233724
TB2,age_bucket,7,483,0.6376811594202898,0.6220613977706103,-0.35521449730080423
TB2,age_bucket,8,489,0.623721881390593,0.5809694622780323,-0.29047546621355325
TB2,age_bucket,9,444,0.5923423423423423,0.5604772322064628,-0.2602233405995236
TB2,age_bucket,10,487,0.5708418891170431,0.47551587689482977,-0.22081126941751433
TB2,age_bucket,11,914,0.5087527352297593,0.3955579257303635,-0.07461447817707104
TB2,age_bucket,12,280,0.5714285714285714,0.5045126908871459,-0.13569763083790717
TB2,age_bucket,13,320,0.55,0.44529789591307833,-0.1367745628491109
TB2,age_bucket,14,773,0.46571798188874514,0.3645673782066998,-0.07394339527972182
TB2,age_bucket,15,179,0.5642458100558659,0.5065884461684895,-0.1666680239954195
TB2,age_bucket,16,188,0.4627659574468085,0.5275125966669285,-0.0738143887332909
TB2,age_bucket,17,462,0.4935064935064935,0.6001828955276155,-0.04851423200761485
TB2,age_bucket,18,78,0.5512820512820513,0.5019412550354041,-0.18488042355774928
TB2,age_bucket,19,96,0.6041666666666666,0.5576141870613899,-0.28323197528902716
TB2,age_bucket,20,98,0.5918367346938775,0.6152299173429989,-0.36928339805368565
TB2,age_bucket,21,1055,0.5270142180094787,0.378787530745119,-0.08554805057297223
TB3,hazard_quintile,0,1520,0.6394736842105263,0.6608543797738198,-0.39795774742795503
TB3,hazard_quintile,1,2083,0.6096975516082573,0.5394345498573544,-0.2872649600519259
TB3,hazard_quintile,2,2386,0.6047778709136631,0.5540980587070208,-0.24487044665540594
TB3,hazard_quintile,3,2807,0.6056287851799074,0.570765039035676,-0.26813482196531707
TB3,hazard_quintile,4,3945,0.644106463878327,0.6479554219321295,-0.3854761083859228
TB3,conviction_quintile,0,1589,0.4839521711768408,0.44460912440657285,-0.008924015231705081
TB3,conviction_quintile,1,1702,0.5141010575793185,0.5939028764958373,-0.20999856493192162
TB3,conviction_quintile,2,1789,0.5796534376746786,0.6018331512302719,-0.25553796690850333
TB3,conviction_quintile,3,2258,0.6426040744021257,0.6520049882595524,-0.3684728498437398
TB3,conviction_quintile,4,5403,0.7022024801036462,0.6186057803554387,-0.4442199391030493
TB3,age_bucket,0,1932,0.7246376811594203,0.7109053131368728,-0.5227558353614884
TB3,age_bucket,1,1157,0.7225583405358686,0.7223097826471998,-0.5173111000316827
TB3,age_bucket,2,880,0.678409090909091,0.660518270665329,-0.4085868199317603
TB3,age_bucket,3,820,0.6865853658536586,0.6881862021932886,-0.4537137447899884
TB3,age_bucket,4,589,0.7079796264855688,0.6900433634237279,-0.46626992355432884
TB3,age_bucket,5,633,0.6398104265402843,0.6116414065557372,-0.34228063219195204
TB3,age_bucket,6,499,0.6593186372745491,0.5964321048509234,-0.3630466111503415
TB3,age_bucket,7,480,0.6645833333333333,0.6168655435687007,-0.34113929824769523
TB3,age_bucket,8,466,0.6180257510729614,0.5609641112730893,-0.2518886294786864
TB3,age_bucket,9,421,0.6342042755344418,0.6251381461681295,-0.39553201403990046
TB3,age_bucket,10,433,0.5866050808314087,0.5578107808770628,-0.2628509153323586
TB3,age_bucket,11,954,0.4811320754716981,0.37809486403323767,-0.05738072934612971
TB3,age_bucket,12,315,0.580952380952381,0.6141043474725196,-0.3091075110651297
TB3,age_bucket,13,317,0.5741324921135647,0.4755252313816903,-0.15887561560572253
TB3,age_bucket,14,786,0.47455470737913485,0.34464496051844234,-0.04153014843649094
TB3,age_bucket,15,188,0.6329787234042553,0.5336156444838264,-0.2078325895848472
TB3,age_bucket,16,228,0.4780701754385965,0.43829873504630273,0.0794641381355612
TB3,age_bucket,17,468,0.49572649572649574,0.9526672487124842,-0.32552685210684645
TB3,age_bucket,18,76,0.4868421052631579,0.35583510486505743,0.119435264959386
TB3,age_bucket,19,72,0.5555555555555556,0.45387494139228657,-0.17555981694991785
TB3,age_bucket,20,83,0.4939759036144578,0.33295608406398164,0.037484910189916266
TB3,age_bucket,21,944,0.5042372881355932,0.4143117184397554,-0.08263295210115361
