block,variant,metric,point,ci95_lower,ci95_upper,p_pos
TB2,PGM_U,Delta_LogLoss,1.426119432718087e-05,-9.245479295855175e-06,3.79740457111713e-05,0.8875
TB2,PGM_U,Delta_Brier,1.6309413963105923e-06,-3.909616828361509e-06,7.099449313723716e-06,0.7325
TB2,PGM_E,Delta_LogLoss,0.00042817826511271084,0.0002750523097853827,0.0005805639323072945,1.0
TB2,PGM_E,Delta_Brier,8.303826170846795e-05,4.741373232571983e-05,0.00011656366908056914,1.0
TB2,PGM_UE,Delta_LogLoss,0.0005580674529228058,0.00038883565613338084,0.0007331197030754827,1.0
TB2,PGM_UE,Delta_Brier,9.624139451236413e-05,5.920938238678369e-05,0.00013385296397421074,1.0
TB3,PGM_U,Delta_LogLoss,4.001564266054025e-07,-5.6328496914614945e-05,4.9132673992613446e-05,0.5275
TB3,PGM_U,Delta_Brier,8.553155712034965e-06,8.561452197054787e-07,1.6423543944145065e-05,0.9815
TB3,PGM_E,Delta_LogLoss,0.0005015575394059502,0.0001616364417005675,0.000802226390461802,0.996
TB3,PGM_E,Delta_Brier,0.00013262064099206494,8.357631733995271e-05,0.0001819283167402947,1.0
TB3,PGM_UE,Delta_LogLoss,0.0007029442225550686,0.00044710239751473424,0.000956741670658577,1.0
TB3,PGM_UE,Delta_Brier,0.00013189386068536424,7.729837361053135e-05,0.00018518655036073618,1.0
