block,metric,point,ci95_lower,ci95_upper,p_pos
TB2,Delta_LOW_pi,0.0012587601385114751,-0.015393960933797921,0.019010956469068384,0.552
TB2,Delta_HIGH_pi,-0.004802057167429968,-0.02042848990430276,0.012126583357636653,0.2535
TB2,DID_pi,-0.006060817305941443,-0.029092792854329034,0.016681749816599804,0.294
TB2,Delta_LOW_harm,0.014792440743077284,-1.1949987519124774e-05,0.028757972163343644,0.9745
TB2,Delta_HIGH_harm,0.030097125476938436,0.017433354283593057,0.04307956619572554,1.0
TB2,DID_harm,0.015304684733861151,-0.0025629212380974624,0.03386749294242999,0.9515
TB2,Delta_LOW_H1,-0.034426061832091126,-0.043051639319645126,-0.026012423941352617,0.0
TB2,Delta_HIGH_H1,-0.020451352018912877,-0.029403676550890823,-0.011296998421697211,0.0
TB2,DID_H1,0.013974709813178249,0.0012389443944551635,0.026591038717768904,0.984
TB3,Delta_LOW_pi,-0.008012672624608396,-0.025798465632284634,0.010655015516947393,0.198
TB3,Delta_HIGH_pi,-0.0055779391289513935,-0.024835908789758884,0.013481125844507398,0.2775
TB3,DID_pi,0.002434733495657003,-0.022784204117285847,0.027406390203344407,0.5605
TB3,Delta_LOW_harm,0.031361273071466744,0.01290703581483595,0.05096036610786643,0.9995
TB3,Delta_HIGH_harm,0.02150675277513353,0.006975807073013143,0.035345529917281335,0.9975
TB3,DID_harm,-0.009854520296333213,-0.033515669705843194,0.013276278607208277,0.2085
TB3,Delta_LOW_H1,-0.031151152777252195,-0.042315213694254686,-0.020446853073937756,0.0
TB3,Delta_HIGH_H1,-0.020096234849981562,-0.02841275060065926,-0.012435964310643298,0.0
TB3,DID_H1,0.011054917927270633,-0.0020451096437014054,0.02446936546805033,0.9395
