symbol,n,mean_bit_logloss_M0,mean_bit_logloss_M1,mean_bit_logloss_M2,mean_bit_logloss_M3,delta_M1_M0,delta_M3_M2
SN,851,0.548781443336584,0.53670703570986,0.5366653418373899,0.5360371812053427,-0.012074407626723935,-0.0006281606320470821
AL,825,0.5271307667815858,0.5161739690746688,0.5160232532141803,0.5154284067684167,-0.01095679770691702,-0.0005948464457635982
NI,894,0.5336949813032549,0.5227779386826077,0.5227619940306514,0.523702597643559,-0.010917042620647225,0.000940603612907634
AU,933,0.5506330402281197,0.5423672065570273,0.5426860547274986,0.5419419630916514,-0.008265833671092402,-0.0007440916358471503
RU,875,0.5345841412579271,0.526510891537806,0.5262036437099029,0.5259202892532207,-0.008073249720121141,-0.00028335445668216364
CF,788,0.5422270666471601,0.5343902711886594,0.5341950069982453,0.5334712658818908,-0.007836795458500754,-0.000723741116354477
M,818,0.5425798830042156,0.5348073221666744,0.5348265584968982,0.5322025790647947,-0.007772560837541228,-0.0026239794321035108
MA,793,0.5283236292856602,0.5208653507410262,0.5208643755181678,0.5223290269599274,-0.007458278544633931,0.0014646514417597518
P,786,0.5313899271596715,0.5243859805861661,0.5243174005794349,0.5226318559737397,-0.007003946573505442,-0.001685544605695107
TA,815,0.5201571564219976,0.5132131990455324,0.5130608936986598,0.5125038072570489,-0.006943957376465108,-0.0005570864416108937
AG,824,0.5545427660505613,0.5476476892339236,0.5475885192996791,0.5477074286803775,-0.006895076816637761,0.00011890938069838622
SC,885,0.5685421547444903,0.561855493303389,0.5620725203335136,0.5730940759954737,-0.006686661441101276,0.011021555661960133
I,790,0.5312372251033417,0.5249851057203656,0.5248153930774206,0.5246226088234107,-0.006252119382976055,-0.00019278425400986614
CU,808,0.525551998394939,0.5195484729096461,0.519815893756206,0.5190303157582926,-0.0060035254852930636,-0.0007855779979132812
RB,834,0.5365433137449934,0.5315492366507113,0.5313182959825049,0.5300025146759049,-0.004994077094282014,-0.0013157813066001392
