model,bit,n,prevalence,logloss,brier,ece,dev_prevalence
M0_CURRENT_GEOMETRY,UP_PEN,12519,0.3040178928029395,0.46774144778455906,0.15058945046412234,0.014639236740732621,0.29682250556567497
M0_CURRENT_GEOMETRY,DOWN_PEN,12519,0.2774982027318476,0.44937983377190155,0.14466478706589825,0.010071361874065758,0.28759360453349525
M0_CURRENT_GEOMETRY,NEW_UPPER,12519,0.3572170301142264,0.6139045318454964,0.2094835908175,0.0789367442648716,0.36421776968225056
M0_CURRENT_GEOMETRY,NEW_LOWER,12519,0.3755092259765157,0.6238079665280225,0.21516227395551318,0.08650721837685213,0.3656749645820684
M0_CURRENT_GEOMETRY,MEAN_BIT,12519,0.3285605879063823,0.5387084449824948,0.17997502557575845,0.04753864031413053,0.32857721109087235
M1_GEOMETRY_PREV_EVENT,UP_PEN,12519,0.3040178928029395,0.4657853346920269,0.15035437885974143,0.013358995177870238,0.29682250556567497
M1_GEOMETRY_PREV_EVENT,DOWN_PEN,12519,0.2774982027318476,0.4474097759211075,0.14428385287749154,0.007843270744480315,0.28759360453349525
M1_GEOMETRY_PREV_EVENT,NEW_UPPER,12519,0.3572170301142264,0.59950896004905,0.2047906677025581,0.0335359518905959,0.36421776968225056
M1_GEOMETRY_PREV_EVENT,NEW_LOWER,12519,0.3755092259765157,0.6104923117005384,0.21053594627924868,0.039499066862991025,0.3656749645820684
M1_GEOMETRY_PREV_EVENT,MEAN_BIT,12519,0.3285605879063823,0.5307990955906807,0.17749121142975993,0.02355932116898437,0.32857721109087235
M2_GEOMETRY_PREV_EVENT_DURATION,UP_PEN,12519,0.3040178928029395,0.46583416321222115,0.15036246326060837,0.013791569578393028,0.29682250556567497
M2_GEOMETRY_PREV_EVENT_DURATION,DOWN_PEN,12519,0.2774982027318476,0.44739729656092986,0.1442784181409684,0.008017003129522063,0.28759360453349525
M2_GEOMETRY_PREV_EVENT_DURATION,NEW_UPPER,12519,0.3572170301142264,0.5994787952907386,0.2047783949181211,0.032910537220521945,0.36421776968225056
M2_GEOMETRY_PREV_EVENT_DURATION,NEW_LOWER,12519,0.3755092259765157,0.6103488445703152,0.21042422640702566,0.039574928238676366,0.3656749645820684
M2_GEOMETRY_PREV_EVENT_DURATION,MEAN_BIT,12519,0.3285605879063823,0.5307647749085512,0.17746087568168087,0.02357350954177835,0.32857721109087235
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,UP_PEN,12519,0.3040178928029395,0.46522107261013107,0.15020815076515429,0.01387362341674695,0.29682250556567497
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,DOWN_PEN,12519,0.2774982027318476,0.44685118921083894,0.1442478954670299,0.011068994013218161,0.28759360453349525
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,NEW_UPPER,12519,0.3572170301142264,0.5994251878434124,0.20507681224113694,0.029526828938702367,0.36421776968225056
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,NEW_LOWER,12519,0.3755092259765157,0.6126821694280834,0.21054490789919264,0.03407575901440559,0.3656749645820684
M3_GEOMETRY_PREV_EVENT_DURATION_PATH,MEAN_BIT,12519,0.3285605879063823,0.5310449047731165,0.17751944159312844,0.022136301345768265,0.32857721109087235
B_PRIOR,UP_PEN,12519,0.3040178928029395,0.6143537714109701,0.2116427872560941,0.007195387237264594,0.29682250556567497
B_PRIOR,DOWN_PEN,12519,0.2774982027318476,0.5908254089387879,0.20059486734997872,0.010095401801647697,0.28759360453349525
B_PRIOR,NEW_UPPER,12519,0.3572170301142264,0.6519062666642517,0.2296620338650975,0.00700073956802405,0.36421776968225056
B_PRIOR,NEW_LOWER,12519,0.3755092259765157,0.662030509385362,0.23459875988020806,0.009834261394447374,0.3656749645820684
B_PRIOR,MEAN_BIT,12519,0.3285605879063823,0.6297789890998429,0.2191246120878446,0.008531447500345929,0.32857721109087235
