symbol,n,any_reconfig_rate,inward_reconfig_rate,median_bars_to_first_reconfig,mean_n_pair_changes
AG,20158,0.6325032245262426,0.6279392796904455,10.0,6.2423355491616235
AL,17807,0.6364912674790812,0.5888695456842815,9.0,5.777840175211995
AU,19652,0.6226847140240179,0.6219723183391004,10.0,5.497252188072461
CF,13433,0.655177547829971,0.5632397826248791,6.0,4.820144420457083
CU,17446,0.5982460162788031,0.591310329015247,9.0,5.951966066720165
I,13427,0.6466075817382885,0.5891859685707902,7.0,4.353690325463618
M,13404,0.5843777976723367,0.5619218143837661,7.0,6.075425246195166
MA,13272,0.6081223628691983,0.578887884267631,7.0,5.132534659433394
NI,18101,0.614717418927131,0.6132257886304624,9.0,5.715209104469366
P,13338,0.5337381916329285,0.5276653171390013,7.0,3.5978407557354926
RB,13457,0.5917366426395184,0.5659508062718288,7.0,3.973099502117857
RU,13503,0.5778715840924239,0.5692809005406206,7.0,5.141524105754277
SC,21006,0.5803579929543939,0.5751213938874608,10.0,5.264353041988003
SN,18001,0.6054663629798345,0.6044664185323038,9.0,5.350147214043664
TA,13505,0.5749722325064791,0.547871158830063,7.0,4.847167715660866
