模型,特征视图,层级,平均R,相对上一层增量
CatBoost回归,TEMPORAL,所有事件六动作平均,-0.03725503596427103,
CatBoost回归,TEMPORAL,被选事件六动作平均,-0.009139449275333493,0.028115586688937537
CatBoost回归,TEMPORAL,模型所选方向平均,0.02081333957620995,0.029952788851543444
CatBoost回归,TEMPORAL,模型最终动作,-0.02622127964270919,-0.047034619218919146
LightGBM回归,SNAPSHOT,所有事件六动作平均,-0.03725503596427103,
LightGBM回归,SNAPSHOT,被选事件六动作平均,-0.02062130889926124,0.01663372706500979
LightGBM回归,SNAPSHOT,模型所选方向平均,0.05060467653458039,0.07122598543384162
LightGBM回归,SNAPSHOT,模型最终动作,0.03706087407130885,-0.01354380246327154
LightGBM回归,TEMPORAL,所有事件六动作平均,-0.03725503596427103,
LightGBM回归,TEMPORAL,被选事件六动作平均,-0.050290525127402036,-0.013035489163131006
LightGBM回归,TEMPORAL,模型所选方向平均,-0.0713570504349597,-0.021066525307557663
LightGBM回归,TEMPORAL,模型最终动作,-0.09277092476729126,-0.021413874332331564
Ridge回归,TEMPORAL,所有事件六动作平均,-0.03725503596427103,
Ridge回归,TEMPORAL,被选事件六动作平均,0.003473742347714954,0.040728778311985986
Ridge回归,TEMPORAL,模型所选方向平均,0.010505681183765124,0.00703193883605017
Ridge回归,TEMPORAL,模型最终动作,0.029381929703018384,0.01887624851925326
XGBoost回归,TEMPORAL,所有事件六动作平均,-0.03725503596427103,
XGBoost回归,TEMPORAL,被选事件六动作平均,0.0007846812308699818,0.038039717195141015
XGBoost回归,TEMPORAL,模型所选方向平均,-0.008269741533269126,-0.009054422764139107
XGBoost回归,TEMPORAL,模型最终动作,-0.02890396912295872,-0.020634227589689594
