策略,品种,累计收益,夏普率,最大回撤,利润因子,交易次数
原模型,AG,0.258,0.0936,3.2374,1.0360330945682512,586
原模型,CU,4.2718,1.5128,2.214,1.143179624556174,615
原模型,M,-3.3574,-1.8674,3.9087,0.8314812350373799,224
原模型,RB,-0.5733,-0.4471,2.6249,1.2797468955328444,156
简化A,AG,0.5228,0.1866,2.9222,1.0317907020410826,597
简化A,CU,5.3132,1.8046,2.3049,1.166171418683762,630
简化A,M,-3.1553,-1.6957,3.7696,0.8007227063623654,222
简化A,RB,-0.3797,-0.2931,2.398,1.3217163714467837,155
简化B,AG,-2.4659,-0.8705,3.7533,0.9476245669323089,596
简化B,CU,7.1706,2.0697,2.9394,1.2483738955554005,629
简化B,M,-4.2916,-2.0496,4.5187,0.7371011069703164,219
简化B,RB,0.7862,0.5603,1.9232,1.5602549869771996,155
简化C,AG,0.5913,0.1857,3.3004,1.0708178676104423,623
简化C,CU,6.3769,1.5836,2.8875,1.195592046933881,660
简化C,M,-4.222,-1.8198,4.5704,0.7650322359998273,220
简化C,RB,0.1348,0.0972,2.3554,1.483664147648819,160
简化D,AG,-1.2188,-0.4188,3.0726,0.9776692064856977,597
简化D,CU,6.1776,1.9365,2.9394,1.2188883177381447,630
简化D,M,-3.2352,-1.584,3.8495,0.7999629178184121,220
简化D,RB,0.1025,0.0761,2.2044,1.4429610331812863,155
