模型,折,交易次数,提前退出次数,提前退出比例,平均退出增量,改善比例
LightGBM,F1,559,197,0.3524,-0.228844,0.4162
LightGBM,F2,714,246,0.3445,-0.04349,0.5041
LightGBM,F3,206,64,0.3107,-0.245711,0.5
LightGBM,F4,202,86,0.4257,0.219095,0.5465
XGBoost,F1,559,228,0.4079,-0.112574,0.4474
XGBoost,F2,714,272,0.381,-0.135042,0.4963
XGBoost,F3,206,81,0.3932,-0.236226,0.4815
XGBoost,F4,202,86,0.4257,0.047249,0.5581
线性,F1,559,278,0.4973,-0.134724,0.4712
线性,F2,714,374,0.5238,-0.094982,0.5401
线性,F3,206,99,0.4806,-0.02982,0.5253
线性,F4,202,80,0.396,0.217661,0.6
