模型,持仓步数,提前退出次数,平均退出增量,改善比例,后续TARGET比例,后续STOP比例
LightGBM,1-2,139,0.000367,0.5252,0.295,0.4245
LightGBM,3-4,116,-0.087271,0.4483,0.3362,0.2759
LightGBM,5-6,87,-0.153128,0.4483,0.3333,0.2529
LightGBM,7-8,67,-0.219049,0.5373,0.3433,0.1493
LightGBM,9-11,184,-0.079311,0.462,0.1793,0.0598
XGBoost,1-2,186,0.057115,0.5914,0.2419,0.4785
XGBoost,3-4,121,-0.093448,0.4545,0.3884,0.3223
XGBoost,5-6,95,-0.37242,0.3789,0.4105,0.1789
XGBoost,7-8,102,-0.221479,0.4608,0.2843,0.1275
XGBoost,9-11,163,-0.115426,0.4663,0.1779,0.0552
线性,1-2,557,-0.036349,0.553,0.246,0.4434
线性,3-4,114,-0.145309,0.4561,0.2807,0.3246
线性,5-6,69,-0.268133,0.4203,0.3188,0.2754
线性,7-8,25,-0.055164,0.48,0.24,0.08
线性,9-11,66,-0.027639,0.4848,0.0909,0.1061
