模型,品种,交易次数,提前退出次数,提前退出比例,平均退出增量,改善比例
LightGBM,AG,624,201,0.3221,-0.028215,0.4925
LightGBM,CU,662,233,0.352,-0.08965,0.4936
LightGBM,M,227,92,0.4053,0.040207,0.5109
LightGBM,RB,168,67,0.3988,-0.444831,0.3582
XGBoost,AG,624,241,0.3862,-0.038021,0.5187
XGBoost,CU,662,262,0.3958,-0.120641,0.4924
XGBoost,M,227,97,0.4273,-0.068023,0.4639
XGBoost,RB,168,67,0.3988,-0.449254,0.3731
线性,AG,624,299,0.4792,-0.049456,0.5151
线性,CU,662,312,0.4713,-0.077656,0.5449
线性,M,227,125,0.5507,0.061993,0.504
线性,RB,168,95,0.5655,-0.286831,0.4842
