目标,模型,范围,样本数,AUC,准确率,HOLD精确率,HOLD召回率,EXIT精确率,EXIT召回率
1.5R,LightGBM,合并,26534,0.4904,0.6845,0.7071,0.945,0.2994,0.0567
1.5R,LightGBM(基准:永远HOLD),合并,26534,,0.7068,0.7068,1.0,,0.0
1.5R,LightGBM(基准:永远EXIT),合并,26534,,0.2932,,0.0,0.2932,1.0
1.5R,LightGBM(基准:多数类),合并,26534,,0.7068,0.7068,1.0,,0.0
1.5R,线性,合并,26534,0.4731,0.7026,0.7074,0.9876,0.3428,0.0156
1.5R,线性(基准:永远HOLD),合并,26534,,0.7068,0.7068,1.0,,0.0
1.5R,线性(基准:永远EXIT),合并,26534,,0.2932,,0.0,0.2932,1.0
1.5R,线性(基准:多数类),合并,26534,,0.7068,0.7068,1.0,,0.0
2.0R,LightGBM,合并,32866,0.5068,0.6957,0.7136,0.9563,0.3259,0.0522
2.0R,LightGBM(基准:永远HOLD),合并,32866,,0.7118,0.7118,1.0,,0.0
2.0R,LightGBM(基准:永远EXIT),合并,32866,,0.2882,,0.0,0.2882,1.0
2.0R,LightGBM(基准:多数类),合并,32866,,0.7118,0.7118,1.0,,0.0
2.0R,线性,合并,32866,0.4938,0.7074,0.7134,0.9843,0.3769,0.0234
2.0R,线性(基准:永远HOLD),合并,32866,,0.7118,0.7118,1.0,,0.0
2.0R,线性(基准:永远EXIT),合并,32866,,0.2882,,0.0,0.2882,1.0
2.0R,线性(基准:多数类),合并,32866,,0.7118,0.7118,1.0,,0.0
2.5R,LightGBM,合并,36804,0.5288,0.7017,0.7152,0.9644,0.3911,0.0562
2.5R,LightGBM(基准:永远HOLD),合并,36804,,0.7108,0.7108,1.0,,0.0
2.5R,LightGBM(基准:永远EXIT),合并,36804,,0.2892,,0.0,0.2892,1.0
2.5R,LightGBM(基准:多数类),合并,36804,,0.7108,0.7108,1.0,,0.0
2.5R,线性,合并,36804,0.5076,0.7068,0.7136,0.9815,0.41,0.0317
2.5R,线性(基准:永远HOLD),合并,36804,,0.7108,0.7108,1.0,,0.0
2.5R,线性(基准:永远EXIT),合并,36804,,0.2892,,0.0,0.2892,1.0
2.5R,线性(基准:多数类),合并,36804,,0.7108,0.7108,1.0,,0.0
