目标,模型,范围,状态数,皮尔逊,斯皮尔曼,MAE,RMSE
1.5R,LightGBM,合并,28194,0.08,0.0994,0.641837,0.824672
1.5R,LightGBM,F1,6121,0.0792,0.0868,0.654615,0.810675
1.5R,LightGBM,F2,7236,0.1328,0.1458,0.622941,0.781991
1.5R,LightGBM,F3,6833,0.0754,0.0872,0.648646,0.842025
1.5R,LightGBM,F4,8004,0.0466,0.0785,0.643334,0.857257
1.5R,线性,合并,28194,0.0546,0.0688,0.63578,0.828859
1.5R,线性,F1,6121,0.0063,0.0179,0.65848,0.865348
1.5R,线性,F2,7236,0.1119,0.1045,0.621836,0.780143
1.5R,线性,F3,6833,0.1033,0.0908,0.636723,0.827066
1.5R,线性,F4,8004,0.0801,0.0798,0.63022,0.84447
2.0R,LightGBM,合并,34985,0.1179,0.1234,0.700028,0.90095
2.0R,LightGBM,F1,7736,0.1057,0.0954,0.714222,0.889217
2.0R,LightGBM,F2,8933,0.1682,0.1726,0.685072,0.868107
2.0R,LightGBM,F3,8567,0.1085,0.1011,0.700269,0.916765
2.0R,LightGBM,F4,9749,0.099,0.125,0.702256,0.925392
2.0R,线性,合并,34985,0.0789,0.0977,0.699427,0.912337
2.0R,线性,F1,7736,0.0104,0.0344,0.733894,0.964736
2.0R,线性,F2,8933,0.1544,0.149,0.680324,0.865057
2.0R,线性,F3,8567,0.123,0.1093,0.692051,0.905513
2.0R,线性,F4,9749,0.1138,0.1008,0.696063,0.91772
2.5R,LightGBM,合并,39221,0.1352,0.1358,0.754297,0.979326
2.5R,LightGBM,F1,8734,0.1347,0.1152,0.763006,0.964597
2.5R,LightGBM,F2,9978,0.1647,0.1706,0.741785,0.955435
2.5R,LightGBM,F3,9501,0.1298,0.1191,0.752194,0.986918
2.5R,LightGBM,F4,11008,0.1202,0.1354,0.760543,1.005388
2.5R,线性,合并,39221,0.101,0.1169,0.756401,0.992274
2.5R,线性,F1,8734,0.0377,0.0591,0.793013,1.045529
2.5R,线性,F2,9978,0.1427,0.1556,0.739578,0.956302
2.5R,线性,F3,9501,0.1423,0.1206,0.745197,0.978392
2.5R,线性,F4,11008,0.1527,0.1317,0.752272,0.992798
