目标,退出方式,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
1.5R,LightGBM,1.5704,1.2239,0.9383,1.0590194583004893,1614,54.106,0.033523,0.101,3.2051
1.5R,线性,1.8459,1.4009,0.9718,1.0688406604262066,1614,63.5983,0.039404,0.0316,3.3203
1.5R,固定退出(永远HOLD),1.7623,1.3223,1.0787,1.0674172198212637,1614,63.019,0.039045,0.0,3.3544
1.5R,事后完美动态退出,18.0213,12.4262,0.1034,3.49121342095405,1614,862.7662,0.534552,0.438,2.5576
2.0R,LightGBM,1.8707,1.3262,1.0835,1.0857329961315019,1614,83.3007,0.051611,0.1444,4.1128
2.0R,线性,1.8988,1.304,1.1113,1.0865715683555486,1614,84.7554,0.052513,0.0558,4.2627
2.0R,固定退出(永远HOLD),1.5417,1.068,1.1997,1.0721861487834554,1614,71.8787,0.044535,0.0,4.3401
2.0R,事后完美动态退出,22.1818,12.7678,0.101,4.096278842952918,1614,1075.1472,0.666138,0.5421,3.1722
2.5R,LightGBM,2.5883,1.5734,1.5745,1.112171813705476,1681,118.9484,0.070761,0.1588,4.7365
2.5R,线性,2.547,1.587,1.4217,1.1075625341936755,1681,113.0077,0.067226,0.0821,4.7638
2.5R,固定退出(永远HOLD),2.2933,1.4395,1.4451,1.103170486262589,1681,110.5241,0.065749,0.0,4.8917
2.5R,事后完美动态退出,26.0507,13.1484,0.1284,4.460185693556916,1681,1275.5869,0.758826,0.5979,3.5312
