目标,模型,维度,分层,状态数,真实HOLD比例,模型HOLD比例,分类准确率,真实平均优势,预测平均优势
1.5R,LightGBM,浮盈亏,R<-0.75,634,0.3265,0.9653,0.3424,0.259543,0.336727
1.5R,LightGBM,浮盈亏,-0.75~-0.50,2130,0.4662,0.9709,0.4908,0.314662,0.400338
1.5R,LightGBM,浮盈亏,-0.50~-0.25,3697,0.5948,0.9743,0.6274,0.4314,0.456717
1.5R,LightGBM,浮盈亏,-0.25~0,2999,0.6732,0.9697,0.6905,0.486732,0.46324
1.5R,LightGBM,浮盈亏,0~0.25,6122,0.6777,0.9695,0.7255,0.462495,0.447432
1.5R,LightGBM,浮盈亏,0.25~0.50,4735,0.7014,0.955,0.7379,0.450549,0.396979
1.5R,LightGBM,浮盈亏,0.50~1.00,6112,0.7302,0.9287,0.746,0.360102,0.281838
1.5R,LightGBM,浮盈亏,R>=1.00,1765,0.7943,0.7286,0.662,0.139106,0.081029
1.5R,LightGBM,持仓步数,1-2,11435,0.6652,0.9817,0.6897,0.445721,0.450643
1.5R,LightGBM,持仓步数,3-4,6895,0.6898,0.9671,0.7056,0.43901,0.400494
1.5R,LightGBM,持仓步数,5-6,4327,0.6806,0.9438,0.688,0.393728,0.359706
1.5R,LightGBM,持仓步数,7-8,2867,0.6679,0.9358,0.6973,0.368885,0.298012
1.5R,LightGBM,持仓步数,9-11,2670,0.5734,0.7296,0.5831,0.155636,0.113508
1.5R,线性,浮盈亏,R<-0.75,634,0.3265,0.9984,0.3344,0.259543,0.519575
1.5R,线性,浮盈亏,-0.75~-0.50,2130,0.4662,0.9986,0.4933,0.314662,0.499454
1.5R,线性,浮盈亏,-0.50~-0.25,3697,0.5948,0.9962,0.6349,0.4314,0.491021
1.5R,线性,浮盈亏,-0.25~0,2999,0.6732,0.9957,0.6963,0.486732,0.464818
1.5R,线性,浮盈亏,0~0.25,6122,0.6777,0.9933,0.7331,0.462495,0.449243
1.5R,线性,浮盈亏,0.25~0.50,4735,0.7014,0.9903,0.7506,0.450549,0.408073
1.5R,线性,浮盈亏,0.50~1.00,6112,0.7302,0.9758,0.7685,0.360102,0.351642
1.5R,线性,浮盈亏,R>=1.00,1765,0.7943,0.9439,0.7838,0.139106,0.293992
1.5R,线性,持仓步数,1-2,11435,0.6652,0.9979,0.6965,0.445721,0.515745
1.5R,线性,持仓步数,3-4,6895,0.6898,0.9958,0.7232,0.43901,0.444481
1.5R,线性,持仓步数,5-6,4327,0.6806,0.9914,0.7212,0.393728,0.364851
1.5R,线性,持仓步数,7-8,2867,0.6679,0.9766,0.7187,0.368885,0.296455
1.5R,线性,持仓步数,9-11,2670,0.5734,0.9221,0.6247,0.155636,0.210591
2.0R,LightGBM,浮盈亏,R<-0.75,662,0.3323,0.9804,0.3498,0.284336,0.392549
2.0R,LightGBM,浮盈亏,-0.75~-0.50,2209,0.4649,0.9846,0.4916,0.337952,0.462527
2.0R,LightGBM,浮盈亏,-0.50~-0.25,3890,0.5943,0.982,0.6296,0.481696,0.53716
2.0R,LightGBM,浮盈亏,-0.25~0,3159,0.6692,0.9702,0.6861,0.546837,0.547855
2.0R,LightGBM,浮盈亏,0~0.25,6597,0.6742,0.9806,0.7246,0.535973,0.549036
2.0R,LightGBM,浮盈亏,0.25~0.50,5331,0.6942,0.9758,0.7447,0.562807,0.519581
2.0R,LightGBM,浮盈亏,0.50~1.00,7802,0.7096,0.9548,0.7495,0.498974,0.417819
2.0R,LightGBM,浮盈亏,R>=1.00,5335,0.7565,0.8493,0.7177,0.323515,0.21328
2.0R,LightGBM,持仓步数,1-2,12126,0.6671,0.9913,0.6968,0.565757,0.577985
2.0R,LightGBM,持仓步数,3-4,8241,0.7023,0.9816,0.7259,0.545714,0.506471
2.0R,LightGBM,持仓步数,5-6,5837,0.6961,0.9681,0.719,0.477521,0.440451
2.0R,LightGBM,持仓步数,7-8,4312,0.6816,0.9634,0.7176,0.409969,0.357798
2.0R,LightGBM,持仓步数,9-11,4469,0.5628,0.7709,0.5807,0.174183,0.133173
2.0R,线性,浮盈亏,R<-0.75,662,0.3323,0.9924,0.3436,0.284336,0.578459
2.0R,线性,浮盈亏,-0.75~-0.50,2209,0.4649,0.995,0.494,0.337952,0.576587
2.0R,线性,浮盈亏,-0.50~-0.25,3890,0.5943,0.9936,0.6316,0.481696,0.57494
2.0R,线性,浮盈亏,-0.25~0,3159,0.6692,0.993,0.6914,0.546837,0.558252
2.0R,线性,浮盈亏,0~0.25,6597,0.6742,0.9918,0.7303,0.535973,0.543275
2.0R,线性,浮盈亏,0.25~0.50,5331,0.6942,0.9899,0.7441,0.562807,0.508663
2.0R,线性,浮盈亏,0.50~1.00,7802,0.7096,0.979,0.7546,0.498974,0.444619
2.0R,线性,浮盈亏,R>=1.00,5335,0.7565,0.9492,0.7745,0.323515,0.35723
2.0R,线性,持仓步数,1-2,12126,0.6671,0.997,0.6989,0.565757,0.656076
2.0R,线性,持仓步数,3-4,8241,0.7023,0.9949,0.7378,0.545714,0.548056
2.0R,线性,持仓步数,5-6,5837,0.6961,0.9916,0.7333,0.477521,0.433397
2.0R,线性,持仓步数,7-8,4312,0.6816,0.9805,0.7314,0.409969,0.327999
2.0R,线性,持仓步数,9-11,4469,0.5628,0.9116,0.6135,0.174183,0.203823
2.5R,LightGBM,浮盈亏,R<-0.75,670,0.3328,0.9642,0.3546,0.295949,0.413483
2.5R,LightGBM,浮盈亏,-0.75~-0.50,2241,0.4659,0.9826,0.4899,0.36341,0.492875
2.5R,LightGBM,浮盈亏,-0.50~-0.25,3957,0.5936,0.9838,0.6274,0.51602,0.579599
2.5R,LightGBM,浮盈亏,-0.25~0,3217,0.6652,0.9804,0.688,0.578432,0.62244
2.5R,LightGBM,浮盈亏,0~0.25,6758,0.6721,0.9802,0.7245,0.583973,0.630123
2.5R,LightGBM,浮盈亏,0.25~0.50,5544,0.6883,0.9798,0.7401,0.622851,0.610819
2.5R,LightGBM,浮盈亏,0.50~1.00,8436,0.7071,0.9614,0.7528,0.587215,0.531362
2.5R,LightGBM,浮盈亏,R>=1.00,8398,0.7241,0.8937,0.7338,0.422431,0.319349
2.5R,LightGBM,持仓步数,1-2,12371,0.6662,0.9964,0.6985,0.658103,0.687953
2.5R,LightGBM,持仓步数,3-4,8909,0.7038,0.9912,0.7385,0.629702,0.603119
2.5R,LightGBM,持仓步数,5-6,6781,0.6992,0.9844,0.73,0.541683,0.52333
2.5R,LightGBM,持仓步数,7-8,5286,0.6841,0.9811,0.7291,0.446769,0.414128
