维度,取值,目标,状态数,平均继续优势,中位数,标准差,HOLD比例,EXIT比例,TIE比例
整体,ALL,1.5R,230218,0.45637,0.477687,0.77551,0.6923,0.2505,0.0572
step,1,1.5R,52535,0.520017,0.595598,0.858206,0.686,0.268,0.046
step,2,1.5R,40323,0.506544,0.570027,0.806097,0.702,0.2526,0.0454
step,3,1.5R,31476,0.504063,0.537803,0.761928,0.7177,0.237,0.0453
step,4,1.5R,24932,0.485356,0.523154,0.773263,0.7217,0.2268,0.0515
step,5,1.5R,19757,0.474646,0.517978,0.760126,0.7193,0.225,0.0556
step,6,1.5R,15664,0.446579,0.476836,0.732661,0.725,0.2151,0.0599
step,7,1.5R,12797,0.428732,0.437948,0.66611,0.7094,0.2227,0.0679
step,8,1.5R,10599,0.35711,0.348808,0.672496,0.6739,0.2455,0.0806
step,9,1.5R,8780,0.281185,0.280606,0.616306,0.6562,0.2548,0.0891
step,10,1.5R,7216,0.169454,0.185593,0.62555,0.5863,0.2971,0.1165
step,11,1.5R,6139,0.002856,0.0,0.455235,0.4359,0.4304,0.1337
方向,FADE,1.5R,96687,0.46958,0.473953,0.794651,0.6824,0.2627,0.0549
方向,FOLLOW,1.5R,133531,0.446805,0.479018,0.761206,0.6995,0.2417,0.0588
品种,AG,1.5R,62036,0.428899,0.449232,0.792616,0.6966,0.2743,0.029
品种,CU,1.5R,61009,0.483331,0.506203,0.78631,0.718,0.243,0.0389
品种,M,1.5R,51178,0.48438,0.515291,0.773393,0.6892,0.2374,0.0734
品种,RB,1.5R,55995,0.43183,0.433381,0.743886,0.6624,0.2442,0.0934
折,F1,1.5R,46313,0.450856,0.471769,0.775513,0.6902,0.2526,0.0572
折,F2,1.5R,54097,0.473105,0.492658,0.770743,0.6979,0.2457,0.0563
折,F3,1.5R,60395,0.42705,0.438721,0.773716,0.6786,0.2606,0.0608
折,F4,1.5R,69413,0.472518,0.495048,0.779952,0.7012,0.2441,0.0547
整体,ALL,2.0R,290974,0.527562,0.487024,0.870956,0.6892,0.2497,0.0611
step,1,2.0R,55096,0.654227,0.656645,0.996792,0.6854,0.267,0.0476
step,2,2.0R,44973,0.628451,0.651699,0.932314,0.7038,0.2495,0.0467
step,3,2.0R,37320,0.612742,0.608883,0.885262,0.7236,0.2304,0.046
step,4,2.0R,31340,0.583108,0.59616,0.86218,0.7281,0.2178,0.0541
step,5,2.0R,26385,0.548323,0.549785,0.843894,0.7188,0.2231,0.0581
step,6,2.0R,22292,0.507288,0.502269,0.799738,0.7201,0.2181,0.0618
step,7,2.0R,19097,0.47703,0.460417,0.734056,0.7132,0.218,0.0688
step,8,2.0R,16710,0.387404,0.348014,0.747702,0.6746,0.2475,0.078
step,9,2.0R,14436,0.296591,0.275288,0.672105,0.6491,0.262,0.0889
step,10,2.0R,12455,0.186002,0.187728,0.657936,0.5821,0.3045,0.1134
step,11,2.0R,10870,0.009067,0.0,0.479571,0.44,0.4304,0.1296
方向,FADE,2.0R,120461,0.546609,0.489842,0.892379,0.6803,0.2596,0.0601
方向,FOLLOW,2.0R,170513,0.514106,0.485237,0.855243,0.6956,0.2427,0.0617
品种,AG,2.0R,79204,0.49906,0.454783,0.894244,0.6949,0.275,0.0301
品种,CU,2.0R,77879,0.554101,0.518438,0.875673,0.713,0.2441,0.043
品种,M,2.0R,64356,0.55296,0.518296,0.873265,0.6813,0.2374,0.0814
品种,RB,2.0R,69535,0.506798,0.461615,0.834294,0.6636,0.2386,0.0978
折,F1,2.0R,58376,0.522038,0.483638,0.869485,0.6878,0.2511,0.0611
折,F2,2.0R,68377,0.54062,0.500887,0.869642,0.6922,0.2476,0.0602
折,F3,2.0R,76233,0.496536,0.453526,0.867965,0.6773,0.2581,0.0646
折,F4,2.0R,87988,0.54796,0.50918,0.874725,0.6983,0.2431,0.0586
整体,ALL,2.5R,333609,0.584198,0.487917,0.955144,0.6858,0.2513,0.0629
step,1,2.5R,56014,0.760333,0.686575,1.121747,0.6848,0.2665,0.0488
step,2,2.5R,47115,0.728889,0.692346,1.04658,0.7042,0.2486,0.0472
step,3,2.5R,40396,0.704591,0.645235,0.989684,0.7224,0.2312,0.0464
step,4,2.5R,35195,0.666897,0.628194,0.952151,0.7304,0.2149,0.0548
step,5,2.5R,30788,0.623301,0.572527,0.918736,0.7201,0.2204,0.0595
step,6,2.5R,27022,0.573609,0.529837,0.869035,0.7236,0.2151,0.0613
step,7,2.5R,24049,0.522494,0.470268,0.796536,0.7171,0.2163,0.0666
step,8,2.5R,21427,0.428269,0.368725,0.798051,0.6759,0.2469,0.0772
step,9,2.5R,19171,0.319678,0.280606,0.737543,0.6459,0.2692,0.0849
step,10,2.5R,17095,0.202348,0.186809,0.680399,0.5833,0.3104,0.1063
step,11,2.5R,15337,0.000571,0.0,0.502583,0.4288,0.4386,0.1326
方向,FADE,2.5R,138912,0.596591,0.48036,0.980477,0.674,0.2627,0.0633
方向,FOLLOW,2.5R,194697,0.575356,0.49274,0.93655,0.6943,0.2431,0.0626
品种,AG,2.5R,90270,0.570331,0.467256,0.98396,0.6962,0.2735,0.0304
品种,CU,2.5R,89330,0.60886,0.513121,0.968601,0.7051,0.2493,0.0457
品种,M,2.5R,74332,0.606406,0.520413,0.948619,0.6793,0.2378,0.0829
品种,RB,2.5R,79677,0.55154,0.455245,0.910567,0.6587,0.2409,0.1004
折,F1,2.5R,66757,0.58011,0.483243,0.954119,0.6843,0.2528,0.0629
折,F2,2.5R,78739,0.596742,0.498404,0.955657,0.688,0.2496,0.0624
折,F3,2.5R,86887,0.552671,0.457245,0.948759,0.6752,0.2587,0.0661
折,F4,2.5R,101226,0.604198,0.510032,0.960144,0.6943,0.2452,0.0605
