目标,视图,目标类型,模型,预测十分位,状态数,预测平均,真实平均,真实中位数,真实有利比例
1.5R,S0_CURRENT,A,LightGBM,1,2820,-0.558274,0.036619,0.264493,0.5727
1.5R,S0_CURRENT,A,LightGBM,2,2819,-0.315271,0.022705,0.229576,0.5615
1.5R,S0_CURRENT,A,LightGBM,3,2819,-0.20368,-0.023264,0.200535,0.5374
1.5R,S0_CURRENT,A,LightGBM,4,2820,-0.11805,0.01043,0.169608,0.5216
1.5R,S0_CURRENT,A,LightGBM,5,2819,-0.046896,-0.015404,0.0,0.4952
1.5R,S0_CURRENT,A,LightGBM,6,2820,0.01963,-0.039794,-0.048523,0.4571
1.5R,S0_CURRENT,A,LightGBM,7,2819,0.093879,-0.032911,-0.157988,0.4576
1.5R,S0_CURRENT,A,LightGBM,8,2820,0.179527,0.05537,0.0,0.4787
1.5R,S0_CURRENT,A,LightGBM,9,2818,0.291342,0.107701,-0.062529,0.4748
1.5R,S0_CURRENT,A,LightGBM,10,2820,0.553292,0.08696,-0.182278,0.4411
1.5R,S0_CURRENT,A,线性,1,2820,-0.507429,0.039103,0.201643,0.5465
1.5R,S0_CURRENT,A,线性,2,2819,-0.2366,0.07742,0.290658,0.5672
1.5R,S0_CURRENT,A,线性,3,2819,-0.162455,0.056488,0.237191,0.5442
1.5R,S0_CURRENT,A,线性,4,2820,-0.110678,-0.042099,0.0,0.4936
1.5R,S0_CURRENT,A,线性,5,2819,-0.06691,-0.061705,-0.076153,0.4704
1.5R,S0_CURRENT,A,线性,6,2819,-0.025001,-0.052657,-0.121298,0.4629
1.5R,S0_CURRENT,A,线性,7,2820,0.020232,-0.04311,-0.148999,0.4571
1.5R,S0_CURRENT,A,线性,8,2819,0.074459,0.054628,0.0,0.4718
1.5R,S0_CURRENT,A,线性,9,2819,0.151812,0.043881,-0.060856,0.469
1.5R,S0_CURRENT,A,线性,10,2820,0.35468,0.136445,0.096703,0.5152
1.5R,S0_CURRENT,B,LightGBM,1,2820,-0.040791,0.211108,0.243758,
1.5R,S0_CURRENT,B,LightGBM,2,2819,0.133702,0.313465,0.324743,
1.5R,S0_CURRENT,B,LightGBM,3,2819,0.221222,0.357231,0.419982,
1.5R,S0_CURRENT,B,LightGBM,4,2820,0.289001,0.388269,0.43936,
1.5R,S0_CURRENT,B,LightGBM,5,2820,0.350631,0.403153,0.438163,
1.5R,S0_CURRENT,B,LightGBM,6,2818,0.408752,0.448078,0.533138,
1.5R,S0_CURRENT,B,LightGBM,7,2820,0.467155,0.502095,0.596994,
1.5R,S0_CURRENT,B,LightGBM,8,2819,0.531797,0.484263,0.546836,
1.5R,S0_CURRENT,B,LightGBM,9,2819,0.614077,0.511523,0.564028,
1.5R,S0_CURRENT,B,LightGBM,10,2820,0.79422,0.389023,0.340347,
1.5R,S1_PATH_ONLY,A,LightGBM,1,2820,-0.390256,0.006634,0.320477,0.5709
1.5R,S1_PATH_ONLY,A,LightGBM,2,2819,-0.254013,0.015652,0.213381,0.5325
1.5R,S1_PATH_ONLY,A,LightGBM,3,2819,-0.201387,0.041971,0.154573,0.5218
1.5R,S1_PATH_ONLY,A,LightGBM,4,2820,-0.163305,-0.013412,0.084567,0.5082
1.5R,S1_PATH_ONLY,A,LightGBM,5,2819,-0.12909,0.048222,0.056247,0.5059
1.5R,S1_PATH_ONLY,A,LightGBM,6,2819,-0.096066,0.006111,-0.021049,0.475
1.5R,S1_PATH_ONLY,A,LightGBM,7,2820,-0.063508,0.01324,0.0,0.477
1.5R,S1_PATH_ONLY,A,LightGBM,8,2819,-0.027901,0.020504,0.0,0.4661
1.5R,S1_PATH_ONLY,A,LightGBM,9,2819,0.025394,0.050597,0.0,0.4778
1.5R,S1_PATH_ONLY,A,LightGBM,10,2820,0.171239,0.018899,-0.071643,0.4628
1.5R,S1_PATH_ONLY,A,线性,1,2820,-0.232757,0.018962,0.364275,0.6422
1.5R,S1_PATH_ONLY,A,线性,2,2819,-0.19673,0.014907,0.317377,0.58
1.5R,S1_PATH_ONLY,A,线性,3,2819,-0.172628,0.027096,0.273854,0.5445
1.5R,S1_PATH_ONLY,A,线性,4,2820,-0.149717,0.029397,0.146535,0.5188
1.5R,S1_PATH_ONLY,A,线性,5,2820,-0.128363,-0.015058,0.0,0.4897
1.5R,S1_PATH_ONLY,A,线性,6,2818,-0.107465,0.009612,0.0,0.4819
1.5R,S1_PATH_ONLY,A,线性,7,2820,-0.085968,0.049745,0.0,0.4883
1.5R,S1_PATH_ONLY,A,线性,8,2819,-0.063094,0.030815,-0.179622,0.4537
1.5R,S1_PATH_ONLY,A,线性,9,2821,-0.034539,0.013626,-0.233468,0.4112
1.5R,S1_PATH_ONLY,A,线性,10,2818,0.018316,0.029297,-0.198892,0.3875
1.5R,S1_PATH_ONLY,B,LightGBM,1,2821,0.092493,0.116176,0.149936,
1.5R,S1_PATH_ONLY,B,LightGBM,2,2819,0.262932,0.328355,0.371363,
1.5R,S1_PATH_ONLY,B,LightGBM,3,2818,0.358354,0.351895,0.457669,
1.5R,S1_PATH_ONLY,B,LightGBM,4,2820,0.429256,0.365063,0.461593,
1.5R,S1_PATH_ONLY,B,LightGBM,5,2819,0.482806,0.428745,0.500341,
1.5R,S1_PATH_ONLY,B,LightGBM,6,2819,0.528715,0.50302,0.625271,
1.5R,S1_PATH_ONLY,B,LightGBM,7,2821,0.571974,0.451604,0.508994,
1.5R,S1_PATH_ONLY,B,LightGBM,8,2818,0.61554,0.495704,0.557315,
1.5R,S1_PATH_ONLY,B,LightGBM,9,2819,0.666168,0.486646,0.552812,
1.5R,S1_PATH_ONLY,B,LightGBM,10,2820,0.776146,0.481113,0.514496,
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,1,2820,-0.548775,0.094091,0.279709,0.5858
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,2,2819,-0.313559,0.005984,0.244386,0.558
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,3,2819,-0.204095,0.0192,0.25977,0.5548
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,4,2820,-0.118368,0.023806,0.096016,0.5082
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,5,2819,-0.044074,-0.028899,0.0,0.48
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,6,2819,0.027159,-0.034291,0.0,0.4775
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,7,2821,0.102374,0.037194,0.0,0.4913
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,8,2818,0.188262,0.047082,-0.13041,0.462
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,9,2819,0.301447,0.04166,-0.220801,0.4413
1.5R,S2_CURRENT_PLUS_PATH,A,LightGBM,10,2820,0.564375,0.002548,-0.170374,0.439
1.5R,S2_CURRENT_PLUS_PATH,A,线性,1,2820,-0.511402,0.029189,0.192446,0.5372
1.5R,S2_CURRENT_PLUS_PATH,A,线性,2,2819,-0.238169,0.08139,0.287602,0.5637
1.5R,S2_CURRENT_PLUS_PATH,A,线性,3,2819,-0.164124,0.046557,0.224602,0.5381
1.5R,S2_CURRENT_PLUS_PATH,A,线性,4,2820,-0.112349,-0.015155,0.056066,0.5057
1.5R,S2_CURRENT_PLUS_PATH,A,线性,5,2819,-0.06937,-0.062691,0.0,0.4746
1.5R,S2_CURRENT_PLUS_PATH,A,线性,6,2819,-0.026562,-0.048012,-0.105025,0.4661
1.5R,S2_CURRENT_PLUS_PATH,A,线性,7,2820,0.020251,-0.034669,-0.147669,0.455
1.5R,S2_CURRENT_PLUS_PATH,A,线性,8,2819,0.075183,0.027025,-0.019459,0.4707
1.5R,S2_CURRENT_PLUS_PATH,A,线性,9,2819,0.153281,0.050274,0.0,0.4757
1.5R,S2_CURRENT_PLUS_PATH,A,线性,10,2820,0.362075,0.134478,0.078389,0.511
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,1,2821,-0.028736,0.185488,0.230806,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,2,2818,0.136129,0.315688,0.35308,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,3,2819,0.226957,0.34546,0.380986,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,4,2820,0.296757,0.401754,0.459714,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,5,2819,0.356298,0.457018,0.533395,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,6,2819,0.41176,0.481451,0.559706,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,7,2820,0.466963,0.448923,0.498171,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,8,2819,0.528769,0.486645,0.538571,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,9,2819,0.608638,0.496966,0.560835,
1.5R,S2_CURRENT_PLUS_PATH,B,LightGBM,10,2820,0.773098,0.38887,0.378836,
2.0R,S0_CURRENT,A,LightGBM,1,3499,-0.589265,0.024917,0.291141,0.5907
2.0R,S0_CURRENT,A,LightGBM,2,3498,-0.329803,-0.019598,0.271671,0.5692
2.0R,S0_CURRENT,A,LightGBM,3,3499,-0.210854,0.001118,0.206525,0.5396
2.0R,S0_CURRENT,A,LightGBM,4,3498,-0.118678,-0.003696,0.156418,0.522
2.0R,S0_CURRENT,A,LightGBM,5,3499,-0.040822,0.02539,0.098137,0.5139
2.0R,S0_CURRENT,A,LightGBM,6,3498,0.035216,-0.020188,0.0,0.4883
2.0R,S0_CURRENT,A,LightGBM,7,3498,0.115198,-0.049531,0.0,0.4691
2.0R,S0_CURRENT,A,LightGBM,8,3500,0.21108,-0.031235,-0.169617,0.4457
2.0R,S0_CURRENT,A,LightGBM,9,3497,0.341902,0.011548,0.0,0.4664
2.0R,S0_CURRENT,A,LightGBM,10,3499,0.657172,0.076592,-0.044493,0.4684
2.0R,S0_CURRENT,A,线性,1,3499,-0.547403,0.084882,0.305351,0.5887
2.0R,S0_CURRENT,A,线性,2,3498,-0.23709,-0.004457,0.244386,0.5443
2.0R,S0_CURRENT,A,线性,3,3499,-0.157422,-0.086707,0.07205,0.5087
2.0R,S0_CURRENT,A,线性,4,3498,-0.102742,-0.070475,0.0,0.4957
2.0R,S0_CURRENT,A,线性,5,3499,-0.05511,-0.042365,0.0,0.4984
2.0R,S0_CURRENT,A,线性,6,3498,-0.007012,-0.060395,0.0,0.4734
2.0R,S0_CURRENT,A,线性,7,3498,0.043528,-0.049382,0.0,0.4723
2.0R,S0_CURRENT,A,线性,8,3499,0.101731,0.019854,0.0,0.491
2.0R,S0_CURRENT,A,线性,9,3498,0.177369,0.048362,0.0,0.4837
2.0R,S0_CURRENT,A,线性,10,3499,0.400169,0.175974,0.097393,0.517
2.0R,S0_CURRENT,B,LightGBM,1,3499,-0.017666,0.190677,0.235089,
2.0R,S0_CURRENT,B,LightGBM,2,3498,0.169359,0.312667,0.319233,
2.0R,S0_CURRENT,B,LightGBM,3,3499,0.272477,0.44181,0.444734,
2.0R,S0_CURRENT,B,LightGBM,4,3498,0.354733,0.480586,0.463362,
2.0R,S0_CURRENT,B,LightGBM,5,3499,0.424943,0.508123,0.487467,
2.0R,S0_CURRENT,B,LightGBM,6,3498,0.491747,0.540087,0.549701,
2.0R,S0_CURRENT,B,LightGBM,7,3498,0.556528,0.571394,0.586643,
2.0R,S0_CURRENT,B,LightGBM,8,3499,0.629537,0.55805,0.515936,
2.0R,S0_CURRENT,B,LightGBM,9,3498,0.726737,0.616429,0.572954,
2.0R,S0_CURRENT,B,LightGBM,10,3499,0.933948,0.551146,0.474927,
2.0R,S1_PATH_ONLY,A,LightGBM,1,3500,-0.389603,0.018987,0.359753,0.5783
2.0R,S1_PATH_ONLY,A,LightGBM,2,3501,-0.251874,0.006084,0.271384,0.5516
2.0R,S1_PATH_ONLY,A,LightGBM,3,3495,-0.200169,-0.012348,0.217946,0.5379
2.0R,S1_PATH_ONLY,A,LightGBM,4,3498,-0.159955,-0.035107,0.078564,0.514
2.0R,S1_PATH_ONLY,A,LightGBM,5,3499,-0.123352,-0.015883,0.065049,0.5067
2.0R,S1_PATH_ONLY,A,LightGBM,6,3499,-0.090224,-0.007157,0.0,0.4919
2.0R,S1_PATH_ONLY,A,LightGBM,7,3498,-0.05828,0.001322,0.0,0.4651
2.0R,S1_PATH_ONLY,A,LightGBM,8,3498,-0.022913,0.004899,0.0,0.4771
2.0R,S1_PATH_ONLY,A,LightGBM,9,3498,0.028092,0.027537,0.0,0.4714
2.0R,S1_PATH_ONLY,A,LightGBM,10,3499,0.175863,0.026972,0.0,0.4793
2.0R,S1_PATH_ONLY,A,线性,1,3499,-0.244496,0.028142,0.408321,0.6622
2.0R,S1_PATH_ONLY,A,线性,2,3498,-0.195735,-0.025959,0.345574,0.5703
2.0R,S1_PATH_ONLY,A,线性,3,3499,-0.162927,0.049513,0.293256,0.5584
2.0R,S1_PATH_ONLY,A,线性,4,3499,-0.138066,-0.040205,0.086137,0.515
2.0R,S1_PATH_ONLY,A,线性,5,3499,-0.116796,-0.014418,0.104438,0.5144
2.0R,S1_PATH_ONLY,A,线性,6,3497,-0.097068,-0.005911,0.111494,0.5159
2.0R,S1_PATH_ONLY,A,线性,7,3499,-0.077082,-0.016254,0.0,0.487
2.0R,S1_PATH_ONLY,A,线性,8,3498,-0.055548,-0.004233,-0.184667,0.4388
2.0R,S1_PATH_ONLY,A,线性,9,3500,-0.030661,0.053276,-0.179415,0.4283
2.0R,S1_PATH_ONLY,A,线性,10,3497,0.013514,-0.008654,-0.193255,0.3829
2.0R,S1_PATH_ONLY,B,LightGBM,1,3499,0.094638,0.120536,0.140577,
2.0R,S1_PATH_ONLY,B,LightGBM,2,3498,0.286589,0.33141,0.364853,
2.0R,S1_PATH_ONLY,B,LightGBM,3,3499,0.395172,0.392584,0.435488,
2.0R,S1_PATH_ONLY,B,LightGBM,4,3505,0.480675,0.463005,0.45684,
2.0R,S1_PATH_ONLY,B,LightGBM,5,3492,0.550175,0.506631,0.52856,
2.0R,S1_PATH_ONLY,B,LightGBM,6,3499,0.608407,0.577827,0.575963,
2.0R,S1_PATH_ONLY,B,LightGBM,7,3499,0.664238,0.58253,0.567845,
2.0R,S1_PATH_ONLY,B,LightGBM,8,3497,0.71733,0.590287,0.576767,
2.0R,S1_PATH_ONLY,B,LightGBM,9,3498,0.778307,0.612051,0.592417,
2.0R,S1_PATH_ONLY,B,LightGBM,10,3499,0.890124,0.594216,0.569265,
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,1,3501,-0.596326,-0.000199,0.234271,0.579
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,2,3496,-0.331867,0.010864,0.284766,0.5612
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,3,3499,-0.217646,-0.031699,0.177218,0.5319
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,4,3499,-0.129068,-0.01838,0.110438,0.5104
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,5,3498,-0.053316,-0.029001,0.15153,0.5214
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,6,3498,0.019722,-0.031578,0.0,0.4909
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,7,3498,0.09655,-0.047214,-0.012061,0.4677
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,8,3499,0.186195,-0.013115,-0.119166,0.4538
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,9,3498,0.30789,0.049109,-0.070083,0.4674
2.0R,S2_CURRENT_PLUS_PATH,A,LightGBM,10,3499,0.632458,0.126534,0.0,0.4896
2.0R,S2_CURRENT_PLUS_PATH,A,线性,1,3499,-0.549925,0.076765,0.287493,0.5813
2.0R,S2_CURRENT_PLUS_PATH,A,线性,2,3498,-0.239951,-0.011357,0.248734,0.5409
2.0R,S2_CURRENT_PLUS_PATH,A,线性,3,3499,-0.159123,-0.068725,0.08147,0.5121
2.0R,S2_CURRENT_PLUS_PATH,A,线性,4,3498,-0.103906,-0.081164,0.0,0.4966
2.0R,S2_CURRENT_PLUS_PATH,A,线性,5,3499,-0.055506,-0.050787,0.0,0.4876
2.0R,S2_CURRENT_PLUS_PATH,A,线性,6,3498,-0.006808,-0.046241,0.0,0.4891
2.0R,S2_CURRENT_PLUS_PATH,A,线性,7,3498,0.043446,-0.043921,0.0,0.4717
2.0R,S2_CURRENT_PLUS_PATH,A,线性,8,3499,0.102153,0.023672,0.0,0.4919
2.0R,S2_CURRENT_PLUS_PATH,A,线性,9,3498,0.17814,0.046108,0.0,0.4877
2.0R,S2_CURRENT_PLUS_PATH,A,线性,10,3499,0.402979,0.17094,0.080048,0.5144
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,1,3499,-0.010344,0.187537,0.230176,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,2,3498,0.176839,0.339274,0.325132,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,3,3499,0.279275,0.395267,0.402715,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,4,3498,0.358989,0.43168,0.386948,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,5,3500,0.428227,0.522374,0.503269,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,6,3497,0.491937,0.554245,0.566354,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,7,3498,0.558081,0.555304,0.550538,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,8,3499,0.629434,0.621342,0.60149,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,9,3498,0.721378,0.588517,0.5471,
2.0R,S2_CURRENT_PLUS_PATH,B,LightGBM,10,3499,0.925332,0.575426,0.514191,
2.5R,S0_CURRENT,A,LightGBM,1,3923,-0.622691,-0.021308,0.27347,0.5812
2.5R,S0_CURRENT,A,LightGBM,2,3922,-0.316584,-0.036318,0.252971,0.5538
2.5R,S0_CURRENT,A,LightGBM,3,3922,-0.193122,-0.023261,0.242252,0.5538
2.5R,S0_CURRENT,A,LightGBM,4,3922,-0.101028,-0.011911,0.129007,0.5204
2.5R,S0_CURRENT,A,LightGBM,5,3923,-0.021558,0.031846,0.18856,0.5348
2.5R,S0_CURRENT,A,LightGBM,6,3921,0.055452,0.013876,0.119671,0.5223
2.5R,S0_CURRENT,A,LightGBM,7,3922,0.133831,0.010433,0.013197,0.501
2.5R,S0_CURRENT,A,LightGBM,8,3922,0.225153,0.048809,0.003071,0.5
2.5R,S0_CURRENT,A,LightGBM,9,3922,0.350968,-0.00161,0.0,0.4691
2.5R,S0_CURRENT,A,LightGBM,10,3922,0.65009,-0.005291,-0.102534,0.4615
2.5R,S0_CURRENT,A,线性,1,3923,-0.530402,0.042435,0.310787,0.5888
2.5R,S0_CURRENT,A,线性,2,3922,-0.233944,0.013594,0.291017,0.5686
2.5R,S0_CURRENT,A,线性,3,3922,-0.153303,-0.033817,0.250277,0.5497
2.5R,S0_CURRENT,A,线性,4,3922,-0.095122,-0.087984,0.040391,0.5036
2.5R,S0_CURRENT,A,线性,5,3922,-0.04496,-0.034078,0.053972,0.5054
2.5R,S0_CURRENT,A,线性,6,3922,0.003712,-0.031849,0.0,0.4931
2.5R,S0_CURRENT,A,线性,7,3922,0.056452,-0.059142,0.0,0.4725
2.5R,S0_CURRENT,A,线性,8,3922,0.11444,0.036024,0.0,0.4972
2.5R,S0_CURRENT,A,线性,9,3922,0.1909,0.037858,0.0,0.4939
2.5R,S0_CURRENT,A,线性,10,3922,0.416426,0.12221,0.097761,0.5252
2.5R,S0_CURRENT,B,LightGBM,1,3923,-0.00183,0.190228,0.20484,
