目标,退出方式,opportunity_curve_cumulative_R,夏普率,最大回撤,利润因子,交易次数,trade_total_R,平均交易R,提前退出比例,平均持有K线数
1.5R,S0_CURRENT-A-LightGBM,1.0644,1.0056,1.0593,1.0318531511289237,1614,22.186,0.013746,0.4405,2.0824
1.5R,S0_CURRENT-A-线性,0.815,0.7371,0.9807,1.0205603652289912,1614,15.2805,0.009467,0.3544,2.2001
1.5R,S0_CURRENT-B-LightGBM,1.5704,1.2239,0.9383,1.0590194583004893,1614,54.106,0.033523,0.101,3.2051
1.5R,S1_PATH_ONLY-A-LightGBM,1.0743,0.9743,1.223,1.0421526349645798,1614,32.4807,0.020124,0.3457,2.3686
1.5R,S1_PATH_ONLY-A-线性,1.3602,1.0728,1.4664,1.049828943733407,1614,45.7722,0.028359,0.0824,3.1822
1.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,0.9103,0.8332,0.8804,1.030484479046066,1614,21.331,0.013216,0.4449,2.0136
1.5R,S2_CURRENT_PLUS_PATH-A-线性,0.6261,0.5635,1.1554,1.0094485028528317,1614,6.9813,0.004325,0.3656,2.1599
1.5R,固定退出(永远HOLD),1.7623,1.3223,1.0787,1.0674172198212637,1614,63.019,0.039045,0.0,3.3544
1.5R,事后完美覆盖(oracleA),15.0742,10.9687,0.1268,2.8725615603570893,1614,723.973,0.448558,0.4368,2.1115
2.0R,S0_CURRENT-A-LightGBM,1.4754,1.1983,1.097,1.0778919010867103,1614,55.1801,0.034188,0.4839,2.3786
2.0R,S0_CURRENT-A-线性,0.8828,0.7194,1.1479,1.0309383959482967,1614,22.9941,0.014247,0.4331,2.5768
2.0R,S0_CURRENT-B-LightGBM,1.8707,1.3262,1.0835,1.0857329961315019,1614,83.3007,0.051611,0.1444,4.1128
2.0R,S1_PATH_ONLY-A-LightGBM,0.6393,0.5452,1.4198,1.0183825650816005,1614,15.0018,0.009295,0.4095,2.7323
2.0R,S1_PATH_ONLY-A-线性,1.5069,1.0748,1.1905,1.0745801538990738,1614,73.4553,0.045511,0.1152,4.1648
2.0R,S2_CURRENT_PLUS_PATH-A-LightGBM,2.8658,2.0875,0.7829,1.1682428804957898,1614,117.6354,0.072884,0.4932,2.5613
2.0R,S2_CURRENT_PLUS_PATH-A-线性,1.1279,0.9213,0.9751,1.0509481942671033,1614,37.3242,0.023125,0.4449,2.5297
2.0R,固定退出(永远HOLD),1.5417,1.068,1.1997,1.0721861487834554,1614,71.8787,0.044535,0.0,4.3401
2.0R,事后完美覆盖(oracleA),17.6082,11.1449,0.1191,3.2058890591832823,1614,859.5654,0.532568,0.5372,2.4882
2.5R,S0_CURRENT-A-LightGBM,1.188,0.7725,1.384,1.030525249448497,1681,23.5497,0.014009,0.5021,2.6211
2.5R,S0_CURRENT-A-线性,1.1803,0.9222,1.6415,1.0364243755515437,1681,28.9285,0.017209,0.4474,2.7198
2.5R,S0_CURRENT-B-LightGBM,2.5883,1.5734,1.5745,1.112171813705476,1681,118.9484,0.070761,0.1588,4.7365
2.5R,S1_PATH_ONLY-A-LightGBM,-0.3081,-0.2639,2.0553,0.9625309457908198,1681,-32.8156,-0.019521,0.4355,3.0226
2.5R,S1_PATH_ONLY-A-线性,1.4138,0.9873,1.4867,1.063744284903591,1681,67.1724,0.03996,0.1725,4.5336
2.5R,S2_CURRENT_PLUS_PATH-A-LightGBM,2.4552,1.7486,0.9675,1.1338633910459912,1681,100.2914,0.059662,0.5229,2.6341
2.5R,S2_CURRENT_PLUS_PATH-A-线性,1.0963,0.8636,1.5772,1.0328749281955756,1681,26.017,0.015477,0.4551,2.6788
2.5R,固定退出(永远HOLD),2.2933,1.4395,1.4451,1.103170486262589,1681,110.5241,0.065749,0.0,4.8917
2.5R,事后完美覆盖(oracleA),20.2918,11.2787,0.1333,3.414075119610527,1681,995.816,0.592395,0.5901,2.7323
