模型,样本数,AUC,准确率,FOLLOW精确率,FOLLOW召回率,FADE精确率,FADE召回率
D-LightGBM,7074,0.493,0.4934,0.4878,0.4911,0.4989,0.4955
always_FOLLOW,7074,0.5,0.4945,0.4945,1.0,,0.0
always_FADE,7074,0.5,0.5055,,0.0,0.5055,1.0
random_50_50,7074,0.4972,0.4966,0.491,0.4914,0.5021,0.5017
majority_direction,7074,0.5,0.5055,,0.0,0.5055,1.0
D-Ridge,7074,0.4919,0.499,0.4932,0.4737,0.5043,0.5238
always_FOLLOW,7074,0.5,0.4945,0.4945,1.0,,0.0
always_FADE,7074,0.5,0.5055,,0.0,0.5055,1.0
random_50_50,7074,0.4972,0.4966,0.491,0.4914,0.5021,0.5017
majority_direction,7074,0.5,0.5055,,0.0,0.5055,1.0
