模型,十分位,事件数,预测方向优势均值,真实方向优势均值,FOLLOW事后较优比例
LightGBM,1,824,-1.088747,0.020071,0.4405
LightGBM,2,824,-0.575317,-0.045971,0.4284
LightGBM,3,822,-0.34833,0.18769,0.4684
LightGBM,4,824,-0.203478,-0.135324,0.3968
LightGBM,5,823,-0.067764,0.047357,0.4228
LightGBM,6,823,0.063922,-0.020981,0.4204
LightGBM,7,824,0.20931,-0.035567,0.4163
LightGBM,8,823,0.376952,-0.166728,0.4022
LightGBM,9,824,0.612067,-0.049012,0.4296
LightGBM,10,823,1.237421,-0.061112,0.4228
Ridge,1,824,-1.23597,0.071927,0.466
Ridge,2,823,-0.464566,0.028983,0.4411
Ridge,3,823,-0.281213,-0.136044,0.3998
Ridge,4,824,-0.163247,0.069901,0.4308
Ridge,5,823,-0.066937,-0.023298,0.4228
Ridge,6,823,0.02425,0.008856,0.4058
Ridge,7,824,0.122993,-0.179085,0.4005
Ridge,8,823,0.238465,-0.011373,0.4399
Ridge,9,823,0.391801,0.013537,0.4423
Ridge,10,824,0.853696,-0.103336,0.3993
